Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Aaron Rodgers,GB,QB,16,4428,40,7,369,4,0,0,0,4,23.8,380.02
Matt Ryan,ATL,QB,16,4944,38,7,117,0,0,0,0,2,21.7,347.46
Drew Brees,NO,QB,16,5208,37,15,20,2,0,0,0,4,20.8,332.32
David Johnson,ARI,RB,16,0,0,0,1239,16,80,879,4,3,20.5,327.8
Andrew Luck,IND,QB,15,4240,31,13,341,2,0,0,0,5,20.5,307.7
Kirk Cousins,WAS,QB,16,4917,25,12,96,4,0,0,0,3,18.8,300.28
Ezekiel Elliott,DAL,RB,15,0,0,0,1631,15,32,363,1,1,19.6,293.4
Dak Prescott,DAL,QB,16,3667,23,4,282,6,0,0,0,4,17.9,286.88
Matthew Stafford,DET,QB,16,4327,24,10,207,2,0,0,0,2,17.5,279.78
Tyrod Taylor,BUF,QB,15,3023,17,6,580,6,0,0,0,2,18.1,270.92
Blake Bortles,JAX,QB,16,3905,23,16,359,3,1,20,1,6,16.9,270.1
Derek Carr,OAK,QB,15,3933,28,6,69,0,0,0,0,3,17.9,268.22
Russell Wilson,SEA,QB,16,4219,21,11,259,1,2,14,1,2,16.8,268.06
Andy Dalton,CIN,QB,16,4206,18,8,184,4,0,0,0,3,16.3,260.64
Marcus Mariota,TEN,QB,15,3426,26,9,349,2,0,0,0,5,17.3,259.94
Philip Rivers,LAC,QB,16,4386,33,21,35,0,0,0,0,5,16.2,258.94
Tom Brady,NE,QB,12,3554,28,2,64,0,0,0,0,0,21.5,258.56
Jameis Winston,TB,QB,16,4090,28,18,168,1,0,0,0,6,16,256.4
Cam Newton,CAR,QB,15,3509,19,14,359,5,0,0,0,2,17,254.26
Ben Roethlisberger,PIT,QB,14,3819,29,13,14,1,0,0,0,2,18,252.16
LeSean McCoy,BUF,RB,15,0,0,0,1267,13,51,356,1,0,16.6,248.3
Carson Palmer,ARI,QB,15,4233,26,14,38,0,0,0,0,4,16.2,243.12
Joe Flacco,BAL,QB,16,4317,20,15,58,2,0,0,0,3,15.2,242.48
Le'Veon Bell,PIT,RB,12,0,0,0,1268,7,75,616,2,1,20.2,242.4
DeMarco Murray,TEN,RB,16,10,1,0,1287,9,53,377,3,1,15,240.8
Devonta Freeman,ATL,RB,16,0,0,0,1079,11,54,462,2,1,14.4,230.1
LeGarrette Blount,NE,RB,16,0,0,0,1161,18,7,38,0,1,14.1,225.9
Eli Manning,NYG,QB,16,4027,26,16,-9,0,0,0,0,4,14,224.18
Alex Smith,KC,QB,15,3502,15,8,134,5,1,3,0,4,14.9,223.78
Sam Bradford,MIN,QB,15,3877,20,5,53,0,1,5,0,5,14.7,220.88
Carson Wentz,PHI,QB,16,3782,16,14,150,2,1,7,0,3,13.3,212.98
Melvin Gordon,LAC,RB,13,0,0,0,997,10,41,419,2,2,16.1,209.6
Mike Evans,TB,WR,16,0,0,0,0,0,96,1321,12,0,13,208.1
Jordy Nelson,GB,WR,16,0,0,0,0,0,97,1257,14,1,13,207.7
Antonio Brown,PIT,WR,15,0,0,0,9,0,106,1284,12,0,13.4,201.3
Jordan Howard,CHI,RB,15,0,0,0,1313,6,29,298,1,1,13.4,201.1
Colin Kaepernick,SF,QB,12,2241,16,4,468,2,0,0,0,3,16.7,200.44
Mark Ingram,NO,RB,16,0,0,0,1043,6,46,319,4,2,12.3,196.2
Odell Beckham Jr,NYG,WR,16,0,0,0,9,0,101,1367,10,1,12.2,195.6
Trevor Siemian,DEN,QB,14,3401,18,10,57,0,0,0,0,2,13.7,191.74
Ryan Tannehill,MIA,QB,13,2995,19,12,164,1,0,0,0,3,14.6,190.2
Jay Ajayi,MIA,RB,15,0,0,0,1272,8,27,151,0,1,12.6,188.3
T.Y. Hilton,IND,WR,16,0,0,0,0,0,91,1448,6,0,11.4,182.8
Julio Jones,ATL,WR,14,0,0,0,0,0,83,1409,6,0,12.6,176.9
Frank Gore,IND,RB,16,0,0,0,1026,4,38,277,4,1,11,176.3
Latavius Murray,OAK,RB,14,0,0,0,788,12,33,264,0,1,12.5,175.2
Davante Adams,GB,WR,16,0,0,0,0,0,75,997,12,1,10.7,171.7
Brock Osweiler,HOU,QB,15,2957,15,16,131,2,1,-6,0,1,11.3,168.78
Brandin Cooks,NO,WR,16,0,0,0,30,0,78,1173,8,0,10.5,168.3
Isaiah Crowell,CLE,RB,16,0,0,0,952,7,40,319,0,2,10.3,165.1
Carlos Hyde,SF,RB,13,0,0,0,988,6,27,163,3,3,12.7,165.1
Michael Thomas,NO,WR,15,0,0,0,0,0,92,1137,9,2,10.9,163.7
Spencer Ware,KC,RB,14,0,0,0,922,3,33,447,2,3,11.5,160.9
Lamar Miller,HOU,RB,14,0,0,0,1073,5,31,188,1,1,11.4,160.1
Tevin Coleman,ATL,RB,13,0,0,0,520,8,31,421,3,0,12.3,160.1
Doug Baldwin,SEA,WR,16,15,1,0,2,0,94,1128,7,0,10,159.6
Jeremy Hill,CIN,RB,15,0,0,0,839,9,21,174,0,0,10.4,155.3
Todd Gurley,LAR,RB,16,0,0,0,885,6,43,327,0,1,9.7,155.2
Matt Forte,NYJ,RB,14,0,0,0,813,7,30,263,1,1,11,153.6
Michael Crabtree,OAK,WR,16,0,0,0,0,0,89,1003,8,0,9.4,150.3
Amari Cooper,OAK,WR,16,0,0,0,0,0,82,1149,5,0,9.3,148.9
Tyrell Williams,LAC,WR,16,0,0,0,0,0,69,1059,7,0,9.2,147.9
Rishard Matthews,TEN,WR,16,0,0,0,0,0,65,945,9,1,9.2,146.5
Bilal Powell,NYJ,RB,16,0,0,0,722,3,58,388,2,1,8.7,139
Jonathan Stewart,CAR,RB,13,0,0,0,824,9,8,60,0,2,10.6,138.4
