Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Mark Ingram,NO,RB,6,28,0,0,0,769,6,50,405,0,153.4,45.5
Allen Robinson,JAX,WR,5,24,0,0,0,0,0,80,1400,14,224,46
Demaryius Thomas,DEN,WR,10,30,0,0,0,0,0,105,1304,6,162.4,47.3
Brandin Cooks,NO,WR,12,24,0,0,0,18,0,84,1138,9,169.6,49.4
Jimmy Graham,SEA,TE,7,31,0,0,0,0,0,48,605,2,72.5,50.3
Tom Brady,NE,QB,11,40,4770,36,7,53,3,1,36,0,343.7,50.4
Larry Fitzgerald,ARI,WR,9,34,0,0,0,0,0,109,1215,9,171.5,51.9
Greg Olsen,CAR,TE,4,33,0,0,0,0,0,77,1104,7,150.4,56.8
Marvin Jones,CIN,WR,6,28,0,0,0,33,0,65,816,4,108.9,57
Marshawn Lynch,SEA,RB,7,32,0,0,0,417,3,13,80,0,69.7,57.7
Russell Wilson,SEA,QB,7,29,4024,34,8,553,1,0,0,0,336.26,59.3
Drew Brees,NO,QB,6,39,4870,32,11,14,1,0,0,0,304.2,60.9
Jarvis Landry,MIA,WR,11,25,9,0,0,113,1,110,1157,4,159.36,62.7
Dion Lewis,NE,RB,8,27,0,0,0,234,2,36,388,2,84.2,64.1
Sammy Watkins,BUF,WR,12,25,0,0,0,1,0,60,1047,9,158.8,65.1
Chris Hogan,BUF,WR,11,29,4,0,0,4,0,36,450,2,57.56,65.2
Cam Newton,CAR,QB,4,29,3837,35,10,636,10,0,0,0,389.08,65.5
Golden Tate,DET,WR,6,29,0,0,0,41,0,90,813,6,119.4,65.7
Carlos Hyde,SF,RB,11,26,0,0,0,470,3,11,53,0,70.3,67.1
Kyle Rudolph,MIN,TE,10,28,0,0,0,0,0,49,495,5,79.5,68.1
Tevin Coleman,ATL,RB,8,25,0,0,0,392,1,2,14,0,40.6,70.8
Delanie Walker,TEN,TE,8,33,0,0,0,36,0,94,1088,6,150.4,73.4
Michael Crabtree,OAK,WR,10,30,0,0,0,0,0,85,922,9,146.2,73.6
Kirk Cousins,WAS,QB,10,29,4166,29,11,48,5,0,0,0,293.44,77
Rex Burkhead,CIN,RB,11,28,0,0,0,4,0,10,94,1,13.8,78.7
Jimmy Garoppolo,NE,QB,11,26,6,0,0,-5,0,0,0,0,-0.26,82.1
Devin Funchess,CAR,WR,4,24,0,0,0,0,0,31,473,5,75.3,82.2
Julian Edelman,NE,WR,11,32,0,0,0,23,0,61,692,7,111.5,83.1
Emmanuel Sanders,DEN,WR,10,31,0,0,0,29,0,76,1135,6,148.4,83.5
Trey Burton,PHI,TE,5,26,0,0,0,0,0,3,54,0,5.4,85.3
Isaiah Crowell,CLE,RB,11,25,0,0,0,706,4,19,182,1,118.8,85.5
Jordan Reed,WAS,TE,4,28,0,0,0,0,0,87,952,11,157.2,86.2
Marquise Goodwin,BUF,WR,11,27,0,0,0,0,0,2,24,0,2.4,86.3
CJ Anderson,DEN,RB,4,27,0,0,0,720,5,25,183,0,116.3,87.3
Jacksonville Jaguars,JAX,DST,9,null,0,0,0,0,0,0,0,0,105,91.3
Matthew Stafford,DET,QB,6,30,4262,32,13,159,1,1,-6,0,289.78,92.8
Allen Hurns,JAX,WR,8,26,0,0,0,0,0,64,1031,10,161.1,95.3
Robert Woods,BUF,WR,12,26,0,0,0,0,0,47,552,3,71.2,95.3
Randall Cobb,GB,WR,7,27,0,0,0,50,1,79,829,6,129.9,95.5
Chris Thompson,WAS,RB,4,27,0,0,0,216,0,35,240,2,57.6,98.9
Los Angeles Rams,LAR,DST,12,null,0,0,0,0,0,0,0,0,138,99.5
Matt Ryan,ATL,QB,8,33,4591,21,16,63,0,0,0,0,233.94,99.7
Pierre Garcon,WAS,WR,11,31,0,0,0,0,0,72,777,6,113.7,99.8
Devante Parker,MIA,WR,11,25,0,0,0,0,0,27,529,3,70.9,101.4
LeGarrette Blount,NE,RB,6,31,0,0,0,703,6,6,43,1,116.6,103.7
Andrew Luck,IND,QB,9,28,1881,15,12,196,0,0,0,0,130.84,105.7
Minnesota Vikings,MIN,DST,10,null,0,0,0,0,0,0,0,0,143,106.9
Philip Rivers,LAC,QB,8,36,4792,29,13,28,0,0,0,0,284.48,111.3
Jamison Crowder,WAS,WR,4,25,0,0,0,2,0,59,604,2,74.6,113.2
Ty Montgomery,GB,RB,7,25,0,0,0,14,0,15,136,2,27,114.4
Philadelphia Eagles,PHI,DST,9,null,0,0,0,0,0,0,0,0,134,115.2
Los Angeles Chargers,LAC,DST,8,null,0,0,0,0,0,0,0,0,93,116.5
Ben Roethlisberger,PIT,QB,7,36,3938,21,16,29,0,0,-3,0,228.12,118.4
Doug Martin,TB,RB,7,29,0,0,0,1402,6,33,271,1,199.3,118.6
Nelson Agholor,PHI,WR,9,25,0,0,0,0,0,23,283,1,32.3,118.6
Tyler Eifert,CIN,TE,9,27,0,0,0,0,0,52,615,13,139.5,120
Duke Johnson,CLE,RB,11,24,0,0,0,379,0,61,534,2,103.3,122.5
Denver Broncos,DEN,DST,10,null,0,0,0,0,0,0,0,0,181,124.3
Houston Texans,HOU,DST,10,null,0,0,0,0,0,0,0,0,157,125.2
Latavius Murray,OAK,RB,10,27,0,0,0,1066,6,41,232,0,163.8,128.6
Derek Carr,OAK,QB,7,27,3987,32,13,138,0,0,0,0,271.28,128.9
Kenny Stills,MIA,WR,11,26,0,0,0,0,0,27,440,3,62,130
Martavis Bryant,PIT,WR,7,26,0,0,0,37,1,50,765,6,120.2,130.1
Marcus Mariota,TEN,QB,8,24,2818,19,10,252,2,1,41,1,210.02,132.9
Jack Doyle,IND,TE,9,28,0,0,0,0,0,12,72,1,13.2,133.1
Marqise Lee,JAX,WR,9,26,0,0,0,38,0,15,191,1,28.9,133.7
Cameron Meredith,CHI,WR,6,25,0,0,0,0,0,11,120,0,12,133.9
Baltimore Ravens,BAL,DST,10,null,0,0,0,0,0,0,0,0,95,136.7
Alex Smith,KC,QB,4,34,3486,20,7,498,2,0,0,0,271.24,139.4
New Orleans Saints,NO,DST,6,null,0,0,0,0,0,0,0,0,78,142.1
Greg Zuerlein,LAR,K,12,30,0,0,0,0,0,0,0,0,92,142.6
Rishard Matthews,MIA,WR,8,28,0,0,0,4,0,43,662,4,90.6,143.1
Stephen Gostkowski,NE,K,11,34,0,0,0,0,0,0,0,0,159,150.1
Case Keenum,LAR,QB,10,30,828,4,1,5,0,0,0,0,43.62,150.7
Eli Manning,NYG,QB,9,37,4432,35,14,70,0,0,0,0,288.28,151.1
Giovani Bernard,CIN,RB,9,26,0,0,0,730,2,49,472,0,132.2,151.3
Justin Tucker,BAL,K,10,28,0,0,0,0,0,0,0,0,136,152.5
Spencer Ware,KC,RB,12,26,0,0,0,403,6,6,5,0,76.8,153.2
Bilal Powell,NYJ,RB,11,29,0,0,0,313,1,47,388,2,88.1,154.3
New England Patriots,NE,DST,11,null,0,0,0,0,0,0,0,0,139,155
Jameis Winston,TB,QB,5,24,4042,22,15,213,6,0,0,0,274.98,155.5
Austin Seferian-Jenkins,TB,TE,9,25,0,0,0,0,0,21,338,4,57.8,155.6
Jordan Matthews,PHI,WR,11,25,0,0,0,0,0,85,997,8,145.7,155.7
Tyler Lockett,SEA,WR,7,24,0,0,0,20,0,51,664,6,102.4,158.8
Seattle Seahawks,SEA,DST,7,null,0,0,0,0,0,0,0,0,166,161.3
Kansas City Chiefs,KC,DST,12,null,0,0,0,0,0,0,0,0,184,161.7
Brandon Marshall,NYJ,WR,7,34,0,0,0,0,0,109,1502,14,230.2,162.6
Frank Gore,IND,RB,11,35,0,0,0,967,6,34,267,1,159.4,163.3
Chicago Bears,CHI,DST,5,null,0,0,0,0,0,0,0,0,77,163.7
DeSean Jackson,WAS,WR,5,31,0,0,0,0,0,30,528,4,74.8,163.7
Benjamin Watson,NO,TE,6,37,0,0,0,0,0,74,825,6,116.5,164.5
Matt Bryant,ATL,K,8,43,0,0,0,0,0,0,0,0,68,164.7
Mohamed Sanu,CIN,WR,8,28,0,0,0,71,2,33,394,0,58.5,164.7
Tyrod Taylor,BUF,QB,11,28,3035,20,6,568,4,1,4,0,270.6,164.8
Carolina Panthers,CAR,DST,4,null,0,0,0,0,0,0,0,0,171,165.3
Pittsburgh Steelers,PIT,DST,7,null,0,0,0,0,0,0,0,0,147,166.2
Chris Boswell,PIT,K,7,27,0,0,0,0,0,0,0,0,117,166.5
Blake Bortles,JAX,QB,9,26,4428,35,18,310,2,0,0,0,316.12,166.7
Dan Bailey,DAL,K,8,30,0,0,0,0,0,0,0,0,125,166.9
Matt Prater,DET,K,6,33,0,0,0,0,0,0,0,0,112,169.3
Robbie Gould,CHI,K,11,36,0,0,0,0,0,0,0,0,141,169.4
Mason Crosby,GB,K,7,33,0,0,0,0,0,0,0,0,116,172.2
James White,NE,RB,11,26,0,0,0,56,2,40,410,4,82.6,174
Washington Redskins,WAS,DST,4,null,0,0,0,0,0,0,0,0,132,176
Green Bay Packers,GB,DST,7,null,0,0,0,0,0,0,0,0,121,177
Paul Richardson,SEA,WR,4,26,0,0,0,0,0,1,40,0,4,177
Terrance Williams,DAL,WR,8,28,0,0,0,0,0,52,840,3,102,178
Tennessee Titans,TEN,DST,8,null,0,0,0,0,0,0,0,0,89,178
Arizona Cardinals,ARI,DST,9,null,0,0,0,0,0,0,0,0,186,179
Ted Ginn,CAR,WR,6,33,0,0,0,60,0,44,739,10,139.9,179
Dallas Cowboys,DAL,DST,8,null,0,0,0,0,0,0,0,0,85,180
Mike Wallace,MIN,WR,9,31,0,0,0,6,0,39,473,2,59.9,180
Atlanta Falcons,ATL,DST,8,null,0,0,0,0,0,0,0,0,94,181
Ryan Grant,WAS,WR,9,27,0,0,0,0,0,23,268,2,38.8,181
Detroit Lions,DET,DST,6,null,0,0,0,0,0,0,0,0,101,182
Albert Wilson,KC,WR,11,26,0,0,0,26,0,35,451,2,59.7,182
Oakland Raiders,OAK,DST,7,null,0,0,0,0,0,0,0,0,105,183
Tyrell Williams,LAC,WR,8,26,0,0,0,0,0,2,90,1,15,183
Miami Dolphins,MIA,DST,11,null,0,0,0,0,0,0,0,0,100,184
Cincinnati Bengals,CIN,DST,9,null,0,0,0,0,0,0,0,0,139,185
Brandon LaFell,NE,WR,9,31,0,0,0,9,0,37,515,0,52.4,185
San Francisco 49ers,SF,DST,11,null,0,0,0,0,0,0,0,0,66,186
Indianapolis Colts,IND,DST,9,null,0,0,0,0,0,0,0,0,129,187
Buffalo Bills,BUF,DST,11,null,0,0,0,0,0,0,0,0,98,188
Willie Snead,NO,WR,10,25,0,0,0,0,0,69,984,3,114.4,189
Tampa Bay Buccaneers,TB,DST,5,null,0,0,0,0,0,0,0,0,106,189
New York Jets,NYJ,DST,11,null,0,0,0,0,0,0,0,0,116,190
Quincy Enunwa,NYJ,WR,11,26,0,0,0,0,0,22,315,0,31.5,190
Ryan Tannehill,MIA,QB,11,29,4208,24,12,141,1,1,9,0,257.32,191
New York Giants,NYG,DST,9,null,0,0,0,0,0,0,0,0,111,191
Cleveland Browns,CLE,DST,11,null,0,0,0,0,0,0,0,0,98,192
John Brown,ARI,WR,10,28,0,0,0,22,0,65,1003,7,142.5,193
Darren Sproles,PHI,RB,9,35,0,0,0,317,3,55,388,1,94.5,194
Travis Benjamin,CLE,WR,8,28,0,0,0,12,0,68,966,5,123.8,195
Andy Dalton,CIN,QB,9,30,3250,25,7,142,3,0,0,0,244.2,196
Donte Moncrief,IND,WR,9,24,0,0,0,0,0,64,733,6,109.3,198
Theo Riddick,DET,RB,6,27,0,0,0,133,0,80,697,3,99,199
Kendall Wright,TEN,WR,10,28,0,0,0,17,0,36,408,3,60.5,201
Terrelle Pryor,CLE,WR,11,29,0,0,0,-1,0,1,42,0,4.1,202
Jermaine Kearse,SEA,WR,11,28,0,0,0,0,0,49,685,5,98.5,203
Danny Amendola,NE,WR,11,32,36,0,0,11,0,65,648,3,83.34,206
JJ Nelson,ARI,WR,9,24,0,0,0,0,0,11,299,2,39.9,208
Joe Flacco,BAL,QB,10,33,2791,14,12,23,3,0,0,0,161.94,210
Seth Roberts,OAK,WR,7,27,0,0,0,0,0,32,480,5,80,212
Cole Beasley,DAL,WR,8,29,0,0,0,0,0,52,536,5,79.6,214
Bennie Fowler,DEN,WR,5,27,0,0,0,0,0,16,203,0,20.3,215
TJ Yeldon,JAX,RB,9,24,0,0,0,740,2,36,279,1,119.9,216
Travaris Cadet,NO,RB,11,29,0,0,0,28,0,17,214,1,28.2,218
Taylor Gabriel,CLE,WR,5,27,0,0,0,0,0,28,241,0,24.1,221
Adam Humphries,TB,WR,5,25,0,0,0,0,0,27,260,1,32,224
Chris Ivory,NYJ,RB,11,30,0,0,0,1070,7,30,217,1,172.7,225
Javorius Allen,BAL,RB,10,26,0,0,0,514,1,45,353,2,100.7,228
Corey Grant,JAX,RB,9,26,0,0,0,2,0,2,13,0,-0.5,231
Charles Sims,TB,RB,5,27,0,0,0,529,0,51,561,4,129,235
Rod Smith,DAL,RB,8,26,0,0,0,5,0,1,6,0,1.1,236
Mike Davis,SF,RB,7,25,0,0,0,58,0,7,38,0,9.6,239
Ameer Abdullah,DET,RB,6,25,0,0,0,597,2,25,183,1,92,245
Tavon Austin,LAR,WR,8,27,0,0,0,434,4,52,473,5,140.7,247
Robert Turbin,DAL,RB,9,28,0,0,0,199,1,7,23,0,28.2,249
Jeremy Kerley,NYJ,WR,11,29,0,0,0,0,0,16,152,2,27.2,250
Kyle Juszczyk,BAL,FB,11,27,0,0,0,3,0,41,321,4,56.4,253
Brice Butler,DAL,WR,9,28,0,0,0,0,0,12,258,0,25.8,254
TJ Jones,DET,WR,6,25,0,0,0,-3,0,10,132,1,16.9,256
AJ McCarron,CIN,QB,11,27,854,6,2,31,0,0,0,0,55.26,257
Josh McCown,CLE,QB,11,39,2109,12,4,98,1,0,0,0,132.16,260
Jaron Brown,ARI,WR,7,28,0,0,0,0,0,11,144,1,20.4,261
Christine Michael,SEA,RB,9,27,0,0,0,243,0,3,16,0,25.9,262
Malcolm Brown,LAR,RB,12,25,0,0,0,17,0,1,-2,0,1.5,264
Cameron Artis-Payne,CAR,RB,4,26,0,0,0,183,1,5,58,0,30.1,265
Sam Bradford,PHI,QB,9,30,3725,19,14,39,0,0,0,0,194.9,266
Kenny Britt,LAR,WR,11,29,0,0,0,0,0,36,681,3,86.1,268
Chris Conley,KC,WR,12,25,0,0,0,0,0,17,199,1,25.9,269
Torrey Smith,SF,WR,4,29,0,0,0,0,0,33,663,4,92.3,270
Jonathan Stewart,CAR,RB,9,31,0,0,0,989,6,16,99,1,146.8,271
Terrance West,BAL,RB,6,27,0,0,0,231,0,4,21,0,21.2,272
Charles Clay,BUF,TE,11,29,0,0,0,0,0,51,528,3,70.8,279
Cordarrelle Patterson,MIN,WR,11,27,0,0,0,15,0,2,10,0,0.5,282
Cameron Brate,TB,TE,5,27,0,0,0,0,0,23,288,3,46.8,283
Thomas Rawls,SEA,RB,11,22,0,0,0,830,4,9,76,1,118.6,285
Vance McDonald,SF,TE,7,28,0,0,0,0,0,30,326,3,50.6,286
Eric Ebron,DET,TE,9,25,0,0,0,0,0,47,537,5,83.7,287
Jared Cook,LAR,TE,7,31,0,0,0,0,0,39,481,0,48.1,288
Ryan Griffin,HOU,TE,10,28,0,0,0,0,0,20,251,2,37.1,300
Cody Latimer,DEN,WR,9,25,0,0,0,1,0,6,59,1,12,301
Mike Gillislee,BUF,RB,11,27,0,0,0,267,3,6,29,0,45.6,302
Matt Jones,WAS,RB,9,22,0,0,0,490,3,19,304,1,95.4,309
Jeremy Hill,CIN,RB,11,25,0,0,0,794,11,15,79,1,155.3,311
Virgil Green,DEN,TE,8,29,0,0,0,0,0,12,173,1,23.3,314
Alfred Blue,HOU,RB,10,27,0,0,0,698,2,15,109,1,96.7,317
Jamize Olawale,OAK,FB,8,29,0,0,0,110,1,9,84,0,25.4,320
Luke Willson,SEA,TE,6,28,0,0,0,0,0,17,213,1,27.3,321
Ryan Fitzpatrick,NYJ,QB,5,35,3905,31,15,270,2,0,0,0,285.2,324
Vernon Davis,DEN,TE,4,34,0,0,0,0,0,38,395,0,39.5,326
Anthony Sherman,KC,FB,12,29,0,0,0,0,0,4,34,0,3.4,327
Zach Zenner,DET,RB,6,26,0,0,0,60,0,2,11,0,7.1,331
Teddy Bridgewater,MIN,QB,11,25,3231,14,9,192,3,0,0,0,200.44,336
Justin Hunter,TEN,WR,7,27,0,0,0,0,0,22,264,1,32.4,338
Ed Dickson,CAR,TE,7,30,0,0,0,0,2,17,121,2,36.1,339
Justin Hardy,ATL,WR,8,26,0,0,0,0,0,21,194,0,19.4,341
Russell Shepard,TB,WR,9,27,0,0,0,0,0,3,28,1,8.8,344
Zach Line,MIN,FB,6,28,0,0,0,10,2,6,95,1,28.5,346
Kai Forbath,NO,K,10,30,0,0,0,0,0,0,0,0,68,347
Deonte Thompson,CHI,WR,8,29,0,0,0,0,0,2,81,0,8.1,349
Graham Gano,CAR,K,4,31,0,0,0,0,0,0,0,0,150,350
Raheem Mostert,CLE,RB,11,26,0,0,0,0,0,0,0,0,-2,351
Josh Lambo,LAC,K,9,27,0,0,0,0,0,0,0,0,114,353
Ryan Succop,TEN,K,8,31,0,0,0,0,0,0,0,0,73,355
Andre Holmes,OAK,WR,11,30,0,0,0,0,0,14,201,4,44.1,357
Adam Vinatieri,IND,K,9,45,0,0,0,0,0,0,0,0,115,359
Brandon McManus,DEN,K,10,26,0,0,0,0,0,0,0,0,135,360
Dustin Hopkins,WAS,K,4,27,0,0,0,0,0,0,0,0,118,365
Kasen Williams,SEA,WR,9,26,0,0,0,5,0,1,8,0,1.3,367
Phil Dawson,SF,K,9,43,0,0,0,0,0,0,0,0,98,369
Sebastian Janikowski,OAK,K,7,40,0,0,0,0,0,0,0,0,109,370
Chandler Catanzaro,ARI,K,5,27,0,0,0,0,0,0,0,0,137,371
Josh Bellamy,CHI,WR,5,29,0,0,0,0,0,19,224,2,34.4,372
Garrett Celek,SF,TE,11,30,0,0,0,0,0,19,186,3,36.6,373
Caleb Sturgis,PHI,K,8,28,0,0,0,0,0,0,0,0,93,374
Jermaine Gresham,ARI,TE,9,30,0,0,0,0,0,18,223,1,28.3,375
Kapri Bibbs,DEN,RB,4,25,0,0,0,0,0,0,0,0,0,376
Bruce Ellington,SF,WR,10,26,0,0,0,7,0,13,153,0,14,378
Tyler Kroft,CIN,TE,9,25,0,0,0,0,0,11,129,1,18.9,380
Damien Williams,MIA,RB,12,26,0,0,0,59,0,21,142,1,24.1,381
Steven Hauschka,SEA,K,11,33,0,0,0,0,0,0,0,0,139,386
Jacquizz Rodgers,CHI,RB,5,28,0,0,0,41,0,1,10,0,5.1,390
Tommy Bohanon,NYJ,FB,9,27,0,0,0,2,0,4,56,0,5.8,394
Rod Streater,OAK,WR,11,30,0,0,0,0,0,1,8,0,0.8,395
Jesse James,PIT,TE,7,24,0,0,0,0,0,8,56,1,13.6,399
Jason Myers,JAX,K,7,27,0,0,0,0,0,0,0,0,116,401
Cairo Santos,KC,K,11,26,3,0,0,0,0,0,0,0,137.12,403
Randy Bullock,NYJ,K,9,28,0,0,0,0,0,0,0,0,79,407
Benjamin Cunningham,LAR,RB,5,28,0,0,0,140,0,26,250,0,39,408
Cody Parkey,PHI,K,5,26,0,0,0,0,0,0,0,0,16,410
Aaron Ripkowski,GB,FB,7,25,0,0,0,0,0,1,18,0,1.8,412
Demetrius Harris,KC,TE,12,26,0,0,0,0,0,7,74,1,13.4,418
Darrius Heyward-Bey,PIT,WR,7,31,0,0,0,0,0,21,314,2,43.4,428
Kerwynn Williams,ARI,RB,12,27,0,0,0,142,1,2,16,0,19.8,432
Geoff Swaim,DAL,TE,8,24,0,0,0,0,0,1,0,0,0,434
Jarius Wright,MIN,WR,4,28,0,0,0,29,0,34,442,0,45.1,437
De'Anthony Thomas,KC,WR,12,25,0,0,0,34,1,17,140,1,27.4,438
Daniel Brown,BAL,WR,5,26,0,0,0,0,0,6,64,0,6.4,446
Phillip Dorsett,IND,WR,11,25,0,0,0,17,0,18,225,1,28.2,450
Kaelin Clay,BAL,WR,11,26,0,0,0,0,0,0,0,0,0,451
Stevan Ridley,NYJ,RB,7,29,0,0,0,90,0,4,-2,0,8.8,454
Nick O'Leary,BUF,TE,11,25,0,0,0,0,0,1,37,0,3.7,459
Will Tye,NYG,TE,11,26,0,0,0,0,0,42,464,3,62.4,462
Josh Hill,NO,TE,6,28,0,0,0,0,0,16,120,2,24,464
Marcedes Lewis,JAX,TE,7,34,0,0,0,0,0,16,226,0,22.6,465
Brandon Coleman,NO,WR,6,26,0,0,0,0,0,30,454,2,57.4,472
Charcandrick West,KC,RB,12,27,0,0,0,634,4,20,214,1,112.8,473
Patrick DiMarco,ATL,FB,11,29,0,0,0,0,0,13,110,2,23,474
Seantavious Jones,NO,WR,9,25,0,0,0,0,0,0,0,0,0,479
Clive Walford,OAK,TE,11,22,0,0,0,0,0,28,329,3,50.9,481
Rhett Ellison,MIN,TE,9,29,0,0,0,0,0,11,124,1,18.4,483
Nick Boyle,BAL,TE,10,25,0,0,0,0,0,18,153,0,17.3,484
Markus Wheaton,PIT,WR,9,27,0,0,0,0,0,44,749,5,106.9,488
Lee Smith,OAK,TE,7,30,0,0,0,0,0,12,70,1,13,490
Michael Burton,DET,FB,5,26,0,0,0,2,0,6,39,1,10.1,495
Michael Campanaro,BAL,WR,8,27,0,0,0,17,1,5,35,0,11.2,497
Jay Prosch,HOU,FB,10,25,0,0,0,33,0,0,0,0,3.3,501
Jeff Janis,GB,WR,11,27,0,0,0,0,0,2,79,0,7.9,502
Dwayne Harris,NYG,WR,7,30,0,0,0,12,0,36,396,4,64.8,505
Marcus Murphy,NO,RB,11,26,0,0,0,0,0,0,0,0,-2,506
Dwayne Allen,IND,TE,11,28,0,0,0,1,0,16,109,1,17,507
Levine Toilolo,ATL,TE,6,26,0,0,0,0,0,7,44,0,6.4,510
Fitzgerald Toussaint,PIT,RB,7,28,0,0,0,42,0,0,0,0,6.2,515
Dion Sims,MIA,TE,5,27,0,0,0,0,0,18,127,1,16.7,517
Erik Swoope,IND,TE,9,26,0,0,0,0,0,0,0,0,0,518
Brandon Bolden,NE,RB,11,28,0,0,0,207,0,19,180,2,50.7,523
Keith Smith,DAL,FB,7,26,0,0,0,0,0,0,0,0,0,524
Taiwan Jones,OAK,RB,11,29,0,0,0,74,0,7,106,1,22,526
MarQueis Gray,BUF,TE,11,28,0,0,0,0,0,1,2,0,0.2,527
Michael Hoomanawanui,NO,TE,6,30,0,0,0,0,0,11,76,3,23.6,530
