Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Todd Gurley,LAR,RB,12,23,0,0,0,1106,10,21,188,0,187.4,1.7
Le'Veon Bell,PIT,RB,7,26,0,0,0,556,3,24,136,0,87.2,2.2
David Johnson,ARI,RB,9,26,0,0,0,581,8,36,457,4,173.8,4.1
Antonio Brown,PIT,WR,7,30,0,0,0,28,0,136,1834,10,246.2,5.4
DeAndre Hopkins,HOU,WR,10,26,0,0,0,0,0,111,1521,11,220.1,9.2
Melvin Gordon,LAC,RB,8,25,0,0,0,641,0,33,192,0,75.3,9.8
Odell Beckham Jr,NYG,WR,9,25,0,0,0,3,0,96,1450,13,223.3,12.1
Julio Jones,ATL,WR,8,29,0,0,0,0,2,136,1871,8,245.1,14.4
Devonta Freeman,ATL,RB,8,26,0,0,0,1056,11,73,578,3,243.4,16.4
Jerick McKinnon,MIN,RB,11,26,0,0,0,271,2,21,173,1,62.4,17
Davante Adams,GB,WR,7,25,0,0,0,0,0,50,483,1,56.3,18.3
Keenan Allen,LAC,WR,8,26,0,0,0,0,0,67,725,4,94.5,18.6
LeSean McCoy,BUF,RB,11,30,0,0,0,895,3,32,292,2,146.7,19.3
AJ Green,CIN,WR,9,29,0,0,0,0,0,86,1297,10,187.7,21.4
Rob Gronkowski,NE,TE,11,29,0,0,0,0,0,72,1176,11,183.6,21.9
Mike Evans,TB,WR,5,24,0,0,0,0,0,74,1206,3,136.6,25.4
Doug Baldwin,SEA,WR,7,29,0,0,0,0,0,78,1069,14,190.9,28
Aaron Rodgers,GB,QB,7,34,3821,31,8,344,1,0,0,0,301.24,28.2
Travis Kelce,KC,TE,12,28,0,0,0,0,0,72,875,5,117.5,32.1
Jay Ajayi,MIA,RB,9,25,0,0,0,187,1,7,90,0,35.7,32.8
T.Y. Hilton,IND,WR,9,28,0,0,0,0,0,69,1124,5,142.4,33.2
Adam Thielen,MIN,WR,10,27,0,0,0,89,0,12,144,0,23.3,34.9
Stefon Diggs,MIN,WR,10,24,0,0,0,13,0,52,720,4,97.3,38.1
Amari Cooper,OAK,WR,7,24,0,0,0,-3,0,72,1070,6,140.7,40.2
Zach Ertz,PHI,TE,9,27,0,0,0,0,0,75,853,2,95.3,40.4
Lamar Miller,MIA,RB,10,27,0,0,0,872,8,47,397,2,184.9,41.8
Alshon Jeffery,CHI,WR,9,28,0,0,0,0,0,54,807,4,104.7,44.9
