Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Ryan Mathews,PHI,RB,13,287,22.1,25.3,54,4.9,58.5,58.9,131.6,45.9
Tevin Coleman,ATL,RB,13,353,27.2,33.9,33.4,11.3,42.2,44.8,160.1,45.4
LeGarrette Blount,NE,RB,16,529,33.1,47.2,56.5,1.5,57.8,58,225.9,42.7
Ezekiel Elliott,DAL,RB,15,716,47.7,67.5,45,5.6,49.4,50.6,293.4,41
LeSean McCoy,BUF,RB,15,645,43,60.6,36.3,9,44.2,45.3,248.3,38.5
Danny Woodhead,LAC,RB,2,55,27.5,5.1,34.5,14.5,45.5,49.1,21.1,38.4
Ameer Abdullah,DET,RB,2,57,28.5,5.5,31.6,8.8,40.4,40.4,21.8,38.2
Devonta Freeman,ATL,RB,16,605,37.8,58.2,37.5,10.7,46.4,48.3,230.1,38
Mark Ingram,NO,RB,16,530,33.1,46,38.7,10.9,47.4,49.6,196.2,37
Aaron Rodgers,GB,QB,16,1066,66.6,98,6.3,0,63.5,63.5,380.02,35.6
Jeremy Hill,CIN,RB,15,443,29.5,40.8,50.1,6.1,54.9,56.2,155.3,35.1
Rob Kelley,WAS,RB,15,345,23,32.5,48.7,5.2,52.2,53.9,120.6,35
Matt Ryan,ATL,QB,16,1022,63.9,98.3,3.4,0,55.7,55.7,347.46,34
David Johnson,ARI,RB,16,964,60.2,83.8,30.4,12.4,38.7,42.8,327.8,34
Latavius Murray,OAK,RB,14,525,37.5,46.9,37.1,8.2,43.4,45.3,175.2,33.4
Tyreek Hill,KC,WR,16,418,26.1,40.8,5.7,19.9,20.3,25.6,138,33
Cameron Artis-Payne,CAR,RB,3,84,28,7.6,42.9,1.2,44,44,27.5,32.7
Jay Ajayi,MIA,RB,15,582,38.8,61.4,44.7,6,49.3,50.7,188.3,32.4
Andre Williams,LAC,RB,1,27,27,13,66.7,7.4,66.7,74.1,8.7,32.2
Melvin Gordon,LAC,RB,13,661,50.8,61.8,38.4,8.6,44.6,47,209.6,31.7
Tom Brady,NE,QB,12,819,68.2,73.1,3.4,0,56.2,56.2,258.56,31.6
Matt Forte,NYJ,RB,14,488,34.9,46.8,44.7,8.8,50.8,53.5,153.6,31.5
