Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Le'Veon Bell,PIT,RB,12,781,65.1,72.1,33.4,12,43.1,45.6,242.4,31
Carlos Hyde,SF,RB,13,535,41.2,51.7,40.6,6.2,45.6,46.7,165.1,30.9
Terrance West,BAL,RB,16,443,27.7,39.1,43.6,10.2,51.2,53.7,137,30.9
Jordan Howard,CHI,RB,15,654,43.6,64.7,38.5,7.6,43,46.2,201.1,30.7
Matt Jones,WAS,RB,7,221,31.6,20.8,44.8,3.6,48.4,48.4,67.3,30.5
Andrew Luck,IND,QB,15,1013,67.5,92.4,6.3,0,60.1,60.1,307.7,30.4
DeAngelo Williams,PIT,RB,9,271,30.1,25,36.2,10,42.8,46.1,82.1,30.3
Taylor Gabriel,ATL,WR,13,349,26.8,33.6,1.1,14.3,11.2,15.5,105,30.1
CJ Prosise,SEA,RB,6,147,24.5,13.8,20.4,12.9,32,33.3,44,29.9
Spencer Ware,KC,RB,14,546,39,53.3,39.2,7.7,45.2,46.9,160.9,29.5
Isaiah Crowell,CLE,RB,16,568,35.5,55.1,34.9,9.3,41.9,44.2,165.1,29.1
Colin Kaepernick,SF,QB,12,690,57.5,66.7,10,0,58.1,58.1,200.44,29
Drew Brees,NO,QB,16,1151,71.9,100,2,0,60.5,60.5,332.32,28.9
Christine Michael,GB,RB,15,398,26.5,38.6,37.2,7.3,42.7,44.5,115,28.9
Matt Moore,MIA,QB,4,190,47.5,20,0.5,0,46.3,46.3,54.74,28.8
Dak Prescott,DAL,QB,16,1013,63.3,95.6,5.6,0,50.9,50.9,286.88,28.3
Kirk Cousins,WAS,QB,16,1063,66.4,100,3.2,0,60.2,60.2,300.28,28.2
Kenneth Dixon,BAL,RB,12,258,21.5,22.8,34.1,15.9,45.7,50,72.4,28.1
Tyrod Taylor,BUF,QB,15,969,64.6,91.1,9.8,0,54.9,54.9,270.92,28
DeMarco Murray,TEN,RB,16,861,53.8,81,34,7.8,40.4,42,240.8,28
CJ Anderson,DEN,RB,7,313,44.7,29,35.1,7.7,40.3,42.8,86.5,27.6
Marquess Wilson,CHI,WR,3,80,26.7,7.9,0,20,11.2,20,22,27.5
Ben Roethlisberger,PIT,QB,14,921,65.8,85,1.7,0,57,57,252.16,27.4
Robert Turbin,IND,RB,15,300,20,27.4,15.7,11.7,24.3,27.3,82.3,27.4
Frank Gore,IND,RB,16,650,40.6,59.3,40.5,7.2,46.3,47.7,176.3,27.1
Matthew Stafford,DET,QB,16,1037,64.8,100,3.6,0,60.8,60.8,279.78,27
Marcus Mariota,TEN,QB,15,963,64.2,90.6,6.2,0.1,53.1,53.2,259.94,27
Russell Wilson,SEA,QB,16,1008,63,94.8,7.1,0.2,61.5,61.5,268.06,26.6
Nick Foles,KC,QB,3,106,35.3,10.4,3.8,0,55.7,55.7,28,26.4
Bilal Powell,NYJ,RB,16,531,33.2,50.9,24.7,13.9,35.6,38.6,139,26.2
Ladarius Green,PIT,TE,6,140,23.3,12.9,0,24.3,12.9,24.3,36.4,26
Lamar Miller,HOU,RB,14,624,44.6,55.5,42.9,6.2,47.9,49.2,160.1,25.7
Theo Riddick,DET,RB,10,423,42.3,40.8,21.7,15.8,34.3,37.6,108.8,25.7
Derek Carr,OAK,QB,15,1048,69.9,93.7,3.6,0,57,57,268.22,25.6
Zach Zenner,DET,RB,14,293,20.9,28.3,30,7.8,36.2,37.9,75,25.6
Brian Hoyer,CHI,QB,6,314,52.3,31.1,2.2,0,65.9,65.9,79.6,25.4
Ryan Tannehill,MIA,QB,13,758,58.3,80,5.1,0,56.5,56.5,190.2,25.1
Julio Jones,ATL,WR,14,706,50.4,67.9,0,18.3,11.8,18.3,176.9,25.1
Cam Newton,CAR,QB,15,1022,68.1,92.2,8.8,0,58.7,58.7,254.26,24.9
Matt Asiata,MIN,RB,16,407,25.4,38.7,29.7,9.3,37.6,39.1,100.5,24.7
Ty Montgomery,GB,RB,15,392,26.1,36,19.6,14.3,30.9,33.9,96.5,24.6
Jonathan Stewart,CAR,RB,13,566,43.5,51.1,38.5,3.7,39.9,42.2,138.4,24.5
Alex Smith,KC,QB,15,917,61.1,89.6,5.2,0.1,58.7,58.7,223.78,24.4
Blake Bortles,JAX,QB,16,1111,69.4,99.9,5.2,0.1,61.6,61.6,270.1,24.3
Philip Rivers,LAC,QB,16,1064,66.5,99.5,1.3,0,55.6,55.6,258.94,24.3
Jimmy Garoppolo,NE,QB,6,144,24,12.8,6.9,0.7,51.4,51.4,34.98,24.3
Andy Dalton,CIN,QB,16,1085,67.8,99.8,4.2,0,56.1,56.1,260.64,24
Chris Ivory,JAX,RB,11,311,28.3,28,37.6,9,44.1,46.6,74.5,24
James White,NE,RB,16,427,26.7,38.1,9.1,20.1,23.2,29.3,101.7,23.8
Eddie Lacy,GB,RB,5,166,33.2,15.3,42.8,4.2,45.2,47,38.8,23.4
Carson Palmer,ARI,QB,15,1045,69.7,90.8,1.3,0,58.5,58.5,243.12,23.3
Rashad Jennings,NYG,RB,13,443,34.1,41.8,40.9,9.5,48.8,50.3,103.4,23.3
Keenan Allen,LAC,WR,1,27,27,2.5,0,25.9,22.2,25.9,6.3,23.3
Shane Vereen,NYG,RB,5,117,23.4,11,28.2,16.2,37.6,44.4,27.2,23.2
Dion Lewis,NE,RB,7,163,23.3,14.5,39.3,14.7,49.7,54,37.7,23.1
Jameis Winston,TB,QB,16,1122,70.1,98.7,4.6,0,55.2,55.2,256.4,22.9
Jacquizz Rodgers,TB,RB,10,341,34.1,31.8,37.8,4.7,41.6,42.5,77.8,22.8
Sam Bradford,MIN,QB,15,979,65.3,93,2,0.1,58.5,58.5,220.88,22.6
Devontae Booker,DEN,RB,16,497,31.1,46.1,35,9.3,41.2,44.3,111.7,22.5
JJ Nelson,ARI,WR,15,471,31.4,40.9,0.8,15.7,8.1,16.6,105.1,22.3
Doug Martin,TB,RB,8,321,40.1,28.2,44.9,5,49.2,49.8,71.5,22.3
Cody Kessler,CLE,QB,9,349,38.8,33.9,3.2,0,59,59,77,22.1
Robert Griffin III,CLE,QB,5,302,60.4,29.3,10.3,0,58.9,58.9,66.44,22
Mike Evans,TB,WR,16,950,59.4,83.6,0,18.2,10.1,18.2,208.1,21.9
Jeremy Langford,CHI,RB,12,248,20.7,24.5,25,10.9,32.7,35.9,54.2,21.9
Joe Flacco,BAL,QB,16,1111,69.4,98,1.9,0,62.4,62.4,242.48,21.8
Charlie Whitehurst,CLE,QB,1,43,43,19.8,4.7,0,60.5,60.5,9.38,21.8
AJ Green,CIN,WR,10,554,55.4,51,0,18.1,11.9,18.1,120.4,21.7
Darren Sproles,PHI,RB,15,511,34.1,45.1,18.4,13.9,28.6,32.3,110.5,21.6
Paul Perkins,NYG,RB,14,289,20.6,27.2,38.8,8.3,43.9,47.1,61.8,21.4
Trevor Siemian,DEN,QB,14,903,64.5,83.7,3.1,0,56.9,56.9,191.74,21.2
Eli Manning,NYG,QB,16,1061,66.3,100,2.1,0,58.4,58.4,224.18,21.1
Giovani Bernard,CIN,RB,10,394,39.4,36.2,23.1,12.9,33,36,83.3,21.1
Blaine Gabbert,SF,QB,6,344,57.3,33.3,11.6,0.3,58.4,58.4,72.7,21.1
Landry Jones,PIT,QB,8,161,20.1,14.9,3.7,0,57.1,57.1,33.92,21.1
Todd Gurley,LAR,RB,16,741,46.3,73.8,37.5,7.8,43.3,45.3,155.2,20.9
Antonio Brown,PIT,WR,15,975,65,90,0.3,15.8,11.2,16.1,201.3,20.6
Jerick McKinnon,MIN,RB,15,511,34.1,48.5,31.1,10.4,39.7,41.7,105.4,20.6
Thomas Rawls,SEA,RB,9,303,33.7,28.5,36,5.6,40.3,41.6,62.5,20.6
Jordy Nelson,GB,WR,16,1015,63.4,93.3,0,15,9.6,15,207.7,20.5
Rob Gronkowski,NE,TE,8,354,44.2,31.6,0,10.7,7.1,10.7,72,20.3
Chris Thompson,WAS,RB,16,489,30.6,46,13.9,12.7,23.9,26.6,98.5,20.1
Duke Johnson,CLE,RB,16,457,28.6,44.4,16,16.2,27.8,32.4,91.2,20
Josh McCown,CLE,QB,5,262,52.4,25.4,2.7,0,65.6,65.6,52.1,19.9
Kendall Wright,TEN,WR,11,309,28.1,29.1,0.3,13.9,9.7,14.2,61.1,19.8
Odell Beckham Jr,NYG,WR,16,1002,62.6,94.4,0.1,16.9,10.2,17,195.6,19.5
T.Y. Hilton,IND,WR,16,947,59.2,86.4,0,16.4,9.6,16.4,182.8,19.3
Brandin Cooks,NO,WR,16,880,55,76.5,0.7,13.3,9.5,14,168.3,19.1
Carson Wentz,PHI,QB,16,1127,70.4,99.5,4.1,0.1,58,58,212.98,18.9
Michael Thomas,NO,WR,15,865,57.7,75.2,0,14,10.6,14,163.7,18.9
Dez Bryant,DAL,WR,13,688,52.9,64.9,0,14,7.4,14.1,130,18.9
Cole Beasley,DAL,WR,16,604,37.8,57,0.2,16.2,12.7,16.6,114,18.9
Davante Adams,GB,WR,16,915,57.2,84.1,0,13.2,8.2,13.2,171.7,18.8
Rishard Matthews,TEN,WR,16,781,48.8,73.5,0,13.8,8.3,13.8,146.5,18.8
Connor Cook,OAK,QB,1,32,32,2.9,0,0,65.6,65.6,6,18.8
Case Keenum,LAR,QB,10,595,59.5,59.3,3.4,0,57.5,57.5,111.14,18.7
Charcandrick West,KC,RB,15,358,23.9,35,24.6,9.5,32.4,34.1,66.1,18.5
Charles Sims,TB,RB,7,238,34,20.9,21.4,13.4,31.5,34.9,43.9,18.4
Sammie Coates,PIT,WR,14,313,22.4,28.9,1.3,15.7,8,16.9,56.9,18.2
Jordan Reed,WAS,TE,12,568,47.3,53.4,0,15.7,11.6,15.7,102.6,18.1
Michael Crabtree,OAK,WR,16,835,52.2,74.6,0,17.4,10.7,17.4,150.3,18
Jacoby Brissett,NE,QB,3,158,52.7,14.1,10.1,0,44.9,44.9,28.3,17.9
Doug Baldwin,SEA,WR,16,896,56,84.3,0.3,14,10.9,14.4,159.6,17.8
DeSean Jackson,WAS,WR,15,707,47.1,66.5,0,14.1,7.9,14.1,124.5,17.6
Ryan Fitzpatrick,NYJ,QB,14,765,54.6,73.3,4.3,0,57,57,133.4,17.4
Delanie Walker,TEN,TE,15,707,47.1,66.5,0.3,14.4,9.5,14.7,123.1,17.4
Brock Osweiler,HOU,QB,15,978,65.2,87,3.1,0.1,55.3,55.3,168.78,17.3
Danny Amendola,NE,WR,12,267,22.2,23.8,0,10.9,8.6,10.9,46.3,17.3
Matt Barkley,CHI,QB,7,412,58.9,45.6,1.7,0.2,54.4,54.4,70.84,17.2
Jay Cutler,CHI,QB,5,275,55,27.2,1.8,0,51.6,51.6,46.76,17
Kelvin Benjamin,CAR,WR,16,800,50,72.2,0,14.8,7.9,14.8,134.1,16.8
Tyrell Williams,LAC,WR,16,893,55.8,83.5,0,13.3,7.7,13.3,147.9,16.6
Kenny Britt,LAR,WR,15,787,52.5,78.4,0,14.1,8.6,14.1,128.2,16.3
Hunter Henry,LAC,TE,15,575,38.3,53.8,0,9.2,6.3,9.2,93.8,16.3
Cameron Brate,TB,TE,15,705,47,62,0,11.5,8.1,11.5,114,16.2
Antonio Gates,LAC,TE,14,586,41.9,54.8,0,15.9,9,15.9,94.8,16.2
Tyler Eifert,CIN,TE,8,428,53.5,39.4,0,11,6.8,11,69.4,16.2
Willie Snead,NO,WR,15,740,49.3,64.3,0,14.1,9.9,14.2,119.5,16.1
Cameron Meredith,CHI,WR,14,703,50.2,69.5,0.1,13.8,9.7,14.1,113.48,16.1
Paxton Lynch,DEN,QB,3,176,58.7,16.3,6.2,0,53.4,53.4,28.38,16.1
Adam Thielen,MIN,WR,16,787,49.2,74.7,0.3,11.7,9,11.9,126.2,16
Matt Cassel,TEN,QB,4,98,24.5,9.2,4.1,0,56.1,56.1,15.66,16
Kenny Stills,MIA,WR,16,795,49.7,83.9,0,10.2,5.3,10.2,126.6,15.9
Jamison Crowder,WAS,WR,16,784,49,73.8,0.3,12.6,8.8,12.9,124.5,15.9
Steve Smith,BAL,WR,14,721,51.5,63.6,0,14,9.7,14,113.9,15.8
Stefon Diggs,MIN,WR,13,693,53.3,65.8,0.4,16.2,12.6,16.6,109.3,15.8
Jimmy Graham,SEA,TE,16,790,49.4,74.3,0.1,12,8.4,12.2,124.3,15.7
Eddie Royal,CHI,WR,9,311,34.6,30.8,0,13.8,10.6,13.8,48.9,15.7
Justin Forsett,DEN,RB,9,265,29.4,28.8,32.8,10.2,40.4,43,41.6,15.7
Travis Benjamin,LAC,WR,14,549,39.2,51.4,0.4,13.7,9.1,14.2,85.4,15.6
Arian Foster,MIA,RB,4,85,21.2,9,25.9,11.8,32.9,37.6,13.3,15.6
Travis Kelce,KC,TE,16,888,55.5,86.7,0.1,13.2,9.7,13.3,138,15.5
Donte Moncrief,IND,WR,9,468,52,42.7,0.2,12,6.6,12.2,72.6,15.5
Jarvis Landry,MIA,WR,16,892,55.8,94.1,0.6,14.7,11.2,15.4,137.3,15.4
Emmanuel Sanders,DEN,WR,16,868,54.2,80.4,0.1,15.8,9.2,15.9,133.6,15.4
Demaryius Thomas,DEN,WR,16,889,55.6,82.4,0,16.2,10.1,16.2,136.3,15.3
Golden Tate,DET,WR,16,866,54.1,83.5,1.2,15.6,11.7,16.7,132.1,15.3
Ted Ginn,CAR,WR,16,688,43,62.1,2,13.8,9.9,15.8,105,15.3
Terrelle Pryor,CLE,WR,16,899,56.2,87.3,0.9,15.6,10.5,17.5,136.44,15.2
TJ Yeldon,JAX,RB,15,576,38.4,51.8,22.6,11.8,31.2,34.4,87.7,15.2
Darrius Heyward-Bey,PIT,WR,10,233,23.3,21.5,0.4,8.2,3,8.6,35.4,15.2
Julian Edelman,NE,WR,16,877,54.8,78.2,1.4,18.1,12.5,19.5,132.3,15.1
Pierre Garcon,WAS,WR,16,808,50.5,76,0,14.1,9.8,14.1,122.1,15.1
James Starks,GB,RB,9,265,29.4,24.4,23.8,9.4,30.9,33.2,39.9,15.1
Mike Wallace,BAL,WR,16,872,54.5,76.9,0.6,13.3,8.8,13.9,130.8,15
Amari Cooper,OAK,WR,16,997,62.3,89.1,0.1,13.1,8.3,13.2,148.9,14.9
Tyler Lockett,SEA,WR,15,558,37.2,52.5,1.1,11.8,8.4,12.9,83.1,14.9
Eric Decker,NYJ,WR,3,211,70.3,20.2,0,10,4.3,10,31.4,14.9
Sammy Watkins,BUF,WR,8,382,47.8,35.9,0,13.6,7.3,13.6,55,14.4
Vance McDonald,SF,TE,11,442,40.2,42.7,0,10.2,5.4,10.2,63.1,14.3
Eli Rogers,PIT,WR,13,550,42.3,50.8,0.2,12,8.9,12.2,78,14.2
Zach Miller,CHI,TE,10,511,51.1,50.5,0,12.5,9.2,12.5,72.6,14.2
Justin Hunter,BUF,WR,13,303,23.3,28.8,0,7.6,3.3,7.6,42.9,14.2
Breshad Perriman,BAL,WR,16,484,30.2,42.7,0.2,13.6,7,13.8,68.1,14.1
Shaun Hill,MIN,QB,3,74,24.7,7,6.8,0,54.1,54.1,10.18,13.8
Alshon Jeffery,CHI,WR,12,692,57.7,68.4,0,13.6,7.5,13.6,94.1,13.6
Jared Goff,LAR,QB,7,393,56.1,39.1,2,0,54.2,54.2,53.16,13.5
Markus Wheaton,PIT,WR,3,97,32.3,9,0,9.3,4.1,9.3,13.1,13.5
Marqise Lee,JAX,WR,16,817,51.1,73.5,0.7,12.9,8.6,13.7,109.4,13.4
Devante Parker,MIA,WR,15,736,49.1,77.6,0,12,7.6,12,98.4,13.4
Marvin Jones,DET,WR,15,879,58.6,84.8,0.1,11.7,6.4,11.8,117.3,13.3
Coby Fleener,NO,TE,16,663,41.4,57.6,0.2,12.4,7.7,12.5,87.3,13.2
Bryce Petty,NYJ,QB,6,245,40.8,23.5,2,0,56.3,56.3,32.26,13.2
Jaron Brown,ARI,WR,7,189,27,16.4,0,12.2,5.8,12.2,24.7,13.1
Larry Fitzgerald,ARI,WR,16,1052,65.8,91.4,0.2,14.3,10.5,14.5,136.8,13
Kyle Rudolph,MIN,TE,16,970,60.6,92.1,0,13.6,8.6,13.6,126,13
Martellus Bennett,NE,TE,16,870,54.4,77.6,0.2,8.4,6.6,8.6,113.1,13
Randall Cobb,GB,WR,13,681,52.4,62.6,1.5,12.3,10.3,13.8,88.3,13
Dwayne Allen,IND,TE,14,611,43.6,55.7,0,8.5,5.7,8.5,78.6,12.9
Quincy Enunwa,NYJ,WR,16,873,54.6,83.7,0.2,12,6.9,12.3,111.8,12.8
Anquan Boldin,DET,WR,16,830,51.9,80,0,11.4,8.1,11.4,106.4,12.8
Devin Funchess,CAR,WR,15,492,32.8,44.4,0,11.8,4.7,11.8,63.1,12.8
Jared Cook,GB,TE,10,329,32.9,30.2,0,15.5,9.1,15.5,41.7,12.7
Brandon Coleman,NO,WR,16,365,22.8,31.7,0,10.4,7.1,10.4,46.1,12.6
Zach Ertz,PHI,TE,14,851,60.8,75.1,0,12.5,9.2,12.5,105.6,12.4
Greg Olsen,CAR,TE,16,1032,64.5,93.1,0,12.5,7.8,12.5,127.3,12.3
Demarcus Ayers,PIT,WR,2,82,41,40.2,2.4,15.9,9.8,18.3,10.1,12.3
Jordan Cameron,MIA,TE,3,98,32.7,10.3,0,11.2,8.2,11.2,12,12.2
Allen Robinson,JAX,WR,16,1047,65.4,94.2,0,14.4,7,14.4,126.3,12.1
Brandon LaFell,CIN,WR,16,1010,63.1,92.9,0.1,10.6,6.4,10.7,122,12.1
Mohamed Sanu,ATL,WR,15,745,49.7,71.6,0.1,10.9,8.1,11,89.8,12.1
Tavon Austin,LAR,WR,15,731,48.7,72.8,3.8,14.5,11.8,18.3,88.8,12.1
Tom Savage,HOU,QB,3,146,48.7,13,4.1,0,54.1,54.1,17.64,12.1
Adam Humphries,TB,WR,15,648,43.2,57,0.8,12.8,9.3,13.6,78,12
Sterling Shepard,NYG,WR,16,1005,62.8,94.7,0.3,10.4,6.8,10.7,119.4,11.9
Malcolm Mitchell,NE,WR,14,539,38.5,48.1,0,8.9,5.9,8.9,64.1,11.9
Jacob Tamme,ATL,TE,8,329,41.1,31.6,0,9.4,6.7,9.4,39,11.9
Eric Ebron,DET,TE,13,708,54.5,68.3,0.1,12,8.8,12.1,83.2,11.8
CJ Fiedorowicz,HOU,TE,15,678,45.2,60.3,0,13.1,8,13.1,79.9,11.8
Jordan Matthews,PHI,WR,14,844,60.3,74.5,0.1,13.9,8.8,14,98.5,11.7
Trey Burton,PHI,TE,15,331,22.1,29.2,0,18.1,11.2,18.1,38.7,11.7
Cordarrelle Patterson,MIN,WR,16,531,33.2,50.4,1.3,13.2,11.1,14.5,61.6,11.6
Julius Thomas,JAX,TE,9,449,49.9,40.4,0,11.4,6.7,11.4,52.1,11.6
Jack Doyle,IND,TE,16,750,46.9,68.4,0,10,7.9,10,86.4,11.5
Corey Coleman,CLE,WR,10,533,53.3,51.7,0.4,13.7,6.6,14.1,60.3,11.3
Austin Seferian-Jenkins,NYJ,TE,9,190,21.1,19.5,0,10.5,6.8,10.5,21.4,11.3
Austin Hooper,ATL,TE,14,406,29,39,0,6.7,4.7,6.7,45.1,11.1
DeAndre Hopkins,HOU,WR,16,1087,67.9,96.7,0,13.9,7.2,13.9,119.4,11
Dontrelle Inman,LAC,WR,16,960,60,89.8,0,10.1,6,10.1,105,10.9
Chris Hogan,NE,WR,15,832,55.5,74.2,0.4,7,4.9,7.3,90.9,10.9
Terrance Williams,DAL,WR,16,746,46.6,70.4,0,8.2,5.9,8.2,81.4,10.9
John Brown,ARI,WR,15,596,39.7,51.8,0.2,12.1,6.7,12.2,64.7,10.9
Albert Wilson,KC,WR,16,466,29.1,45.5,0.4,10.9,7.1,11.4,50.9,10.9
Russell Shepard,TB,WR,14,432,30.9,38,0.2,9.3,5.6,9.5,47,10.9
Deonte Thompson,CHI,WR,16,320,20,31.7,0,11.2,6.9,11.2,34.9,10.9
Brian Quick,LAR,WR,16,691,43.2,68.8,0,11.1,5.9,11.1,74.4,10.8
Scott Tolzien,IND,QB,3,83,27.7,7.6,7.2,0,51.8,51.8,8.94,10.8
Brandon Marshall,NYJ,WR,15,901,60.1,86.4,0,14.2,6.5,14.2,96.8,10.7
Robert Woods,BUF,WR,13,633,48.7,59.5,0.2,12,8.2,12.2,67.9,10.7
Ryan Griffin,HOU,TE,16,507,31.7,45.1,0,14.6,9.9,14.6,54.2,10.7
Michael Floyd,NE,WR,15,746,49.7,63.3,0,10.2,5,10.2,78.8,10.6
Jeremy Kerley,SF,WR,16,790,49.4,76.4,0,14.6,8.1,14.6,82.7,10.5
Vernon Davis,WAS,TE,16,673,42.1,63.3,0,8.8,6.5,8.8,70.3,10.4
Jeremy Maclin,KC,WR,12,629,52.4,61.4,0.2,12.1,7.3,12.4,65.5,10.4
Paul Richardson,SEA,WR,15,338,22.5,31.8,0.3,10.7,6.5,10.9,35.3,10.4
Bryan Walters,JAX,WR,10,321,32.1,30.7,0.3,10.6,7.8,10.9,33.5,10.4
Allen Hurns,JAX,WR,11,635,57.7,57.1,0,12,5.5,12,65.7,10.3
Kevin White,CHI,WR,4,191,47.8,18.9,0.5,18.8,10.5,19.4,19.6,10.3
Dennis Pitta,BAL,TE,16,810,50.6,71.4,0,14.9,10.6,14.9,82.9,10.2
Robby Anderson,NYJ,WR,16,717,44.8,68.7,0.4,10.9,6.3,11.3,72.9,10.2
Byron Marshall,PHI,WR,3,75,25,34.2,25.3,6.7,29.3,32,7.4,9.9
Seth Roberts,OAK,WR,16,749,46.8,66.9,0,10.3,5.1,10.3,73.7,9.8
Marquise Goodwin,BUF,WR,15,638,42.5,60,0,10.7,4.5,10.7,61.1,9.6
Tyler Boyd,CIN,WR,16,739,46.2,68,0.5,11,7.8,11.5,70.1,9.5
Andre Johnson,TEN,WR,8,217,27.1,20.4,0,10.6,4.1,10.6,20.5,9.4
Brice Butler,DAL,WR,16,429,26.8,40.5,0,7.5,3.7,7.5,39.9,9.3
Drew Stanton,ARI,QB,5,106,21.2,9.2,2.8,0,49.1,49.1,9.9,9.3
Cobi Hamilton,PIT,WR,11,385,35,51.6,0,7.3,4.4,7.3,35.4,9.2
Charles Clay,BUF,TE,15,871,58.1,81.9,0,10,6.5,10,79.2,9.1
Will Fuller,HOU,WR,14,830,59.3,73.8,0.1,11.1,5.8,11.2,75.2,9.1
Harry Douglas,TEN,WR,11,237,21.5,22.3,0,9.3,6.3,9.3,21,8.9
Garrett Celek,SF,TE,16,605,37.8,58.5,0,8.4,4.8,8.4,51,8.4
Phillip Dorsett,IND,WR,15,795,53,72.5,0.3,7.4,4.4,7.7,65.8,8.3
Jason Witten,DAL,TE,16,1018,63.6,96,0,9.3,6.8,9.3,83.3,8.2
Tajae Sharpe,TEN,WR,16,786,49.1,73.9,0.1,10.6,5.3,10.7,64.3,8.2
Victor Cruz,NYG,WR,15,766,51.1,72.2,0,9.4,5.1,9.4,62.6,8.2
Marcedes Lewis,JAX,TE,10,280,28,25.2,0,10.7,7.1,10.7,22.9,8.2
Paul Turner,PHI,WR,4,154,38.5,35.3,0,9.1,5.8,9.1,12.6,8.2
Mychal Rivera,OAK,TE,13,313,24.1,28,0,8,5.8,8,25.2,8.1
Dorial Green-Beckham,PHI,WR,15,642,42.8,56.7,0,11.5,5.6,11.5,51.2,8
Kyle Juszczyk,BAL,FB,16,463,28.9,40.8,1.1,10.6,9.1,11.7,36.8,7.9
Gary Barnidge,CLE,TE,16,968,60.5,94,0,8.4,5.7,8.4,75.2,7.8
Andrew Hawkins,CLE,WR,16,647,40.4,62.8,0.3,8.2,5.4,8.5,50.4,7.8
Clive Walford,OAK,TE,15,702,46.8,62.7,0,7.4,4.7,7.4,53.9,7.7
Mike Tolbert,CAR,FB,16,323,20.2,29.2,10.8,4.6,13.9,15.5,24.6,7.6
Charone Peake,NYJ,WR,15,323,21.5,31,0,10.8,5.9,10.8,24.6,7.6
Cody Core,CIN,WR,8,262,32.8,24.1,0,10.3,6.5,10.3,20,7.6
Lance Kendricks,LAR,TE,16,826,51.6,82.3,0,10.5,6.1,10.5,59.9,7.3
CJ Uzomah,CIN,TE,10,411,41.1,37.8,0,9.2,6.1,9.2,29.4,7.2
Dion Sims,MIA,TE,14,701,50.1,73.9,0,5,3.7,5,49.6,7.1
Luke Willson,SEA,TE,11,350,31.8,32.9,0,6,4.3,6,24.9,7.1
Adrian Peterson,MIN,RB,3,84,28,8,44,7.1,47.6,51.2,6,7.1
Torrey Smith,SF,WR,12,643,53.6,62.2,0,7.6,3.1,7.6,44.7,7
Daniel Brown,CHI,WR,8,261,32.6,35.8,0,7.7,6.1,7.7,18.4,7
Jermaine Kearse,SEA,WR,16,828,51.8,77.9,0,10.7,5,10.7,57.1,6.9
Will Tye,NYG,TE,16,680,42.5,64.1,0,10.3,7.1,10.3,45.5,6.7
Levine Toilolo,ATL,TE,16,570,35.6,54.8,0,3.3,2.3,3.3,38.4,6.7
Chris Conley,KC,WR,16,818,51.1,79.9,0,8.4,5.4,8.4,53,6.5
Richard Rodgers,GB,TE,16,603,37.7,55.4,0,7.8,5,7.8,39.1,6.5
Kamar Aiken,BAL,WR,16,595,37.2,52.5,0,8.4,4.9,8.4,38.8,6.5
