Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Todd Gurley,LAR,RB,12,23,0,0,0,1305,13,64,788,6,319.3,1.7
Le'Veon Bell,PIT,RB,7,26,0,0,0,1291,9,85,655,2,256.6,2.2
Ezekiel Elliott,DAL,RB,8,22,0,0,0,983,7,26,269,2,177.2,3.8
David Johnson,ARI,RB,9,26,0,0,0,23,0,6,67,0,7,4.1
Antonio Brown,PIT,WR,7,30,0,0,0,0,0,101,1533,9,209.3,5.4
Alvin Kamara,NO,RB,6,22,0,0,0,728,8,81,826,5,233.4,6.4
Leonard Fournette,JAX,RB,9,23,0,0,0,1040,9,36,302,1,194.2,8.2
DeAndre Hopkins,HOU,WR,10,26,0,0,0,0,0,96,1378,13,213.8,9.2
Melvin Gordon,LAC,RB,8,25,0,0,0,1105,8,58,476,4,230.1,9.8
Kareem Hunt,KC,RB,12,22,0,0,0,1327,8,53,455,3,242.2,10.4
Odell Beckham Jr,NYG,WR,9,25,0,0,0,8,0,25,302,3,49,12.1
Dalvin Cook,MIN,RB,10,22,0,0,0,354,2,11,90,0,54.4,12.7
Julio Jones,ATL,WR,8,29,0,0,0,15,0,88,1444,3,163.9,14.4
Michael Thomas,NO,WR,6,25,0,0,0,0,0,104,1245,5,154.5,15.5
Devonta Freeman,ATL,RB,8,26,0,0,0,865,7,36,317,1,164.2,16.4
Jerick McKinnon,MIN,RB,11,26,0,0,0,570,3,51,421,2,127.1,17
Davante Adams,GB,WR,7,25,0,0,0,0,0,74,885,10,148.5,18.3
Keenan Allen,LAC,WR,8,26,0,0,0,9,1,102,1393,6,182.2,18.6
LeSean McCoy,BUF,RB,11,30,0,0,0,1138,6,59,448,2,204.6,19.3
Jordan Howard,CHI,RB,5,23,0,0,0,1122,9,23,125,0,176.7,19.5
AJ Green,CIN,WR,9,29,0,0,0,0,0,75,1078,8,151.8,21.4
Rob Gronkowski,NE,TE,11,29,0,0,0,0,0,69,1084,8,158.4,21.9
Joe Mixon,CIN,RB,9,21,0,0,0,626,4,30,287,0,111.3,22.3
Christian McCaffrey,CAR,RB,4,22,0,0,0,435,2,80,651,5,148.6,24.5
Mike Evans,TB,WR,5,24,0,0,0,0,0,71,1001,5,132.1,25.4
Derrick Henry,TEN,RB,8,23,0,0,0,744,5,11,136,1,124,26.5
Doug Baldwin,SEA,WR,7,29,0,0,0,-8,0,75,991,8,148.3,28
Aaron Rodgers,GB,QB,7,34,1675,16,6,126,0,0,0,0,129.6,28.2
Josh Gordon,CLE,WR,11,27,0,0,0,0,0,18,335,1,39.5,29.6
Tyreek Hill,KC,WR,12,24,0,0,1,59,0,75,1183,7,164.2,31.1
Travis Kelce,KC,TE,12,28,0,0,1,7,0,83,1038,8,150.5,32.1
Jay Ajayi,PHI,RB,9,25,0,0,0,873,1,24,158,1,111.1,32.8
T.Y. Hilton,IND,WR,9,28,0,0,0,0,0,57,966,4,118.6,33.2
Adam Thielen,MIN,WR,10,27,0,0,0,11,0,91,1276,4,148.7,34.9
Deshaun Watson,HOU,QB,10,22,1699,19,8,269,2,0,0,0,168.86,37.1
Alex Collins,BAL,RB,10,23,0,0,0,973,6,23,187,0,148,38
Stefon Diggs,MIN,WR,10,24,0,0,0,13,0,64,849,8,134.2,38.1
Amari Cooper,OAK,WR,7,24,0,0,0,4,0,48,680,7,110.4,40.2
Zach Ertz,PHI,TE,9,27,0,0,0,0,0,74,824,8,128.4,40.4
