Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Alvin Kamara,NO,RB,16,464,29,44.7,25.9,21.6,43.3,47.4,233.4,50.3
Dion Lewis,NE,RB,16,404,25.2,35.4,44.6,8.9,52.5,53.5,165,40.8
Todd Gurley,LAR,RB,15,796,53.1,76.5,35.1,10.9,43.1,46,319.3,40.1
Alex Collins,BAL,RB,15,378,25.2,37.1,56.1,9.5,62.2,65.6,148,39.2
Mark Ingram,NO,RB,16,570,35.6,54.9,40.4,12.5,50.5,52.8,220,38.6
Orleans Darkwa,NYG,RB,15,315,21,29.1,54.3,8.9,60.3,63.2,118.7,37.7
Deshaun Watson,HOU,QB,7,464,66.3,59.4,7.8,0,51.7,51.7,168.86,36.4
Kareem Hunt,KC,RB,16,670,41.9,64.9,40.6,9.4,48.5,50,242.2,36.1
Leonard Fournette,JAX,RB,13,564,43.4,49.8,47.5,8.5,53.9,56,194.2,34.4
Latavius Murray,MIN,RB,16,421,26.3,37.7,51.3,4,54.9,55.3,142.5,33.8
Chris Thompson,WAS,RB,10,338,33.8,46.5,18.9,16,30.5,34.9,112.4,33.3
Tevin Coleman,ATL,RB,15,425,28.3,41.4,36.7,9.2,43.1,45.9,140.7,33.1
Russell Wilson,SEA,QB,16,1063,66.4,99.5,8.9,0,61,61,347.92,32.7
Dalvin Cook,MIN,RB,4,169,42.2,21.9,43.8,9.5,50.3,53.3,54.4,32.2
Carson Wentz,PHI,QB,13,879,67.6,93.9,7.3,0,57.3,57.3,281.74,32.1
Marshawn Lynch,OAK,RB,15,462,30.8,45.6,44.8,6.7,49.1,51.5,144.2,31.2
Aaron Rodgers,GB,QB,7,418,59.7,53.5,5.7,0,62.7,62.7,129.6,31
Melvin Gordon,LAC,RB,16,750,46.9,70.5,37.9,11.1,45.6,48.9,230.1,30.7
Alex Smith,KC,QB,15,966,64.4,93.5,6.2,0,58.5,58.5,295.18,30.6
Jordan Howard,CHI,RB,16,578,36.1,58.4,47.8,5.5,51.7,53.3,176.7,30.6
Bilal Powell,NYJ,RB,15,401,26.7,38.6,44.4,8.2,50.1,52.6,122.2,30.5
Derrick Henry,TEN,RB,16,411,25.7,40.1,42.8,4.1,45.5,47,124,30.2
Ezekiel Elliott,DAL,RB,10,591,59.1,67.8,40.9,6.4,45.3,47.4,177.2,30
Devonta Freeman,ATL,RB,14,552,39.4,53.8,35.5,8.5,42,44,164.2,29.7
Sam Bradford,MIN,QB,2,91,45.5,11.8,2.2,0,49.5,49.5,26.98,29.6
Joe Mixon,CIN,RB,14,385,27.5,39.8,46.2,8.8,54,55.1,111.3,28.9
LeSean McCoy,BUF,RB,16,722,45.1,68.4,39.8,10.7,47.9,50.4,204.6,28.3
Cam Newton,CAR,QB,16,1063,66.4,98.5,13.1,0,59.4,59.4,299.48,28.2
LeGarrette Blount,PHI,RB,16,353,22.1,31.2,49,2.3,51.3,51.3,99.6,28.2
Kirk Cousins,WAS,QB,16,1012,63.2,99.5,4.8,0,58.2,58.2,277.62,27.4
Le'Veon Bell,PIT,RB,15,945,63,85.3,34,11.2,43,45.2,256.6,27.2
Jared Goff,LAR,QB,15,939,62.6,90.2,3,0,53.8,53.8,255.26,27.2
David Fales,MIA,QB,2,72,36,10.9,5.6,0,65.3,65.3,19.4,26.9
Jonathan Stewart,CAR,RB,15,407,27.1,37.7,48.6,3.7,50.6,52.3,109.2,26.8
Jamaal Williams,GB,RB,16,443,27.7,42.3,34.5,7.7,40.2,42.2,117.8,26.6
Tom Brady,NE,QB,16,1118,69.9,98,2.2,0,54.2,54.2,295.88,26.5
Marlon Mack,IND,RB,14,310,22.1,30.1,30,10.6,36.8,40.6,82.3,26.5
Matthew Stafford,DET,QB,16,1035,64.7,99.1,2.8,0,57.4,57.4,273.64,26.4
Philip Rivers,LAC,QB,16,1028,64.2,96.6,1.8,0,57.7,57.7,270.4,26.3
Ameer Abdullah,DET,RB,14,378,27,36.2,43.7,9.3,50.3,52.9,99.4,26.3
Frank Gore,IND,RB,16,555,34.7,53.9,47,6.8,52.3,53.9,144.6,26.1
Javorius Allen,BAL,RB,16,465,29.1,42.8,32.9,12.9,42.8,45.8,120.1,25.8
Drew Brees,NO,QB,16,1034,64.6,99.5,3.2,0,55,55,262.56,25.4
Jameis Winston,TB,QB,13,795,61.2,72.7,4.2,0,59.7,59.7,201.66,25.4
Kapri Bibbs,WAS,RB,3,105,35,58.7,20,16.2,33.3,36.2,26.7,25.4
Tarik Cohen,CHI,RB,16,360,22.5,36.4,24.2,19.7,39.4,44.4,91.14,25.3
Duke Johnson,CLE,RB,16,565,35.3,52.9,14.5,16.5,27.6,31,142.1,25.2
Kevin Hogan,CLE,QB,4,134,33.5,12.5,7.5,0,63.4,63.4,33.78,25.2
Ben Roethlisberger,PIT,QB,15,1038,69.2,93.7,2.7,0,56.7,56.7,260.74,25.1
Josh McCown,NYJ,QB,13,819,63,97.5,4.5,0,53,53,205.44,25.1
TJ Yeldon,JAX,RB,10,230,23,20.3,21.3,17.8,34.3,39.1,57.7,25.1
Ty Montgomery,GB,RB,8,274,34.2,38.5,25.9,11.3,34.3,37.2,68.6,25
Dak Prescott,DAL,QB,16,1053,65.8,98.6,5.4,0,51.9,51.9,260.66,24.8
Ryan Fitzpatrick,TB,QB,6,299,49.8,27.3,5,0,59.5,59.5,73.92,24.7
Jimmy Garoppolo,SF,QB,6,353,58.8,30.7,4.2,0.3,55,55,86.9,24.6
Jerick McKinnon,MIN,RB,16,528,33,47.2,28.4,12.9,38.1,41.3,127.1,24.1
Samaje Perine,WAS,RB,16,360,22.5,35.4,48.6,6.7,54.7,55.3,86.5,24
Tyrod Taylor,BUF,QB,15,931,62.1,88.2,9,0,54.1,54.1,222.66,23.9
CJ Anderson,DEN,RB,16,617,38.6,54.8,39.7,6.5,44.2,46.2,147.1,23.8
Antonio Brown,PIT,WR,14,888,63.4,80.1,0,18.4,11.4,18.4,209.3,23.6
Case Keenum,MIN,QB,15,1016,67.7,90.9,3.9,0,51.3,51.3,237.88,23.4
