Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Le'Veon Bell,PIT,RB,7,26,0,0,0,1361,8,83,854,3,287.5,2.2
Antonio Brown,PIT,WR,7,30,20,1,0,13,0,129,1698,13,251.9,5.4
DeAndre Hopkins,HOU,WR,10,26,0,0,0,0,0,76,1210,6,155,9.2
Odell Beckham Jr,NYG,WR,9,25,0,0,0,35,0,91,1305,12,204,12.1
Julio Jones,ATL,WR,8,29,0,0,0,1,0,104,1593,6,193.4,14.4
Devonta Freeman,ATL,RB,8,26,0,0,0,248,1,30,225,1,57.3,16.4
Jerick McKinnon,MIN,RB,11,26,0,0,0,538,0,27,135,0,67.3,17
Davante Adams,GB,WR,7,25,0,0,0,0,0,38,446,3,62.6,18.3
Keenan Allen,LAC,WR,8,26,0,0,0,0,0,77,783,4,98.3,18.6
LeSean McCoy,PHI,RB,11,30,0,0,0,1319,5,29,155,0,171.4,19.3
AJ Green,CIN,WR,9,29,0,0,0,2,0,69,1041,6,136.3,21.4
Rob Gronkowski,NE,TE,11,29,0,0,0,0,0,82,1124,12,184.4,21.9
Mike Evans,TB,WR,5,24,0,0,0,0,0,68,1051,12,177.1,25.4
Doug Baldwin,SEA,WR,7,29,0,0,0,8,0,66,825,3,101.3,28
Aaron Rodgers,GB,QB,7,34,4381,38,5,269,2,0,0,0,354.14,28.2
Josh Gordon,CLE,WR,11,27,0,0,0,0,0,24,303,0,30.3,29.6
Travis Kelce,KC,TE,12,28,0,0,0,0,1,67,862,5,116.2,32.1
T.Y. Hilton,IND,WR,9,28,0,0,0,20,0,82,1345,7,176.5,33.2
Adam Thielen,MIN,WR,10,27,0,0,0,0,0,8,137,1,19.7,34.9
Zach Ertz,PHI,TE,9,27,0,0,0,0,0,58,702,3,86.2,40.4
Lamar Miller,MIA,RB,10,27,0,0,0,1099,8,38,275,1,185.4,41.8
