Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Steve Breaston,ARI,WR,15,0,0,0,44,0,55,712,3,1,6.1,91.6
Correll Buckhalter,DEN,RB,14,0,0,0,642,1,31,240,0,2,6.4,90.2
Ryan Fitzpatrick,BUF,QB,10,1422,9,10,141,1,0,0,0,2,8.9,88.98
Kevin Boss,NYG,TE,15,0,0,0,16,0,42,567,5,0,5.9,88.3
Donnie Avery,LAR,WR,16,0,0,0,30,0,47,589,5,2,5.5,87.9
Fred Davis,WAS,TE,16,0,0,0,0,0,48,509,6,0,5.4,86.9
Kenny Britt,TEN,WR,16,0,0,0,0,0,42,701,3,1,5.4,86.1
Bernard Berrian,MIN,WR,16,0,0,0,0,0,55,618,4,0,5.4,85.8
Earl Bennett,CHI,WR,16,0,0,0,0,0,54,717,2,0,5.4,85.7
Jabar Gaffney,DEN,WR,16,0,0,0,0,0,54,732,2,0,5.3,85.2
Chester Taylor,MIN,RB,16,0,0,0,338,1,44,389,1,0,5.3,84.7
Antonio Bryant,TB,WR,13,0,0,0,0,0,39,600,4,0,6.5,84
Malcom Floyd,LAC,WR,16,0,0,0,0,0,45,776,1,0,5.2,83.6
Michael Bush,OAK,RB,16,0,0,0,589,3,17,105,0,2,5.2,83.4
Brady Quinn,CLE,QB,10,1339,8,7,98,1,1,18,0,3,8.3,83.16
Davone Bess,MIA,WR,16,0,0,0,11,0,76,758,2,3,5.2,82.9
Dwayne Bowe,KC,WR,11,0,0,0,0,0,47,589,4,0,7.5,82.9
Laveranues Coles,CIN,WR,16,0,0,0,10,0,43,514,5,0,5.2,82.4
Jacoby Jones,HOU,WR,14,0,0,0,22,0,27,437,6,0,5.8,81.9
Owen Daniels,HOU,TE,8,0,0,0,0,0,40,519,5,0,10.2,81.9
Kevin Faulk,NE,RB,15,0,0,0,335,2,37,301,1,0,5.4,81.6
Louis Murphy,OAK,WR,16,0,0,0,31,0,34,521,4,0,5,79.2
Jason Avant,PHI,WR,16,0,0,0,0,0,41,587,3,0,4.9,78.7
Johnny Knox,CHI,WR,15,0,0,0,0,0,45,527,5,2,5.2,78.7
Jake Delhomme,CAR,QB,11,2015,8,18,60,0,0,0,0,3,7.1,78.6
Justin Fargas,OAK,RB,12,0,0,0,491,3,17,113,0,0,6.5,78.4
Mohamed Massaquoi,CLE,WR,16,0,0,0,-3,0,34,624,3,1,4.9,78.1
Brian Hartline,MIA,WR,16,0,0,0,29,1,31,506,3,0,4.8,77.5
Josh Morgan,SF,WR,16,0,0,0,61,0,52,527,3,0,4.8,76.8
Kevin Walter,HOU,WR,14,0,0,0,26,0,53,611,2,0,5.4,75.7
Ryan Moats,HOU,RB,14,0,0,0,390,4,13,106,1,2,5.4,75.6
Jeremy Shockey,NO,TE,13,0,0,0,0,0,48,569,3,0,5.8,74.9
James Jones,GB,WR,16,0,0,0,0,0,32,440,5,0,4.6,74
Derrick Ward,TB,RB,14,0,0,0,409,1,20,150,2,0,5.3,73.9
Maurice Morris,DET,RB,14,0,0,0,384,2,26,210,0,0,5.2,73.4
Marshawn Lynch,BUF,RB,13,0,0,0,450,2,28,179,0,1,5.6,72.9
Michael Crabtree,SF,WR,11,0,0,0,0,0,48,625,2,1,6.6,72.5
Benjamin Watson,NE,TE,16,0,0,0,0,0,29,404,5,0,4.4,70.4
Leonard Weaver,PHI,FB,16,0,0,0,323,2,15,140,2,0,4.4,70.3
Torry Holt,JAX,WR,15,0,0,0,0,0,51,722,0,1,4.7,70.2
Matt Moore,CAR,QB,7,1053,8,2,-3,0,0,0,0,0,10,69.82
Michael Jenkins,ATL,WR,15,0,0,0,0,0,50,635,1,0,4.6,69.5
Tashard Choice,DAL,RB,16,0,0,0,349,3,15,132,0,0,4.3,68.1
Trent Edwards,BUF,QB,8,1169,6,7,106,0,0,0,0,0,8.4,67.36
Marc Bulger,LAR,QB,9,1469,5,6,22,0,0,0,0,1,7.4,66.96
Clinton Portis,WAS,RB,8,0,0,0,494,1,9,57,1,1,8.1,65.1
Dustin Keller,NYJ,TE,16,0,0,0,7,0,45,522,2,1,4.1,64.9
Muhsin Muhammad,CAR,WR,14,0,0,0,0,0,53,581,1,0,4.6,64.1
Larry Johnson,CIN,RB,14,0,0,0,581,0,15,80,0,1,4.6,64.1
Marcedes Lewis,JAX,TE,15,0,0,0,0,0,32,518,2,0,4.3,63.8
Bruce Gradkowski,OAK,QB,7,1007,6,3,108,0,0,0,0,3,9,63.08
Donald Brown,IND,RB,11,0,0,0,281,3,11,169,0,0,5.7,63
Jamal Lewis,CLE,RB,9,0,0,0,500,0,8,88,0,0,6.8,60.8
Mark Clayton,BAL,WR,14,0,0,0,28,0,34,480,2,1,4.3,60.8
Kerry Collins,TEN,QB,7,1225,6,8,15,1,0,0,0,2,8.6,60.5
Darren McFadden,OAK,RB,12,0,0,0,357,1,21,245,0,3,5,60.2
Shonn Greene,NYJ,RB,14,0,0,0,540,2,0,0,0,3,4.3,60
Sammy Morris,NE,RB,12,0,0,0,319,2,19,180,0,1,5,59.9
Bryant Johnson,DET,WR,16,0,0,0,0,0,35,417,3,0,3.7,59.7
Andre Caldwell,CIN,WR,16,0,0,0,22,0,51,432,3,2,3.7,59.4
Shaun Hill,SF,QB,6,943,5,2,70,0,0,0,0,1,9.8,58.72
Joshua Cribbs,CLE,WR,16,18,0,1,381,1,20,135,1,2,3.6,58.32
Mike Tolbert,LAC,FB,16,0,0,0,148,1,17,192,3,0,3.6,58
Mike Thomas,JAX,WR,14,0,0,0,86,0,48,453,1,1,4.1,57.9
Brian Westbrook,PHI,RB,8,0,0,0,274,1,25,181,1,0,7.2,57.5
Brandon Stokley,DEN,WR,16,0,0,0,0,0,19,327,4,0,3.5,56.7
Justin Gage,TEN,WR,12,0,0,0,0,0,28,383,3,0,4.7,56.3
