Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Luke Stocker,TB,TE,16,539,33.7,51.4,0,5.2,3,5.2,22.5,4.2
Ed Dickson,BAL,TE,13,538,41.4,49.3,0,6.1,3.9,6.1,22.5,4.2
Ryan Lindley,ARI,QB,6,303,50.5,28.8,1.3,0,57.8,57.8,12.78,4.2
Steve Smith,LAR,WR,15,322,21.5,30.8,0,7.8,4.3,7.8,13.1,4.1
Michael Hoomanawanui,NE,TE,14,290,20.7,23.4,0,2.4,1.7,2.4,10.9,3.8
Jamar Newsome,KC,WR,6,191,31.8,53.8,0,8.4,2.6,8.4,7.3,3.8
Matthew Mulligan,LAR,TE,16,402,25.1,38.5,0,3,2,3,14.4,3.6
Toney Clemons,JAX,WR,4,114,28.5,31.7,0,9.6,2.6,9.6,4.1,3.6
John Phillips,DAL,TE,16,332,20.8,30.2,0,3,2.4,3,11.5,3.5
Kellen Davis,CHI,TE,16,956,59.8,91.4,0,4.6,2,4.6,32.9,3.4
Erik Lorig,TB,FB,16,422,26.4,40.2,0,4.5,2.8,4.5,14.3,3.4
Deion Branch,NE,WR,10,475,47.5,58.9,0,6.1,3.4,6.1,14.5,3.1
Henry Hynoski,NYG,FB,16,423,26.4,41.5,1.2,3.5,3.8,4.7,13,3.1
Steve Breaston,KC,WR,10,257,25.7,24.4,0,5.8,2.7,5.8,7.4,2.9
Jeff King,ARI,TE,16,466,29.1,44.3,0,6.2,3.6,6.2,12.9,2.8
Daniel Fells,NE,TE,13,307,23.6,24.8,0,2.9,1.3,2.9,8.5,2.8
Kris Adams,IND,WR,3,94,31.3,44.1,0,8.5,2.1,8.5,2.6,2.8
Bruce Miller,SF,FB,16,449,28.1,44.7,1.1,2.9,3.8,4,10.2,2.3
Konrad Reuland,NYJ,TE,16,380,23.8,35.4,0,4.2,2.9,4.2,8.3,2.2
