Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Priest Holmes,KC,RB,16,0,0,0,1420,27,74,690,0,1,23.2,371
LaDainian Tomlinson,LAC,RB,16,21,1,0,1645,13,100,725,4,0,21.5,343.84
Ahman Green,GB,RB,16,0,0,0,1883,15,50,367,5,5,20.9,335
Jamal Lewis,BAL,RB,16,0,0,0,2066,14,26,205,0,6,18.7,299.1
Clinton Portis,DEN,RB,13,0,0,0,1591,14,38,314,0,1,21.1,274.5
Daunte Culpepper,MIN,QB,14,3479,25,11,422,4,0,0,0,6,19.5,273.36
Peyton Manning,IND,QB,16,4267,29,10,26,0,1,-2,0,1,16.8,269.08
Randy Moss,MIN,WR,16,0,0,0,18,0,111,1632,17,1,16.6,265
Shaun Alexander,SEA,RB,16,0,0,0,1435,14,42,295,2,3,16.4,263
Deuce McAllister,NO,RB,16,0,0,0,1641,8,69,516,0,4,16,255.7
Trent Green,KC,QB,16,4039,24,12,83,2,0,0,0,1,15.7,251.86
Matt Hasselbeck,SEA,QB,16,3841,26,15,125,2,0,0,0,1,15.6,250.14
Torry Holt,LAR,WR,16,0,0,0,5,0,117,1696,12,0,15.1,242.1
Steve McNair,TEN,QB,14,3215,24,7,138,4,1,4,0,6,17.2,240.8
Aaron Brooks,NO,QB,16,3546,24,8,175,2,0,0,0,11,14.3,229.34
Fred Taylor,JAX,RB,16,0,0,0,1572,6,48,370,1,4,14.3,228.2
Jeff Garcia,SF,QB,13,2704,18,13,319,7,1,6,0,3,17.3,224.66
Ricky Williams,MIA,RB,16,0,0,0,1372,9,50,351,1,5,13.9,222.3
Brett Favre,GB,QB,16,3361,32,21,15,0,0,0,0,2,13.9,221.94
Jon Kitna,CIN,QB,16,3591,26,15,113,0,0,0,0,4,13.8,220.94
Donovan McNabb,PHI,QB,16,3216,16,11,355,3,1,-7,0,3,13.6,217.44
Marc Bulger,LAR,QB,15,3845,22,22,75,4,0,0,0,6,14.5,217.3
Brad Johnson,TB,QB,16,3811,26,21,33,0,0,-2,0,2,13.5,215.54
Edgerrin James,IND,RB,13,0,0,0,1259,11,51,292,0,3,16.5,215.1
Tom Brady,NE,QB,16,3620,23,12,63,1,0,0,0,5,13.4,215.1
Travis Henry,BUF,RB,15,0,0,1,1356,10,28,158,1,3,14,209.4
Stephen Davis,CAR,RB,14,0,0,0,1444,8,14,159,0,3,14.4,202.3
Chad Johnson,CIN,WR,16,0,0,0,0,0,90,1355,10,0,12.2,195.5
Quincy Carter,DAL,QB,16,3302,17,21,257,2,0,0,0,3,11.9,189.78
Marvin Harrison,IND,WR,15,0,0,0,3,0,94,1272,10,2,12.2,183.5
Hines Ward,PIT,WR,16,0,0,0,61,0,95,1163,10,0,11.4,182.4
Anquan Boldin,ARI,WR,16,0,0,1,40,0,101,1377,8,3,11.4,181.7
Domanick Davis,HOU,RB,14,0,0,0,1031,8,47,351,0,3,12.9,180.2
Derrick Mason,TEN,WR,16,0,0,0,11,0,95,1303,8,0,11.2,179.4
Marshall Faulk,LAR,RB,11,0,0,0,818,10,45,290,1,0,16.1,176.8
Tiki Barber,NYG,RB,16,0,0,0,1216,2,69,461,1,6,11,175.7
Sinorice Moss,NYJ,WR,16,0,0,0,67,0,74,1105,10,2,10.8,173.2
Tommy Maddox,PIT,QB,16,3414,18,17,12,0,0,0,0,2,10.7,171.76
Jake Delhomme,CAR,QB,16,3219,19,16,39,1,0,0,0,6,10.7,170.66
Jake Plummer,DEN,QB,11,2182,15,7,205,3,0,0,0,2,15.3,167.78
Kevan Barlow,SF,RB,16,0,0,0,1024,6,35,307,1,4,10.4,167.1
D Jackson,SEA,WR,16,0,0,0,0,0,68,1137,9,1,10.4,165.7
Curtis Martin,NYJ,RB,16,0,0,0,1308,2,42,262,0,2,10.3,165
Rudi Johnson,CIN,RB,13,0,0,0,957,9,21,146,0,0,12.6,164.3
