Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Cam Newton,CAR,QB,14,927,66.2,84,11.1,0,59.4,59.4,248.98,26.9
Matt Ryan,ATL,QB,16,1064,66.5,98.4,2.7,0,61.7,61.7,284.26,26.7
Joique Bell,DET,RB,15,615,41,56.3,36.3,8.6,41.8,44.9,164.2,26.7
Drew Brees,NO,QB,16,1140,71.2,100,2.4,0.1,60.3,60.3,302.98,26.6
Odell Beckham Jr,NYG,WR,12,771,64.2,68.4,0.9,16.9,12.8,17.9,204,26.5
Jay Cutler,CHI,QB,15,969,64.6,91.6,4,0,61.9,61.9,255.58,26.4
Ryan Tannehill,MIA,QB,16,1065,66.6,97.3,5.3,0.1,60.8,60.8,278.5,26.2
Tom Brady,NE,QB,16,1062,66.4,93.9,3.4,0,58.3,58.3,278.06,26.2
Colt McCoy,WAS,QB,5,240,48,25.9,6.7,0,60,60,62.88,26.2
Ronnie Hillman,DEN,RB,8,311,38.9,27.6,34.1,10.9,40.8,45,81.3,26.1
Rashad Jennings,NYG,RB,11,418,38,37.1,40,9.8,47.1,49.8,108.5,26
Pierre Thomas,NO,RB,11,300,27.3,27.9,15,18.3,30,33.3,78,26
Stevan Ridley,NE,RB,6,187,31.2,43.2,50.3,2.7,52.4,52.9,48,25.7
Dez Bryant,DAL,WR,16,897,56.1,84.7,0,15.2,9.8,15.2,228,25.4
Carson Palmer,ARI,QB,6,410,68.3,67,2,0,56.6,56.6,103.54,25.3
Terrance West,CLE,RB,14,402,28.7,38.2,42.5,3.2,45.3,45.8,101.7,25.3
Jonathan Dwyer,ARI,RB,2,47,23.5,34.1,34,6.4,38.3,40.4,11.9,25.3
Philip Rivers,LAC,QB,16,1053,65.8,98.6,3.6,0,57.7,57.7,265.84,25.2
Matt Forte,CHI,RB,16,976,61,92.2,27.3,13.3,37.7,40.6,244.6,25.1
Andre Ellington,ARI,RB,12,528,44,62,38.1,12.1,46.8,50.2,131.5,24.9
Kirk Cousins,WAS,QB,6,357,59.5,33.9,2,0,59.1,59.1,88.4,24.8
Ryan Fitzpatrick,HOU,QB,12,727,60.6,77,6.9,0,49.8,49.8,179.72,24.7
CJ Spiller,BUF,RB,9,188,20.9,31.7,41,11.7,51.1,52.7,46.4,24.7
Mike Glennon,TB,QB,6,364,60.7,36.6,2.7,0,58.5,58.5,89.58,24.6
Joe Flacco,BAL,QB,16,1070,66.9,99.4,3.6,0,55.5,55.5,262.44,24.5
Andre Williams,NYG,RB,16,520,32.5,46.1,41.7,7.1,45.2,48.8,127.1,24.4
Charlie Whitehurst,TEN,QB,7,357,51,37,5.6,0,57.4,57.4,87.04,24.4
Alfred Blue,HOU,RB,16,336,21,30.3,50.3,5.4,54.8,55.7,82.1,24.4
Eli Manning,NYG,QB,16,1109,69.3,98.3,1.1,0,55.3,55.3,269.5,24.3
Reggie Bush,DET,RB,11,277,25.2,25.3,27.4,20.2,41.9,47.7,67,24.2
Jordy Nelson,GB,WR,16,959,59.9,91.3,0,15.7,10.2,15.7,229.9,24
Colin Kaepernick,SF,QB,16,1049,65.6,99.1,10,0,55.6,55.6,250.86,23.9
Ben Tate,MIN,RB,11,282,25.6,28.4,42.2,4.3,45.4,46.5,67,23.8
Antonio Brown,PIT,WR,16,1063,66.4,95.5,0.4,17,12.7,17.6,251.9,23.7
Alex Smith,KC,QB,15,940,62.7,93.3,5.2,0,54.6,54.6,220,23.4
Roy Helu,WAS,RB,14,364,26,34.5,11,12.9,22.5,23.9,85.3,23.4
Denard Robinson,JAX,RB,13,391,30.1,42.5,34.5,7.9,40.7,42.7,90.6,23.2
Zach Mettenberger,TEN,QB,7,305,43.6,31.6,1.6,0,60.3,60.3,70.88,23.2
Matthew Stafford,DET,QB,16,1093,68.3,100,3.9,0,59,59,251.58,23
Mike Evans,TB,WR,15,769,51.3,77.4,0,16,8.8,16,177.1,23
Chris Johnson,NYJ,RB,16,398,24.9,36.6,38.9,8.5,45,47.5,91.4,23
Frank Gore,SF,RB,16,647,40.4,61.2,39.4,2.9,41.1,42.3,147.4,22.8
Matt McGloin,OAK,QB,1,24,24,2.3,8.3,0,87.5,87.5,5.46,22.8
EJ Manuel,BUF,QB,5,259,51.8,24.4,6.2,0,56.8,56.8,58.72,22.7
Teddy Bridgewater,MIN,QB,13,795,61.2,77.6,5.9,0,56.5,56.5,179.66,22.6
Demaryius Thomas,DEN,WR,16,1021,63.8,90.5,0,18,10.9,18,229.9,22.5
Rob Gronkowski,NE,TE,15,825,55,72.9,0,15.9,9.9,15.9,184.4,22.4
Calvin Johnson,DET,WR,13,695,53.5,63.6,0,18.4,10.2,18.4,155.7,22.4
Fred Jackson,BUF,RB,14,548,39.1,51.6,25.9,16.4,38.1,42.5,122.7,22.4
Julio Jones,ATL,WR,15,868,57.9,80.3,0.1,18.8,12.1,18.9,193.4,22.3
Mark Sanchez,PHI,QB,9,625,69.4,53.1,5.4,0,54.9,54.9,139.42,22.3
Jonathan Stewart,CAR,RB,13,546,42,49.5,32.1,5.7,36.6,37.7,121,22.2
LeSean McCoy,PHI,RB,16,775,48.4,65.9,40.6,4.9,44.4,45.5,171.4,22.1
Bishop Sankey,TEN,RB,16,354,22.1,36.6,42.9,6.5,48,49.4,78.2,22.1
Randall Cobb,GB,WR,16,922,57.6,87.8,1.2,13.8,11.1,15,202.4,22
Kyle Orton,BUF,QB,12,803,66.9,75.6,1.9,0,57.5,57.5,176.12,21.9
Nick Foles,PHI,QB,8,545,68.1,46.3,2.9,0,60.2,60.2,119.32,21.9
Andy Dalton,CIN,QB,16,1031,64.4,97.1,5.8,0.1,52.7,52.7,224.62,21.8
Adrian Peterson,MIN,RB,1,43,43,34.7,48.8,7,53.5,55.8,9.3,21.6
Jake Locker,TEN,QB,7,299,42.7,35.6,7.4,0,56.2,56.2,63.92,21.4
Chad Henne,JAX,QB,3,141,47,13.6,2.8,0,58.2,58.2,30.18,21.4
Carlos Hyde,SF,RB,14,292,20.9,27.6,28.4,5.5,32.5,33.9,62.1,21.3
T.Y. Hilton,IND,WR,15,831,55.4,71.9,0.2,15.8,10.1,16,176.5,21.2
Steve Johnson,SF,WR,13,292,22.5,27.6,0,17.1,12,17.1,61.5,21.1
AJ Green,CIN,WR,13,648,49.8,61,0.3,17.9,11,18.2,136.3,21
Matt Hasselbeck,IND,QB,4,82,20.5,7.1,9.8,0,63.4,63.4,16.94,20.7
Bobby Rainey,TB,RB,15,382,25.5,38.4,24.6,11.8,33.5,36.6,78.1,20.4
DeSean Jackson,WAS,WR,15,755,50.3,71.6,0.5,12.6,7.9,13.1,153.6,20.3
Jerick McKinnon,MIN,RB,11,331,30.1,42.8,34.1,12.4,42.3,46.5,67.3,20.3
Toby Gerhart,JAX,RB,14,302,21.6,29.1,33.8,7.9,40.4,41.7,61.2,20.3
Drew Stanton,ARI,QB,9,469,52.1,44.3,5.3,0,56.5,56.5,94.74,20.2
Emmanuel Sanders,DEN,WR,16,1000,62.5,88.7,0.8,14.1,10.9,14.9,200.8,20.1
Antonio Gates,LAC,TE,16,771,48.2,72.2,0,12.7,8.9,12.7,154.1,20
Josh McCown,TB,QB,12,635,52.9,63.9,3.9,0,55.4,55.4,126.94,20
Benjamin Cunningham,LAR,RB,16,399,24.9,39.7,16.5,13.3,27.8,29.8,79.8,20
Geno Smith,NYJ,QB,14,759,54.2,69.8,7.8,0.1,56.1,56.3,150.8,19.9
Shaun Hill,LAR,QB,9,452,50.2,45,2.2,0.2,53.1,53.1,89.28,19.8
Doug Martin,TB,RB,11,345,31.4,34.7,39.1,5.8,42.9,44.9,67.8,19.7
Austin Davis,LAR,QB,10,552,55.2,55,2.9,0,54.3,54.3,107.64,19.5
Derek Carr,OAK,QB,16,986,61.6,95.8,3,0.1,63.8,63.9,191.5,19.4
Shane Vereen,NE,RB,16,595,37.2,52.6,16.1,13.1,25,29.2,113.8,19.1
Robert Griffin III,WAS,QB,9,457,50.8,43.4,8.3,0,55.1,55.1,87.36,19.1
Jeremy Maclin,PHI,WR,16,1022,63.9,86.9,0,14.1,8.4,14.1,192.9,18.9
Blake Bortles,JAX,QB,14,896,64,86.4,6.2,0,59.3,59.3,168.18,18.8
Trent Richardson,IND,RB,15,483,32.2,41.8,32.9,7,38.5,40,90.8,18.8
Jimmy Graham,NO,TE,16,775,48.4,68,0,16.1,11,16.1,144.9,18.7
Alshon Jeffery,CHI,WR,16,957,59.8,90.5,0.6,15.2,9.5,15.8,176.6,18.5
Torrey Smith,BAL,WR,16,788,49.2,73.2,0,11.7,6.2,11.7,142.7,18.1
Kenny Stills,NO,WR,15,617,41.1,54.1,0.2,13.5,10.4,13.6,110.9,18
Devin Hester,ATL,WR,16,388,24.2,35.9,1.5,15.2,11.3,16.8,70,18
Charles Sims,TB,RB,8,231,28.9,41,28.6,11.7,36.8,40.3,41.5,18
DeAngelo Williams,CAR,RB,6,135,22.5,12.2,46.7,4.4,50.4,51.1,24.3,18
Mike Wallace,MIA,WR,16,819,51.2,74.8,0.5,14,8.8,14.7,145.8,17.8
Jimmy Clausen,CHI,QB,4,89,22.2,8.4,3.4,0,57.3,57.3,15.82,17.8
Jordan Matthews,PHI,WR,16,764,47.8,65,0,13.5,8.8,13.5,135.2,17.7
Tim Wright,NE,TE,16,351,21.9,31,0.3,9.4,7.7,9.7,61.7,17.6
Julius Thomas,DEN,TE,13,691,53.2,61.3,0,9,6.2,9,120.9,17.5
Travis Kelce,KC,TE,16,668,41.8,66.3,0,13,10,13,116.2,17.4
Golden Tate,DET,WR,16,924,57.8,84.5,0.5,15.6,11.3,16.1,160.1,17.3
Brian Hoyer,CLE,QB,14,911,65.1,86.7,2.7,0.1,50.9,51,156.6,17.2
Steve Smith,BAL,WR,16,822,51.4,76.4,0,16.3,9.6,16.3,140.5,17.1
Kendall Wright,TEN,WR,14,662,47.3,68.5,0.6,14,9.2,14.7,110.9,16.8
Rod Streater,OAK,WR,3,86,28.7,36.4,0,15.1,10.5,15.1,14.4,16.7
Kelvin Benjamin,CAR,WR,16,925,57.8,83.8,0,15.7,7.9,15.7,152.8,16.5
Darren McFadden,OAK,RB,16,513,32.1,49.9,30.2,10.9,37.4,41.3,84.6,16.5
Matt Cassel,MIN,QB,3,140,46.7,77.8,5,0,55.7,55.7,22.9,16.4
Julian Edelman,NE,WR,14,805,57.5,71.2,1.2,16.6,12.7,17.9,130.6,16.2
Brandin Cooks,NO,WR,10,534,53.4,72.4,1.3,12.9,11.2,14.2,86.3,16.2
Brian Quick,LAR,WR,7,343,49,75.1,0,11.4,7.3,11.4,55.5,16.2
Corey Brown,CAR,WR,13,307,23.6,27.8,2.6,11.7,9.4,14.3,49.1,16
Michael Vick,NYJ,QB,10,272,27.2,25,9.6,0,54,54,43.46,16
Coby Fleener,IND,TE,16,787,49.2,68.1,0,11.7,6.5,11.7,125.4,15.9
Eddie Royal,LAC,WR,16,761,47.6,71.3,0.4,12,8.5,12.4,119.2,15.7
Brandon Marshall,CHI,WR,13,753,57.9,86.3,0,14.1,8.1,14.1,118.1,15.7
Donte Moncrief,IND,WR,16,411,25.7,35.6,1,11.9,8.8,12.9,64.1,15.6
Eric Decker,NYJ,WR,15,812,54.1,74.6,0,14,9.1,14,126.2,15.5
Roddy White,ATL,WR,14,870,62.1,80.5,0,14.3,9.2,14.3,132.1,15.2
John Brown,ARI,WR,16,653,40.8,61.7,0.5,15.8,7.8,16.2,99,15.2
Jarius Wright,MIN,WR,16,514,32.1,50.2,1,12.1,9.1,13,77.9,15.2
Brandon LaFell,NE,WR,16,913,57.1,80.7,0.2,13,8.3,13.3,136.6,15
Andrew Hawkins,CLE,WR,15,648,43.2,61.7,0.5,17.3,10.2,17.7,96,14.8
DeAndre Hopkins,HOU,WR,16,1053,65.8,95,0,12.1,7.2,12.1,155,14.7
Delanie Walker,TEN,TE,15,769,51.3,79.6,0,13.8,8.2,13.8,113,14.7
Zach Ertz,PHI,TE,16,588,36.8,50,0,15.1,9.9,15.1,86.2,14.7
Jacquizz Rodgers,ATL,RB,16,350,21.9,32.4,16.6,11.4,24.9,28,51,14.6
Percy Harvin,NYJ,WR,13,543,41.8,59.9,6.1,14.4,15.5,20.4,78.5,14.5
Anquan Boldin,SF,WR,16,952,59.5,90,0.1,13.8,8.9,14,136.6,14.3
Jarvis Landry,MIA,WR,16,683,42.7,62.4,0.3,16.4,12.6,16.7,97.4,14.3
Cole Beasley,DAL,WR,16,433,27.1,40.9,0,11.3,8.5,11.3,62,14.3
Montee Ball,DEN,RB,5,191,38.2,20.9,28.8,6.8,33.5,35.6,27.4,14.3
Dwayne Allen,IND,TE,13,619,47.6,53.6,0,8.1,4.7,8.1,87.5,14.1
James Jones,OAK,WR,16,717,44.8,69.7,0,15.5,10.2,15.5,100.6,14
Christian Ponder,MIN,QB,2,89,44.5,8.7,4.5,0,53.9,53.9,12.48,14
Case Keenum,HOU,QB,2,165,82.5,26.5,6.1,0,52.7,52.7,22.9,13.9
Martellus Bennett,CHI,TE,16,954,59.6,90.2,0,13.4,9.4,13.4,131.6,13.8
Ryan Lindley,ARI,QB,3,163,54.3,36.5,0,0,57.1,57.1,22.48,13.8
Charles Johnson,MIN,WR,12,441,36.8,49,0.2,13.4,7.3,13.6,60.4,13.7
Terrance Williams,DAL,WR,16,810,50.6,76.5,0,8,4.6,8,110.1,13.6
Chris Hogan,BUF,WR,16,461,28.8,43.4,0,13.2,8.9,13.2,62.6,13.6
Marques Colston,NO,WR,16,876,54.8,76.8,0,11.3,6.7,11.3,118.2,13.5
Allen Robinson,JAX,WR,10,516,51.6,78.2,0,15.7,9.3,15.7,68.8,13.3
Allen Hurns,JAX,WR,16,788,49.2,76,0,12.3,6.5,12.3,103.7,13.2
Travis Benjamin,CLE,WR,16,383,23.9,36.4,0.8,12,5.5,12.8,50.5,13.2
Andre Holmes,OAK,WR,16,714,44.6,69.4,0,13.9,6.6,13.9,93.3,13.1
Sammy Watkins,BUF,WR,16,1027,64.2,96.7,0.2,12.5,6.5,12.7,133,13
Michael Crabtree,SF,WR,16,722,45.1,68.2,0.1,15,9.6,15.1,94.2,13
Josh Gordon,CLE,WR,5,233,46.6,78.2,0,20.2,10.7,20.6,30.3,13
Malcom Floyd,LAC,WR,16,943,58.9,88.3,0,9.8,5.5,9.8,121.6,12.9
Miles Austin,CLE,WR,12,535,44.6,64.3,0,13.5,8.8,13.5,68.8,12.9
Greg Olsen,CAR,TE,16,1067,66.7,96.6,0,11.5,7.9,11.5,136.8,12.8
Austin Pettis,LAR,WR,5,139,27.8,34.3,0,12.9,8.6,12.9,17.8,12.8
Greg Jennings,MIN,WR,16,873,54.6,85.3,0,10.4,6.8,10.4,110.2,12.6
Stedman Bailey,LAR,WR,14,404,28.9,46.1,0.2,11.4,7.7,11.6,50.8,12.6
Ryan Mallett,HOU,QB,3,157,52.3,21.3,3.8,0,51.6,51.6,19.8,12.6
Mohamed Sanu,CIN,WR,16,986,61.6,92.8,0.7,9.9,6.7,11,123.26,12.5
Michael Floyd,ARI,WR,16,944,59,89.1,0.1,10.5,5.1,10.6,118.3,12.5
Harry Douglas,ATL,WR,12,557,46.4,51.5,0,13.3,9.2,13.3,69.6,12.5
Jace Amaro,NYJ,TE,14,375,26.8,34.5,0,14.1,10.1,14.1,46.5,12.4
Donald Brown,LAC,RB,13,352,27.1,33,24.1,11.6,32.4,35.8,43.4,12.3
Cooper Helfet,SEA,TE,10,248,24.8,23.5,0,9.7,4.8,9.7,30.5,12.3
Vincent Jackson,TB,WR,16,904,56.5,90.9,0,15.7,7.7,15.7,110.2,12.2
Jordan Reed,WAS,TE,11,364,33.1,34.5,0,17.9,13.7,17.9,44.5,12.2
Kenny Britt,LAR,WR,16,785,49.1,78.2,0.3,10.7,6.4,11,94.2,12
Jared Cook,LAR,TE,16,686,42.9,68.3,0.1,14.4,7.7,14.6,81.4,11.9
Keenan Allen,LAC,WR,14,837,59.8,78.4,0,14.5,9.2,14.5,98.3,11.7
Rueben Randle,NYG,WR,16,961,60.1,85.2,0,13.2,7.4,13.2,111.8,11.6
Chase Daniel,KC,QB,3,67,22.3,6.7,6,0,47.8,47.8,7.78,11.6
Doug Baldwin,SEA,WR,16,879,54.9,83.2,0.1,11.1,7.6,11.3,101.3,11.5
Jordan Cameron,CLE,TE,10,475,47.5,45.2,0,10.1,5.1,10.1,54.4,11.5
Andre Johnson,HOU,WR,15,926,61.7,83.5,0,15.8,9.2,15.8,105.6,11.4
Justin Hunter,TEN,WR,12,593,49.4,83.2,0,11.3,4.7,11.3,67.8,11.4
Taylor Gabriel,CLE,WR,16,611,38.2,58.1,0.5,11.9,6.5,12.4,69.1,11.3
Joseph Morgan,NO,WR,5,141,28.2,18.1,0.7,7.1,3.5,7.8,15.9,11.3
Hakeem Nicks,IND,WR,16,576,36,49.9,0,11.8,6.6,11.8,64.5,11.2
Greg Salas,NYJ,WR,10,220,22,26.8,0.5,10.5,4.1,10.9,24.7,11.2
Robert Woods,BUF,WR,16,899,56.2,84.7,0,11.6,7.2,11.6,99.9,11.1
Louis Murphy,TB,WR,11,456,41.5,64.7,0,12.3,6.8,12.3,50,11
Tavon Austin,LAR,WR,15,536,35.7,53.4,6.7,8.2,12.5,14.9,58.6,10.9
Nick Toon,NO,WR,8,239,29.9,21,0.4,9.6,7.5,10,25.9,10.8
Pierre Garcon,WAS,WR,16,872,54.5,82.7,0,12,7.9,12.2,93.2,10.7
Victor Cruz,NYG,WR,6,372,62,89.4,0,11,6.2,11,39.7,10.7
Mike Williams,BUF,WR,8,188,23.5,20.1,0,10.1,4.3,10.1,20.2,10.7
Cordarrelle Patterson,MIN,WR,16,566,35.4,55.3,1.8,11.8,7.6,13.6,60.1,10.6
Brandon Lloyd,SF,WR,14,335,23.9,31.7,0,10.4,4.2,10.4,35.4,10.6
Danny Woodhead,LAC,RB,3,68,22.7,32.5,22.1,8.8,29.4,30.9,7.2,10.6
Charles Clay,MIA,TE,14,745,53.2,68,0,11.3,7.8,11.3,78.5,10.5
Markus Wheaton,PIT,WR,16,747,46.7,67.1,0.5,11.5,7.6,12,78.3,10.5
Larry Donnell,NYG,TE,16,866,54.1,76.8,0,10.6,7.3,10.6,90.3,10.4
Larry Fitzgerald,ARI,WR,14,857,61.2,80.9,0,12,7.4,12,88.4,10.3
Reggie Wayne,IND,WR,15,859,57.3,74.4,0,13.5,7.5,13.5,87.9,10.2
Marcel Reece,OAK,FB,15,385,25.7,37.4,5.5,15.3,15.1,20.8,39,10.1
Nate Washington,TEN,WR,16,765,47.8,79.2,0,9.4,5.2,9.4,76.7,10
Marqise Lee,JAX,WR,13,492,37.8,47.4,0.6,13.8,8.1,14.4,49.1,10
Luke Willson,SEA,TE,15,555,37,52.5,0,7.2,4,7.2,54.2,9.8
Niles Paul,WAS,TE,16,562,35.1,53.3,0,9.3,6.9,9.3,54.7,9.7
Tony Moeaki,SEA,TE,6,199,33.2,36.9,0,6.5,4,6.5,19.4,9.7
Jason Witten,DAL,TE,16,1048,65.5,99,0,8.6,6.1,8.6,100.3,9.6
Daniel Fells,NYG,TE,16,427,26.7,37.9,0,4.7,3.7,4.7,40.8,9.6
Dwayne Bowe,KC,WR,15,790,52.7,83.2,0,12,7.6,12,75.4,9.5
Owen Daniels,BAL,TE,15,818,54.5,76,0,9.5,5.9,9.5,76.7,9.4
Lance Kendricks,LAR,TE,16,594,37.1,59.2,0,6.4,4.5,6.4,55.9,9.4
Chase Ford,MIN,TE,11,339,30.8,40.2,0,10.3,6.8,10.3,31.8,9.4
Mychal Rivera,OAK,TE,16,818,51.1,79.5,0,12.2,7.1,12.2,75.4,9.2
Scott Chandler,BUF,TE,16,749,46.8,70.5,0,9.3,6.3,9.3,67.7,9
Cecil Shorts,JAX,WR,13,741,57,71.5,0,14.8,7.4,15.1,64.98,8.8
Heath Miller,PIT,TE,16,1083,67.7,97.3,0,8.4,6.1,8.4,94.1,8.7
Jermaine Gresham,CIN,TE,15,875,58.3,82.4,0,9.1,7.1,9.1,76,8.7
Preston Parker,NYG,WR,16,593,37.1,52.6,0,9.4,6.1,9.4,51.8,8.7
Davante Adams,GB,WR,16,738,46.1,70.3,0,8.9,5.1,8.9,62.6,8.5
Jerricho Cotchery,CAR,WR,15,783,52.2,70.9,0,10,6.1,10,66,8.4
Kyle Rudolph,MIN,TE,9,434,48.2,42.4,0,7.8,5.5,7.8,35.1,8.1
Andre Roberts,WAS,WR,16,693,43.3,65.7,0.3,10.5,5.5,10.8,55.4,8
Andrew Quarless,GB,TE,16,630,39.4,60,0,7.3,4.6,7.3,50.3,8
Dion Sims,MIA,TE,14,507,36.2,46.3,0,7.1,4.7,7.1,40.4,8
Wes Welker,DEN,WR,14,743,53.1,73.9,0,8.6,6.6,8.6,58.4,7.9
Jermaine Kearse,SEA,WR,15,791,52.7,74.8,0.3,8.7,5.2,9.1,61.88,7.8
Ladarius Green,LAC,TE,14,289,20.6,27.1,0,8.7,6.6,8.7,22.6,7.8
Mike Tolbert,CAR,FB,8,220,27.5,39.7,16.8,7.7,22.3,24.5,17.1,7.8
Riley Cooper,PHI,WR,16,956,59.8,81.3,0,9.8,5.8,9.8,73.7,7.7
Jeremy Kerley,NYJ,WR,16,734,45.9,67.5,0.5,10.2,5.9,10.9,55.5,7.6
Jason Avant,KC,WR,16,554,34.6,52.8,0.2,11.2,6.3,11.4,41.4,7.5
Marcedes Lewis,JAX,TE,8,432,54,86.4,0,7.2,4.2,7.2,32.6,7.5
Dennis Pitta,BAL,TE,3,166,55.3,74.1,0,13.3,9.6,13.3,12.5,7.5
Brian Hartline,MIA,WR,16,813,50.8,74.2,0,7.7,4.8,7.7,59.4,7.3
Clay Harbor,JAX,TE,13,482,37.1,46.5,0,7.3,5.4,7.3,34.8,7.2
Richard Rodgers,GB,TE,16,478,29.9,45.5,0,6.3,4.2,6.3,34.5,7.2
Austin Seferian-Jenkins,TB,TE,9,448,49.8,51,0,8.5,4.7,8.5,32.1,7.2
Damaris Johnson,HOU,WR,16,576,36,51.9,0.9,8.5,6.2,9.4,41,7.1
Brandon Gibson,MIA,WR,14,503,35.9,45.9,0,10.1,5.8,10.1,35.5,7.1
Darrin Reaves,CAR,RB,6,153,25.5,37.6,20.9,5.2,24.2,26.1,10.8,7.1
Anthony Fasano,KC,TE,15,671,44.7,66.6,0,5.4,3.7,5.4,46.6,6.9
Eric Ebron,DET,TE,13,445,34.2,40.7,0,10.6,5.6,10.6,30.8,6.9
Kenbrell Thompkins,OAK,WR,14,394,28.1,36.9,0.5,12.2,5.8,12.7,26.7,6.8
Marlon Brown,BAL,WR,14,375,26.8,34.9,0,8.3,6.4,8.3,25.5,6.8
Paul Richardson,SEA,WR,15,497,33.1,47,0,8.9,5.8,8.9,33.1,6.7
Donnie Avery,KC,WR,6,232,38.7,23,0,11.2,6.5,11.2,15.6,6.7
Mike Brown,JAX,WR,5,101,20.2,14.1,0,14.9,6.9,14.9,6.8,6.7
Bruce Miller,SF,FB,16,461,28.8,43.6,1.3,5.4,5.2,6.7,29.8,6.5
Connor Shaw,CLE,QB,1,65,65,100,10.8,0,53.8,53.8,3.98,6.1
Jack Doyle,IND,TE,16,399,24.9,34.5,0,5.5,4.5,5.5,23.8,6
John Carlson,ARI,TE,16,734,45.9,69.3,0,7.5,4.5,7.5,43,5.9
Corey Fuller,DET,WR,16,410,25.6,37.5,0,7.6,3.4,7.6,24.2,5.9
Danny Amendola,NE,WR,16,456,28.5,40.3,0,9.2,5.9,9.2,26,5.7
Marquess Wilson,CHI,WR,7,373,53.3,82.5,0,8.6,4.6,8.6,20,5.4
Rhett Ellison,MIN,TE,16,552,34.5,53.9,0,4.7,3.4,4.7,28.8,5.2
Brandon Tate,CIN,WR,16,484,30.2,45.6,0.6,5.4,4.1,6,25.4,5.2
Quinton Patton,SF,WR,4,86,21.5,8.1,1.2,9.3,4.7,10.5,4.4,5.1
Jim Dray,CLE,TE,16,599,37.4,57,0,4.5,2.8,4.5,30.2,5
Chris Gragg,BUF,TE,10,214,21.4,20.2,0,4.7,3.3,4.7,10.8,5
Greg Little,CIN,WR,6,137,22.8,18.7,0,8.8,4.4,8.8,6.9,5
