Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Arian Foster,HOU,RB,13,621,47.8,56,41.9,9.5,48.1,51.5,235.5,37.9
Marshawn Lynch,SEA,RB,16,704,44,66.6,39.8,6.8,45,46.6,265.3,37.7
DeMarco Murray,DAL,RB,16,783,48.9,73.9,50.2,8.2,57.5,58.4,294.1,37.6
Jeremy Hill,CIN,RB,16,501,31.3,47.2,44.3,6.4,49.7,50.7,183.9,36.7
Aaron Rodgers,GB,QB,16,983,61.4,93.6,4.4,0,57.3,57.3,354.14,36
CJ Anderson,DEN,RB,15,495,33,43.9,36.2,8.9,43,45.1,177.3,35.8
Martavis Bryant,PIT,WR,10,295,29.5,26.5,1,16.3,9.8,17.3,104.1,35.3
Ryan Mathews,LAC,RB,6,165,27.5,15.4,44.8,6.1,50.3,50.9,57.9,35.1
Mark Ingram,NO,RB,13,470,36.2,41.2,48.1,7.7,54.3,55.7,162.9,34.7
Eddie Lacy,GB,RB,16,687,42.9,65.4,35.8,8,41.9,43.8,230.6,33.6
Andrew Luck,IND,QB,16,1072,67,92.8,6,0,63.4,63.4,350.74,32.7
Jamaal Charles,KC,RB,15,650,43.3,64.5,31.7,9.1,37.8,40.8,210.4,32.4
Tre Mason,LAR,RB,12,368,30.7,36.7,48.6,7.1,53,55.7,119.3,32.4
Knowshon Moreno,MIA,RB,3,68,22.7,19.4,45.6,1.5,47.1,47.1,21.6,31.8
Darren Sproles,PHI,RB,15,337,22.5,28.7,16.9,18.4,28.8,35.3,105.6,31.3
Russell Wilson,SEA,QB,16,1054,65.9,99.7,11.2,0.1,54.2,54.2,327.6,31.1
Le'Veon Bell,PIT,RB,16,929,58.1,83.5,31.2,11.3,40.2,42.5,287.5,30.9
Ahmad Bradshaw,IND,RB,10,382,38.2,50.7,23.6,12.3,33.5,35.9,116.5,30.5
Chris Ivory,NYJ,RB,16,444,27.8,40.8,44.6,6.1,48.6,50.7,134.3,30.2
Isaiah Crowell,CLE,RB,16,385,24.1,36.6,38.4,3.6,40.8,42.1,113.4,29.5
Branden Oliver,LAC,RB,14,373,26.6,34.9,42.9,12.1,52.5,55,109.3,29.3
Lamar Miller,MIA,RB,16,642,40.1,58.6,33.6,8.1,39.6,41.7,185.4,28.9
Steven Jackson,ATL,RB,15,420,28,38.9,45.2,6.4,50,51.7,121.5,28.9
Kerwynn Williams,ARI,RB,4,89,22.2,17,59.6,6.7,61.8,66.3,25.7,28.9
Justin Forsett,BAL,RB,16,707,44.2,65.7,33.2,8.3,39.5,41.6,202.9,28.7
Alfred Morris,WAS,RB,16,595,37.2,56.5,44.5,4.4,47.4,48.9,170.9,28.7
Peyton Manning,DEN,QB,16,1092,68.2,96.8,2.2,0,56.9,56.9,312.68,28.6
Matt Asiata,MIN,RB,15,525,35,51.3,31.2,12,39.6,43.2,150.2,28.6
Giovani Bernard,CIN,RB,13,509,39.2,47.9,33,11.6,41.5,44.6,144.9,28.5
Derek Anderson,CAR,QB,7,178,25.4,16.1,4.5,0,59,59,50.44,28.3
Ben Roethlisberger,PIT,QB,16,1106,69.1,99.4,2.9,0,57.9,57.9,306.18,27.7
Tony Romo,DAL,QB,15,971,64.7,91.7,2.7,0,47.5,47.5,266.3,27.4
