Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Todd Gurley,LAR,RB,12,23,0,0,0,885,6,43,327,0,155.2,1.7
Le'Veon Bell,PIT,RB,7,26,0,0,0,1268,7,75,616,2,242.4,2.2
Ezekiel Elliott,DAL,RB,8,22,0,0,0,1631,15,32,363,1,293.4,3.8
David Johnson,ARI,RB,9,26,0,0,0,1239,16,80,879,4,327.8,4.1
Antonio Brown,PIT,WR,7,30,0,0,0,9,0,106,1284,12,201.3,5.4
DeAndre Hopkins,HOU,WR,10,26,0,0,0,0,0,78,954,4,119.4,9.2
Melvin Gordon,LAC,RB,8,25,0,0,0,997,10,41,419,2,209.6,9.8
Odell Beckham Jr,NYG,WR,9,25,0,0,0,9,0,101,1367,10,195.6,12.1
Julio Jones,ATL,WR,8,29,0,0,0,0,0,83,1409,6,176.9,14.4
Michael Thomas,NO,WR,6,25,0,0,0,0,0,92,1137,9,163.7,15.5
Devonta Freeman,ATL,RB,8,26,0,0,0,1079,11,54,462,2,230.1,16.4
Jerick McKinnon,MIN,RB,11,26,0,0,0,539,2,43,255,2,105.4,17
Davante Adams,GB,WR,7,25,0,0,0,0,0,75,997,12,171.7,18.3
Keenan Allen,LAC,WR,8,26,0,0,0,0,0,6,63,0,6.3,18.6
LeSean McCoy,BUF,RB,11,30,0,0,0,1267,13,51,356,1,248.3,19.3
Jordan Howard,CHI,RB,5,23,0,0,0,1313,6,29,298,1,201.1,19.5
AJ Green,CIN,WR,9,29,0,0,0,0,0,66,964,4,120.4,21.4
Rob Gronkowski,NE,TE,11,29,0,0,0,0,0,25,540,3,72,21.9
Mike Evans,TB,WR,5,24,0,0,0,0,0,96,1321,12,208.1,25.4
Derrick Henry,TEN,RB,8,23,0,0,0,490,5,13,137,0,92.7,26.5
Doug Baldwin,SEA,WR,7,29,15,1,0,2,0,94,1128,7,159.6,28
Aaron Rodgers,GB,QB,7,34,4428,40,7,369,4,0,0,0,380.02,28.2
