Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Tyreek Hill,KC,WR,12,24,0,0,0,267,3,61,593,6,138,31.1
Travis Kelce,KC,TE,12,28,0,0,0,-5,0,85,1125,4,138,32.1
Jay Ajayi,MIA,RB,9,25,0,0,0,1272,8,27,151,0,188.3,32.8
T.Y. Hilton,IND,WR,9,28,0,0,0,0,0,91,1448,6,182.8,33.2
Adam Thielen,MIN,WR,10,27,0,0,0,15,0,69,967,5,126.2,34.9
Alex Collins,SEA,RB,10,23,0,0,0,125,1,11,84,0,24.9,38
Stefon Diggs,MIN,WR,10,24,0,0,0,10,0,84,903,3,109.3,38.1
Amari Cooper,OAK,WR,7,24,0,0,0,0,0,82,1149,5,148.9,40.2
Zach Ertz,PHI,TE,9,27,0,0,0,0,0,78,816,4,105.6,40.4
Lamar Miller,HOU,RB,10,27,0,0,0,1073,5,31,188,1,160.1,41.8
Kenyan Drake,MIA,RB,11,24,0,0,0,179,2,9,46,0,34.5,43
Alshon Jeffery,CHI,WR,9,28,0,0,0,0,0,52,821,2,94.1,44.9
Mark Ingram,NO,RB,6,28,0,0,0,1043,6,46,319,4,196.2,45.5
Allen Robinson,JAX,WR,5,24,0,0,0,0,0,73,883,6,126.3,46
Demaryius Thomas,DEN,WR,10,30,0,0,0,0,0,90,1083,5,136.3,47.3
Brandin Cooks,NO,WR,12,24,0,0,0,30,0,78,1173,8,168.3,49.4
Jimmy Graham,SEA,TE,7,31,0,0,0,0,0,65,923,6,124.3,50.3
Tom Brady,NE,QB,11,40,3554,28,2,64,0,0,0,0,258.56,50.4
Larry Fitzgerald,ARI,WR,9,34,0,0,0,5,0,107,1023,6,136.8,51.9
Greg Olsen,CAR,TE,4,33,0,0,0,0,0,80,1073,3,127.3,56.8
Marvin Jones,DET,WR,6,28,0,0,0,3,0,55,930,4,117.3,57
Carson Wentz,PHI,QB,9,25,3782,16,14,150,2,1,7,0,212.98,58.3
Will Fuller,HOU,WR,10,24,0,0,0,-3,0,47,635,2,75.2,58.5
Russell Wilson,SEA,QB,7,29,4219,21,11,259,1,2,14,1,268.06,59.3
Drew Brees,NO,QB,6,39,5208,37,15,20,2,0,0,0,332.32,60.9
Jarvis Landry,MIA,WR,11,25,0,0,0,17,0,94,1136,4,137.3,62.7
Dion Lewis,NE,RB,8,27,0,0,0,283,0,17,94,0,37.7,64.1
Sammy Watkins,BUF,WR,12,25,0,0,0,0,0,28,430,2,55,65.1
Chris Hogan,NE,WR,11,29,0,0,0,9,0,38,680,4,90.9,65.2
Cam Newton,CAR,QB,4,29,3509,19,14,359,5,0,0,0,254.26,65.5
Golden Tate,DET,WR,6,29,0,0,0,4,0,91,1077,4,132.1,65.7
Carlos Hyde,SF,RB,11,26,0,0,0,988,6,27,163,3,165.1,67.1
Kyle Rudolph,MIN,TE,10,28,0,0,0,0,0,83,840,7,126,68.1
Tevin Coleman,ATL,RB,8,25,0,0,0,520,8,31,421,3,160.1,70.8
Delanie Walker,TEN,TE,8,33,0,0,0,11,0,65,800,7,123.1,73.4
Michael Crabtree,OAK,WR,10,30,0,0,0,0,0,89,1003,8,150.3,73.6
Jordy Nelson,GB,WR,7,33,0,0,0,0,0,97,1257,14,207.7,73.7
Kirk Cousins,WAS,QB,10,29,4917,25,12,96,4,0,0,0,300.28,77
Rex Burkhead,CIN,RB,11,28,0,0,0,344,2,17,145,0,58.9,78.7
Jimmy Garoppolo,NE,QB,11,26,502,4,0,6,0,1,3,0,34.98,82.1
Devin Funchess,CAR,WR,4,24,0,0,0,0,0,23,371,4,63.1,82.2
Julian Edelman,NE,WR,11,32,0,0,0,57,0,98,1106,3,132.3,83.1
Emmanuel Sanders,DEN,WR,10,31,0,0,0,4,0,79,1032,5,133.6,83.5
Trey Burton,PHI,TE,5,26,0,0,0,0,0,37,327,1,38.7,85.3
Isaiah Crowell,CLE,RB,11,25,0,0,0,952,7,40,319,0,165.1,85.5
Jordan Reed,WAS,TE,4,28,0,0,0,0,0,66,686,6,102.6,86.2
Marquise Goodwin,BUF,WR,11,27,0,0,0,0,0,29,431,3,61.1,86.3
CJ Anderson,DEN,RB,4,27,0,0,0,437,4,16,128,1,86.5,87.3
Jacksonville Jaguars,JAX,DST,9,null,0,0,0,0,0,0,0,0,69,91.3
Matthew Stafford,DET,QB,6,30,4327,24,10,207,2,0,0,0,279.78,92.8
Robert Woods,BUF,WR,12,26,0,0,0,6,0,51,613,1,67.9,95.3
Allen Hurns,JAX,WR,8,26,0,0,0,0,0,35,477,3,65.7,95.3
Randall Cobb,GB,WR,7,27,0,0,0,33,0,60,610,4,88.3,95.5
Chris Thompson,WAS,RB,4,27,0,0,0,356,3,49,349,2,98.5,98.9
Los Angeles Rams,LAR,DST,12,null,0,0,0,0,0,0,0,0,91,99.5
Matt Ryan,ATL,QB,8,33,4944,38,7,117,0,0,0,0,347.46,99.7
Pierre Garcon,WAS,WR,11,31,0,0,0,0,0,79,1041,3,122.1,99.8
Devante Parker,MIA,WR,11,25,0,0,0,0,0,56,744,4,98.4,101.4
LeGarrette Blount,NE,RB,6,31,0,0,0,1161,18,7,38,0,225.9,103.7
Andrew Luck,IND,QB,9,28,4240,31,13,341,2,0,0,0,307.7,105.7
Jared Goff,LAR,QB,12,23,1089,5,7,16,1,0,0,0,53.16,106.7
Minnesota Vikings,MIN,DST,10,null,0,0,0,0,0,0,0,0,156,106.9
Robby Anderson,NYJ,WR,11,25,0,0,0,42,0,42,587,2,72.9,107.6
Kelvin Benjamin,CAR,WR,11,27,0,0,0,0,0,63,941,7,134.1,107.9
Philip Rivers,LAC,QB,8,36,4386,33,21,35,0,0,0,0,258.94,111.3
Jamison Crowder,WAS,WR,4,25,0,0,0,-2,0,67,847,7,124.5,113.2
Ty Montgomery,GB,RB,7,25,0,0,0,457,3,44,348,0,96.5,114.4
Philadelphia Eagles,PHI,DST,9,null,0,0,0,0,0,0,0,0,137,115.2
Los Angeles Chargers,LAC,DST,8,null,0,0,0,0,0,0,0,0,120,116.5
Ben Roethlisberger,PIT,QB,7,36,3819,29,13,14,1,0,0,0,252.16,118.4
Doug Martin,TB,RB,7,29,0,0,0,421,3,14,134,0,71.5,118.6
Nelson Agholor,PHI,WR,9,25,0,0,0,14,0,36,365,2,51.9,118.6
Tyler Eifert,CIN,TE,9,27,0,0,0,0,0,29,394,5,69.4,120
Duke Johnson,CLE,RB,11,24,0,0,0,358,1,53,514,0,91.2,122.5
Denver Broncos,DEN,DST,10,null,0,0,0,0,0,0,0,0,151,124.3
Houston Texans,HOU,DST,10,null,0,0,0,0,0,0,0,0,97,125.2
Sterling Shepard,NYG,WR,9,24,0,0,0,31,0,65,683,8,119.4,126.6
Latavius Murray,OAK,RB,10,27,0,0,0,788,12,33,264,0,175.2,128.6
Derek Carr,OAK,QB,7,27,3933,28,6,69,0,0,0,0,268.22,128.9
Devontae Booker,DEN,RB,10,26,0,0,0,612,4,31,265,1,111.7,129.7
Kenny Stills,MIA,WR,11,26,0,0,0,0,0,42,726,9,126.6,130
Marcus Mariota,TEN,QB,8,24,3426,26,9,349,2,0,0,0,259.94,132.9
Jack Doyle,IND,TE,9,28,0,0,0,0,0,59,584,5,86.4,133.1
Marqise Lee,JAX,WR,9,26,20,1,0,35,0,63,851,3,109.4,133.7
Cameron Meredith,CHI,WR,6,25,2,1,0,6,0,66,888,4,113.48,133.9
Baltimore Ravens,BAL,DST,10,null,0,0,0,0,0,0,0,0,121,136.7
Alex Smith,KC,QB,4,34,3502,15,8,134,5,1,3,0,223.78,139.4
New Orleans Saints,NO,DST,6,null,0,0,0,0,0,0,0,0,55,142.1
Dak Prescott,DAL,QB,8,24,3667,23,4,282,6,0,0,0,286.88,142.5
Greg Zuerlein,LAR,K,12,30,0,0,0,0,0,0,0,0,84,142.6
Josh Doctson,WAS,WR,4,25,0,0,0,0,0,2,66,0,6.6,142.6
Rishard Matthews,TEN,WR,8,28,0,0,0,0,0,65,945,9,146.5,143.1
Kenneth Dixon,BAL,RB,10,24,0,0,0,382,2,30,162,1,72.4,145.6
Stephen Gostkowski,NE,K,11,34,0,0,0,0,0,0,0,0,131,150.1
Case Keenum,LAR,QB,10,30,2201,9,11,51,1,0,0,0,111.14,150.7
Eli Manning,NYG,QB,9,37,4027,26,16,-9,0,0,0,0,224.18,151.1
Giovani Bernard,CIN,RB,9,26,0,0,0,337,2,39,336,1,83.3,151.3
Justin Tucker,BAL,K,10,28,0,0,0,0,0,0,0,0,161,152.5
Spencer Ware,KC,RB,12,26,0,0,0,922,3,33,447,2,160.9,153.2
Bilal Powell,NYJ,RB,11,29,0,0,0,722,3,58,388,2,139,154.3
New England Patriots,NE,DST,11,null,0,0,0,0,0,0,0,0,123,155
Jameis Winston,TB,QB,5,24,4090,28,18,168,1,0,0,0,256.4,155.5
Austin Seferian-Jenkins,NYJ,TE,9,25,0,0,0,0,0,13,154,1,21.4,155.6
Jordan Matthews,PHI,WR,11,25,0,0,0,1,0,73,804,3,98.5,155.7
Geronimo Allison,GB,WR,7,24,0,0,0,0,0,12,202,2,32.2,158.7
Tyler Lockett,SEA,WR,7,24,0,0,0,114,1,41,597,1,83.1,158.8
Seattle Seahawks,SEA,DST,7,null,0,0,0,0,0,0,0,0,113,161.3
Kansas City Chiefs,KC,DST,12,null,0,0,0,0,0,0,0,0,166,161.7
Brandon Marshall,NYJ,WR,7,34,0,0,0,0,0,59,788,3,96.8,162.6
Frank Gore,IND,RB,11,35,0,0,0,1026,4,38,277,4,176.3,163.3
Wil Lutz,NO,K,6,24,0,0,0,0,0,0,0,0,139,163.6
DeSean Jackson,WAS,WR,5,31,0,0,0,0,0,56,1005,4,124.5,163.7
Chicago Bears,CHI,DST,5,null,0,0,0,0,0,0,0,0,83,163.7
Peyton Barber,TB,RB,5,24,0,0,0,223,1,5,28,0,31.1,163.8
Matt Bryant,ATL,K,8,43,0,0,0,0,0,0,0,0,170,164.7
Mohamed Sanu,ATL,WR,8,28,0,0,0,5,0,59,653,4,89.8,164.7
Tyrod Taylor,BUF,QB,11,28,3023,17,6,580,6,0,0,0,270.92,164.8
Carolina Panthers,CAR,DST,4,null,0,0,0,0,0,0,0,0,123,165.3
Pittsburgh Steelers,PIT,DST,7,null,0,0,0,0,0,0,0,0,104,166.2
Chris Boswell,PIT,K,7,27,0,0,0,0,0,0,0,0,99,166.5
Blake Bortles,JAX,QB,9,26,3905,23,16,359,3,1,20,1,270.1,166.7
Dan Bailey,DAL,K,8,30,0,0,0,0,0,0,0,0,133,166.9
Matt Prater,DET,K,6,33,0,0,0,0,0,0,0,0,138,169.3
Robbie Gould,NYG,K,11,36,0,0,0,0,0,0,0,0,50,169.4
Mason Crosby,GB,K,7,33,0,0,0,0,0,0,0,0,124,172.2
James White,NE,RB,11,26,0,0,0,166,0,60,551,5,101.7,174
Washington Redskins,WAS,DST,4,null,0,0,0,0,0,0,0,0,91,176
Green Bay Packers,GB,DST,7,null,0,0,0,0,0,0,0,0,100,177
Paul Richardson,SEA,WR,4,26,0,0,0,5,0,21,288,1,35.3,177
Tennessee Titans,TEN,DST,8,null,0,0,0,0,0,0,0,0,95,178
Terrance Williams,DAL,WR,8,28,0,0,0,0,0,44,594,4,81.4,178
Arizona Cardinals,ARI,DST,9,null,0,0,0,0,0,0,0,0,144,179
Ted Ginn,CAR,WR,6,33,0,0,0,98,0,54,752,4,105,179
Mike Wallace,BAL,WR,9,31,0,0,0,31,0,72,1017,4,130.8,180
Dallas Cowboys,DAL,DST,8,null,0,0,0,0,0,0,0,0,91,180
Atlanta Falcons,ATL,DST,8,null,0,0,0,0,0,0,0,0,110,181
Ryan Grant,WAS,WR,9,27,0,0,0,0,0,9,76,0,7.6,181
Detroit Lions,DET,DST,6,null,0,0,0,0,0,0,0,0,84,182
Albert Wilson,KC,WR,11,26,0,0,0,50,1,31,279,2,50.9,182
Tyrell Williams,LAC,WR,8,26,0,0,0,0,0,69,1059,7,147.9,183
Oakland Raiders,OAK,DST,7,null,0,0,0,0,0,0,0,0,92,183
Miami Dolphins,MIA,DST,11,null,0,0,0,0,0,0,0,0,112,184
Brandon LaFell,CIN,WR,9,31,0,0,0,-2,0,64,862,6,122,185
Cincinnati Bengals,CIN,DST,9,null,0,0,0,0,0,0,0,0,92,185
San Francisco 49ers,SF,DST,11,null,0,0,0,0,0,0,0,0,61,186
Indianapolis Colts,IND,DST,9,null,0,0,0,0,0,0,0,0,85,187
Buffalo Bills,BUF,DST,11,null,0,0,0,0,0,0,0,0,103,188
Tampa Bay Buccaneers,TB,DST,5,null,0,0,0,0,0,0,0,0,133,189
Willie Snead,NO,WR,10,25,50,1,0,0,0,72,895,4,119.5,189
Quincy Enunwa,NYJ,WR,11,26,0,0,0,21,0,58,857,4,111.8,190
New York Jets,NYJ,DST,11,null,0,0,0,0,0,0,0,0,62,190
Ryan Tannehill,MIA,QB,11,29,2995,19,12,164,1,0,0,0,190.2,191
New York Giants,NYG,DST,9,null,0,0,0,0,0,0,0,0,139,191
Cleveland Browns,CLE,DST,11,null,0,0,0,0,0,0,0,0,48,192
John Brown,ARI,WR,10,28,0,0,0,10,0,39,517,2,64.7,193
Darren Sproles,PHI,RB,9,35,0,0,0,438,2,52,427,2,110.5,194
Travis Benjamin,LAC,WR,8,28,0,0,0,-3,0,47,677,4,85.4,195
Andy Dalton,CIN,QB,9,30,4206,18,8,184,4,0,0,0,260.64,196
Donte Moncrief,IND,WR,9,24,0,0,0,-1,0,30,307,7,72.6,198
Theo Riddick,DET,RB,6,27,0,0,0,357,1,53,371,5,108.8,199
Kendall Wright,TEN,WR,10,28,0,0,0,15,0,29,416,3,61.1,201
Terrelle Pryor,CLE,WR,11,29,41,0,0,21,1,77,1007,4,136.44,202
Jermaine Kearse,SEA,WR,11,28,0,0,0,0,0,41,511,1,57.1,203
Danny Amendola,NE,WR,11,32,0,0,0,0,0,23,243,4,46.3,206
JJ Nelson,ARI,WR,9,24,0,0,0,83,1,34,568,6,105.1,208
Joe Flacco,BAL,QB,10,33,4317,20,15,58,2,0,0,0,242.48,210
Seth Roberts,OAK,WR,7,27,0,0,0,0,0,38,397,5,73.7,212
Cole Beasley,DAL,WR,8,29,0,0,0,7,0,75,833,5,114,214
Bennie Fowler,DEN,WR,5,27,0,0,0,0,0,11,145,2,26.5,215
TJ Yeldon,JAX,RB,9,24,0,0,0,465,1,50,312,1,87.7,216
Travaris Cadet,NO,RB,11,29,0,0,0,19,0,40,281,4,54,218
Taylor Gabriel,ATL,WR,5,27,0,0,0,51,1,35,579,6,105,221
Chester Rogers,IND,WR,9,24,0,0,0,0,0,19,273,0,27.3,222
Adam Humphries,TB,WR,5,25,0,0,0,18,0,55,622,2,78,224
Chris Ivory,JAX,RB,11,30,0,0,0,439,3,20,186,0,74.5,225
Javorius Allen,BAL,RB,10,26,0,0,0,34,0,3,15,0,4.9,228
Corey Grant,JAX,RB,9,26,0,0,0,164,1,4,35,1,31.9,231
Jalen Richard,OAK,RB,7,24,0,0,0,492,1,29,194,2,86.6,232
Charles Sims,TB,RB,5,27,0,0,0,149,1,24,190,1,43.9,235
Rod Smith,DAL,RB,8,26,0,0,0,0,0,1,4,0,0.4,236
Mike Davis,SF,RB,7,25,0,0,0,50,1,3,25,0,11.5,239
Corey Coleman,CLE,WR,11,24,0,0,0,10,0,33,413,3,60.3,241
Braxton Miller,HOU,WR,10,25,0,0,0,0,0,15,99,1,15.9,243
Ameer Abdullah,DET,RB,6,25,0,0,0,101,0,5,57,1,21.8,245
Tavon Austin,LAR,WR,8,27,0,0,0,159,1,58,509,3,88.8,247
Robert Turbin,IND,RB,9,28,0,0,0,164,7,26,179,1,82.3,249
Jeremy Kerley,SF,WR,11,29,0,0,0,0,0,64,667,3,82.7,250
Jakeem Grant,MIA,WR,11,25,0,0,0,1,0,0,0,0,-1.9,251
Roger Lewis,NYG,WR,9,24,0,0,0,0,0,7,97,2,21.7,252
Kyle Juszczyk,BAL,FB,11,27,0,0,0,22,1,37,266,0,36.8,253
Brice Butler,DAL,WR,9,28,0,0,0,0,0,16,219,3,39.9,254
TJ Jones,DET,WR,6,25,0,0,0,0,0,5,93,0,9.3,256
AJ McCarron,CIN,QB,11,27,0,0,0,0,0,0,0,0,0,257
Josh McCown,CLE,QB,11,39,1100,6,6,21,0,0,0,0,52.1,260
Jaron Brown,ARI,WR,7,28,0,0,0,0,0,11,187,1,24.7,261
Christine Michael,GB,RB,9,27,0,0,0,583,7,22,107,1,115,262
Malcolm Brown,LAR,RB,12,25,0,0,0,39,0,3,46,0,6.5,264
Cameron Artis-Payne,CAR,RB,4,26,0,0,0,144,2,1,11,0,27.5,265
Sam Bradford,MIN,QB,9,30,3877,20,5,53,0,1,5,0,220.88,266
Wendell Smallwood,PHI,RB,9,24,0,0,0,312,1,6,55,0,40.7,267
Kenny Britt,LAR,WR,11,29,0,0,0,0,0,68,1002,5,128.2,268
Chris Conley,KC,WR,12,25,0,0,0,0,0,44,530,0,53,269
Torrey Smith,SF,WR,4,29,0,0,0,0,0,20,267,3,44.7,270
Jonathan Stewart,CAR,RB,9,31,0,0,0,824,9,8,60,0,138.4,271
Terrance West,BAL,RB,6,27,0,0,0,774,5,34,236,1,137,272
Tanner McEvoy,SEA,WR,7,25,43,0,0,0,0,9,140,2,27.72,276
Rashard Higgins,CLE,WR,11,23,0,0,0,0,0,6,77,0,7.7,278
Charles Clay,BUF,TE,11,29,0,0,0,0,0,57,552,4,79.2,279
Chris Moore,BAL,WR,10,25,0,0,0,19,0,7,46,0,6.5,280
Cordarrelle Patterson,MIN,WR,11,27,0,0,0,43,0,52,453,2,61.6,282
Cameron Brate,TB,TE,5,27,0,0,0,0,0,57,660,8,114,283
Thomas Rawls,SEA,RB,11,22,0,0,0,349,3,13,96,0,62.5,285
Vance McDonald,SF,TE,7,28,0,0,0,0,0,24,391,4,63.1,286
Eric Ebron,DET,TE,9,25,0,0,0,1,1,61,711,1,83.2,287
Jared Cook,GB,TE,7,31,0,0,0,0,0,30,377,1,41.7,288
Austin Hooper,ATL,TE,8,23,0,0,0,0,0,19,271,3,45.1,291
Ryan Griffin,HOU,TE,10,28,0,0,0,0,0,50,442,2,54.2,300
Cody Latimer,DEN,WR,9,25,0,0,0,0,0,8,76,0,7.6,301
Mike Gillislee,BUF,RB,11,27,0,0,0,576,8,9,50,1,116.6,302
Kevin White,CHI,WR,5,25,0,0,0,9,0,19,187,0,19.6,303
Demarcus Robinson,KC,WR,12,23,0,0,0,0,0,0,0,0,0,304
CJ Prosise,SEA,RB,7,24,0,0,0,172,1,17,208,0,44,306
Laquon Treadwell,MIN,WR,10,23,0,0,0,0,0,1,15,0,1.5,307
Malcolm Mitchell,NE,WR,11,25,0,0,0,0,0,32,401,4,64.1,308
Matt Jones,WAS,RB,9,22,0,0,0,460,3,8,73,0,67.3,309
Deandre Washington,OAK,RB,7,25,0,0,0,467,2,17,115,0,68.2,310
Jeremy Hill,CIN,RB,11,25,0,0,0,839,9,21,174,0,155.3,311
Tyler Boyd,CIN,WR,9,23,0,0,0,58,0,54,603,1,70.1,313
Virgil Green,DEN,TE,8,29,0,0,0,0,0,22,237,1,29.7,314
Rob Kelley,WAS,RB,4,25,0,0,0,704,6,12,82,1,120.6,315
Johnny Holton,OAK,WR,7,26,0,0,0,43,0,2,34,0,5.7,316
Alfred Blue,HOU,RB,10,27,0,0,0,420,1,12,40,0,50,317
Jamize Olawale,OAK,FB,8,29,0,0,0,47,2,12,227,1,45.4,320
Luke Willson,SEA,TE,6,28,0,0,0,0,0,15,129,2,24.9,321
Ricardo Louis,CLE,WR,11,24,0,0,0,0,0,18,205,0,20.5,323
Ryan Fitzpatrick,NYJ,QB,5,35,2710,12,17,130,0,0,0,0,133.4,324
Trevor Davis,GB,WR,7,25,0,0,0,0,0,3,24,1,6.4,325
Vernon Davis,WAS,TE,4,34,0,0,0,0,0,44,583,2,70.3,326
Anthony Sherman,KC,FB,12,29,0,0,0,0,0,4,11,0,1.1,327
Mike Thomas,LAR,WR,12,23,0,0,0,0,0,3,37,0,1.7,330
Zach Zenner,DET,RB,6,26,0,0,0,334,4,18,196,0,75,331
Andy Janovich,DEN,FB,10,25,0,0,0,33,1,5,44,0,13.7,337
Justin Hunter,BUF,WR,7,27,0,0,0,0,0,10,189,4,42.9,338
Ed Dickson,CAR,TE,7,30,0,0,0,0,0,10,134,1,19.4,339
Justin Hardy,ATL,WR,8,26,0,0,0,0,0,21,203,4,44.3,341
Russell Shepard,TB,WR,9,27,0,0,0,9,0,23,341,2,47,344
Zach Line,MIN,FB,6,28,0,0,0,15,0,0,0,0,1.5,346
Kai Forbath,MIN,K,10,30,0,0,0,0,0,0,0,0,58,347
Deonte Thompson,CHI,WR,8,29,0,0,0,0,0,22,249,2,34.9,349
Graham Gano,CAR,K,4,31,0,0,0,0,0,0,0,0,127,350
Raheem Mostert,SF,RB,11,26,0,0,0,6,0,0,0,0,0.6,351
Josh Lambo,LAC,K,9,27,0,0,0,0,0,0,0,0,120,353
Jordan Taylor,DEN,WR,10,26,0,0,0,0,0,16,209,2,30.9,354
Ryan Succop,TEN,K,8,31,0,0,0,0,0,0,0,0,111,355
Andre Holmes,OAK,WR,11,30,0,0,0,0,0,14,126,3,30.6,357
Adam Vinatieri,IND,K,9,45,0,0,0,0,0,0,0,0,139,359
Brandon McManus,DEN,K,10,26,0,0,0,6,0,0,0,0,125.6,360
Dustin Hopkins,WAS,K,4,27,0,0,0,0,0,0,0,0,144,365
Brandon Wilds,NYJ,RB,9,24,0,0,0,27,0,2,20,0,4.7,366
Kasen Williams,SEA,WR,9,26,0,0,0,0,0,0,0,0,0,367
Leonte Carroo,MIA,WR,11,24,0,0,0,0,0,3,29,1,8.9,368
Phil Dawson,SF,K,9,43,0,0,0,0,0,0,0,0,89,369
Sebastian Janikowski,OAK,K,7,40,0,0,0,0,0,0,0,0,130,370
Chandler Catanzaro,ARI,K,5,27,0,0,0,0,0,0,0,0,112,371
Josh Bellamy,CHI,WR,5,29,0,0,0,37,0,19,282,1,37.9,372
Garrett Celek,SF,TE,11,30,0,0,0,0,0,29,350,3,51,373
Caleb Sturgis,PHI,K,8,28,0,0,0,0,0,0,0,0,143,374
Jermaine Gresham,ARI,TE,9,30,0,0,0,0,0,37,391,2,51.1,375
Kapri Bibbs,DEN,RB,4,25,0,0,0,107,0,2,75,1,24.2,376
Tyler Kroft,CIN,TE,9,25,0,0,0,0,0,10,92,0,9.2,380
Damien Williams,MIA,RB,12,26,0,0,0,115,3,23,249,3,70.4,381
Tyler Higbee,LAR,TE,12,25,0,0,0,0,0,11,85,1,14.5,385
Steven Hauschka,SEA,K,11,33,0,0,0,0,0,0,0,0,130,386
Jacquizz Rodgers,TB,RB,5,28,0,0,0,560,2,13,98,0,77.8,390
Tajae Sharpe,TEN,WR,8,23,0,0,0,1,0,41,522,2,64.3,391
Cody Core,CIN,WR,9,24,0,0,0,0,0,17,200,0,20,392
Rod Streater,SF,WR,11,30,0,0,0,0,0,18,191,2,31.1,395
Charone Peake,NYJ,WR,11,25,0,0,0,0,1,19,186,0,24.6,397
