Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
LaDainian Tomlinson,LAC,RB,16,20,2,0,1815,28,56,508,3,1,26.6,425.1
Larry Johnson,KC,RB,16,0,0,0,1789,17,41,410,2,2,20.6,329.9
Steven Jackson,LAR,RB,16,0,0,0,1528,13,90,806,3,2,20.3,325.4
Peyton Manning,IND,QB,16,4397,31,9,36,4,0,0,0,1,19.3,309.48
Michael Vick,ATL,QB,16,2474,20,13,1039,2,1,1,0,3,16.4,262.96
Frank Gore,SF,RB,16,0,0,0,1695,8,61,485,1,5,16.4,262
Drew Brees,NO,QB,16,4418,26,11,32,0,0,0,0,3,16.2,259.92
Willie Parker,PIT,RB,16,0,0,0,1494,13,31,222,3,5,16.1,257.6
Brian Westbrook,PHI,RB,15,0,0,0,1217,7,77,699,4,2,16.9,253.6
Marc Bulger,LAR,QB,16,4301,24,8,44,0,0,0,0,3,15.8,252.44
Tiki Barber,NYG,RB,16,0,0,0,1662,5,58,465,0,1,15,240.7
Carson Palmer,CIN,QB,16,4035,28,13,37,0,0,0,0,7,14.8,237.1
Maurice Jones-Drew,JAX,RB,16,0,0,0,941,13,46,436,2,1,14.1,225.7
Tom Brady,NE,QB,16,3529,24,12,102,0,0,0,0,4,13.7,219.36
Jon Kitna,DET,QB,16,4208,21,22,156,2,0,0,0,9,13.6,217.92
Rudi Johnson,CIN,RB,16,0,0,0,1309,12,23,124,0,2,13.2,211.3
Philip Rivers,LAC,QB,16,3388,22,9,49,0,0,0,0,2,13,208.42
Marvin Harrison,IND,WR,16,0,0,0,0,0,95,1366,12,1,12.9,206.6
Vince Young,TEN,QB,15,2199,12,13,552,7,0,0,0,3,13.5,203.16
Donovan McNabb,PHI,QB,10,2647,18,6,212,3,0,0,0,2,20.1,201.08
Terrell Owens,DAL,WR,16,0,0,0,0,0,85,1180,13,0,12.4,198
Brett Favre,GB,QB,16,3885,18,18,29,1,0,0,0,5,11.9,190.3
Deuce McAllister,NO,RB,15,0,0,0,1057,11,30,198,0,1,12.6,189.5
Eli Manning,NYG,QB,16,3244,24,18,21,0,0,0,0,2,11.7,187.86
Reggie Wayne,IND,WR,16,0,0,0,0,0,86,1310,9,0,11.7,187
Joseph Addai,IND,RB,16,0,0,0,1081,7,40,325,1,2,11.5,184.6
Ben Roethlisberger,PIT,QB,15,3513,18,23,98,2,0,0,0,2,12.3,184.32
Ladell Betts,WAS,RB,16,0,0,0,1154,4,53,445,1,3,11.5,183.9
Marion Barber,DAL,RB,16,0,0,0,654,14,23,196,2,0,11.3,181
Chester Taylor,MIN,RB,15,0,0,0,1216,6,42,288,0,3,12,180.4
Chad Johnson,CIN,WR,16,0,0,0,24,0,87,1369,7,1,11.2,179.3
Donald Driver,GB,WR,16,0,0,0,16,0,92,1295,8,0,11.2,179.1
Steve McNair,BAL,QB,16,3050,16,12,119,1,0,0,0,1,11.1,177.9
Torry Holt,LAR,WR,16,0,0,0,0,0,93,1188,10,1,11,176.8
Steve Smith,CAR,WR,14,0,0,0,61,1,83,1166,8,0,12.6,176.7
JP Losman,BUF,QB,16,3051,19,14,140,1,0,0,0,7,11,176.04
Ahman Green,GB,RB,14,0,0,0,1059,5,46,373,1,2,12.5,175.2
Lee Evans,BUF,WR,16,0,0,0,0,0,82,1292,8,1,11,175.2
Jamal Lewis,BAL,RB,16,0,0,0,1132,9,18,115,0,2,10.9,174.7
Javon Walker,DEN,WR,16,0,0,0,123,1,69,1084,8,0,10.9,174.7
Tony Romo,DAL,QB,16,2903,19,13,102,0,0,0,0,3,10.9,174.32
Chad Pennington,NYJ,QB,16,3352,17,16,109,0,0,7,0,4,10.9,173.68
Reggie Bush,NO,RB,16,0,0,1,565,6,88,742,2,2,10.8,172.7
Travis Henry,TEN,RB,14,0,0,0,1211,7,18,78,0,1,12.2,170.9
Fred Taylor,JAX,RB,15,0,0,0,1146,5,23,242,1,2,11.4,170.8
Thomas Jones,CHI,RB,16,-4,0,0,1210,6,36,154,0,1,10.6,170.24
Corey Dillon,NE,RB,16,0,0,0,812,13,15,147,0,2,10.6,169.9
Rex Grossman,CHI,QB,16,3193,23,20,2,0,1,-4,0,5,10.6,169.52
Roy Williams,DET,WR,16,0,0,0,2,0,82,1310,7,2,10.6,169.2
Edgerrin James,ARI,RB,16,0,0,0,1159,6,38,217,0,3,10.5,167.6
Alex Smith,SF,QB,16,2890,16,16,147,2,0,0,0,5,10.3,164.3
TJ Houshmandzadeh,CIN,WR,14,0,0,0,6,0,90,1081,9,0,11.6,162.7
Warrick Dunn,ATL,RB,16,0,0,0,1140,4,22,170,1,0,10.1,161
Kevin Jones,DET,RB,12,0,0,0,689,6,61,520,2,5,13.2,158.9
Plaxico Burress,NYG,WR,15,0,0,0,0,0,63,988,10,1,10.5,156.8
D Jackson,SEA,WR,13,0,0,0,0,0,63,956,10,0,12,155.6
Ronnie Brown,MIA,RB,13,0,0,0,1008,5,33,276,0,2,11.9,154.4
Marques Colston,NO,WR,14,0,0,0,0,0,70,1038,8,0,10.8,151.8
Jake Delhomme,CAR,QB,13,2805,17,11,12,0,0,0,0,4,11.6,151.4
David Carr,HOU,QB,16,2767,11,12,195,2,0,0,0,7,9.4,150.18
Matt Hasselbeck,SEA,QB,12,2442,18,15,110,0,0,0,0,2,12.4,148.68
Joey Galloway,TB,WR,16,0,0,0,9,0,62,1057,7,0,9.3,148.6
Laveranues Coles,NYJ,WR,16,0,0,0,14,0,91,1098,6,0,9.2,147.2
Anquan Boldin,ARI,WR,16,0,0,0,28,0,83,1203,4,0,9.2,147.1
Willis McGahee,BUF,RB,14,0,0,0,990,6,18,156,0,2,10.5,146.6
Antonio Gates,LAC,TE,16,0,0,0,0,0,71,924,9,0,9.2,146.4
Andre Johnson,HOU,WR,16,0,0,0,14,0,103,1147,5,0,9.1,146.1
Julius Jones,DAL,RB,16,0,0,0,1084,4,9,142,0,1,9,144.6
Mike Furrey,DET,WR,16,0,0,0,0,0,98,1086,6,1,8.9,142.6
T Glenn,DAL,WR,15,0,0,0,11,0,70,1047,6,0,9.5,141.8
Reggie Brown,PHI,WR,16,0,0,0,24,1,46,816,8,0,8.6,138
Matt Leinart,ARI,QB,12,2547,11,12,49,2,0,0,0,2,11.2,134.78
Jerricho Cotchery,NYJ,WR,16,0,0,0,25,0,82,961,6,0,8.4,134.6
Hines Ward,PIT,WR,14,0,0,0,30,0,74,975,6,1,9.6,134.5
Laurence Maroney,NE,RB,14,0,0,0,745,6,22,194,1,1,9.6,133.9
Mike Bell,DEN,RB,15,0,0,0,677,8,20,158,0,0,8.8,131.5
Larry Fitzgerald,ARI,WR,13,0,0,0,0,0,69,946,6,0,10,130.6
Shaun Alexander,SEA,RB,10,0,0,0,896,7,12,48,0,3,13,130.4
Isaac Bruce,LAR,WR,16,0,0,0,0,0,74,1098,3,0,8.1,129.8
Charlie Frye,CLE,QB,13,2454,10,17,215,3,0,0,0,7,10,129.66
Alge Crumpler,ATL,TE,16,0,0,0,0,0,56,780,8,0,7.9,126
Santana Moss,WAS,WR,14,0,0,0,82,0,55,790,6,0,8.9,125.2
Braylon Edwards,CLE,WR,16,0,0,0,7,0,61,884,6,0,7.8,125.1
Brad Johnson,MIN,QB,15,2750,9,15,82,1,0,0,0,4,8.1,122.2
Tony Gonzalez,KC,TE,15,0,0,0,0,0,73,900,5,0,8.1,122
Mark Clayton,BAL,WR,16,0,0,0,-30,0,67,939,5,0,7.6,120.9
DeShaun Foster,CAR,RB,14,0,0,0,897,3,32,159,0,2,8.5,119.6
Eddie Kennison,KC,WR,16,0,0,0,16,0,53,860,5,0,7.4,117.6
M Booker,MIA,WR,14,0,0,0,19,0,55,747,6,0,8.3,116.6
Tatum Bell,DEN,RB,13,0,0,0,1025,2,24,115,0,5,8.9,116
Chris Henry,CIN,WR,13,0,0,0,0,0,36,605,9,0,8.8,114.5
Muhsin Muhammad,CHI,WR,16,0,0,0,0,0,60,863,5,1,7.1,114.3
Leon Washington,NYJ,RB,16,0,0,0,650,4,25,270,0,1,7.1,114
Dominic Rhodes,IND,RB,16,0,0,0,641,5,36,251,0,3,7.1,113.2
Todd Heap,BAL,TE,16,0,0,0,0,0,73,765,6,0,7,112.5
David Garrard,JAX,QB,11,1735,10,9,250,0,0,0,0,2,10.2,112.4
Bernard Berrian,CHI,WR,15,0,0,0,5,0,51,775,6,1,7.5,112
Devery Henderson,NO,WR,13,0,0,0,14,1,32,745,5,0,8.6,111.9
Joey Harrington,MIA,QB,11,2236,12,15,24,0,0,0,0,1,10.2,111.84
W Demps,NYG,WR,16,0,0,0,0,0,0,0,0,0,7,111.6
Chris Cooley,WAS,TE,16,0,0,0,0,0,57,734,6,0,7,111.4
Clinton Portis,WAS,RB,8,0,0,0,523,7,17,170,0,0,13.9,111.3
Jake Plummer,DEN,QB,16,1994,11,13,112,1,0,0,0,2,6.9,110.96
Damon Huard,KC,QB,10,1878,11,1,9,0,2,-6,0,5,10.9,109.42
Brandon Jacobs,NYG,RB,15,0,0,0,423,9,11,149,0,1,7.3,109.2
Reuben Droughns,CLE,RB,14,0,0,0,758,4,27,169,0,4,7.8,108.7
Kevin Johnson,CAR,WR,16,0,0,1,4,1,70,815,4,1,6.7,107.9
Cedric Benson,CHI,RB,15,0,0,0,647,6,8,54,0,0,7.1,106.1
Kellen Winslow,CLE,TE,16,0,0,0,0,0,89,875,3,0,6.6,105.5
Jeremy Shockey,NYG,TE,15,0,0,0,0,0,66,623,7,0,7,104.3
Donte' Stallworth,PHI,WR,12,0,0,0,0,0,38,725,5,0,8.5,102.5
Chris Chambers,MIA,WR,16,0,0,0,95,0,59,677,4,0,6.3,101.2
Mark Brunell,WAS,QB,10,1789,8,4,34,0,0,0,0,1,10.1,100.96
Ron Dayne,HOU,RB,11,0,0,0,612,5,14,77,0,0,9.2,100.9
Deion Branch,SEA,WR,14,0,0,0,30,0,53,725,4,0,7.1,99.5
Cadillac Williams,TB,RB,14,0,0,0,798,1,30,196,0,3,7.1,99.4
Desmond Clark,CHI,TE,16,0,0,0,0,0,45,626,6,0,6.2,98.6
R Caldwell,NE,WR,16,0,0,0,5,0,61,760,4,2,6.2,98.5
Bryant Johnson,ARI,WR,16,0,0,0,-3,0,40,740,4,1,6,95.7
Jeff Garcia,PHI,QB,8,1309,10,2,87,0,0,0,0,2,11.9,95.06
Joe Horn,NO,WR,10,0,0,0,0,0,37,679,4,0,9.4,93.9
DeAngelo Williams,CAR,RB,13,0,0,0,501,1,33,313,1,0,7.2,93.4
LJ Smith,PHI,TE,16,0,0,0,0,0,50,611,5,0,5.8,93.1
W Lundy,HOU,RB,14,0,0,0,476,4,33,204,0,1,6.6,92
Santonio Holmes,PIT,WR,16,0,0,0,13,0,49,824,2,2,5.7,91.7
D Bennett,TEN,WR,16,0,0,0,0,0,46,737,3,1,5.7,91.7
A Bryant,SF,WR,14,0,0,0,0,0,40,733,3,0,6.5,91.3
Jason Campbell,WAS,QB,7,1297,10,6,107,0,0,0,0,0,12.9,90.58
R Williams,JAX,WR,16,0,0,0,33,0,52,616,4,0,5.6,88.9
Bruce Gradkowski,TB,QB,13,1661,9,9,161,0,0,0,0,6,6.8,88.54
Nate Washington,PIT,WR,16,0,0,0,8,0,35,624,4,0,5.4,87.2
