Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Shaun Alexander,SEA,RB,16,0,0,0,1880,27,15,78,1,1,22.6,361.8
Larry Johnson,KC,RB,16,0,0,0,1750,20,33,343,1,4,20.5,327.3
LaDainian Tomlinson,LAC,RB,16,47,3,0,1462,18,51,370,2,1,19.7,315.08
Tiki Barber,NYG,RB,16,0,0,0,1860,9,54,530,2,1,19.1,305
Edgerrin James,IND,RB,15,0,0,0,1506,13,44,337,1,1,17.8,266.3
Carson Palmer,CIN,QB,16,3836,32,12,41,1,0,0,0,2,16.6,265.54
Tom Brady,NE,QB,16,4110,26,14,89,1,0,0,0,3,15.6,249.3
Peyton Manning,IND,QB,16,3747,28,10,45,0,0,0,0,2,15.1,242.38
Clinton Portis,WAS,RB,16,17,1,0,1516,11,30,216,0,2,15.1,241.88
Steve Smith,CAR,WR,16,0,0,0,25,1,103,1563,12,1,14.7,234.8
Matt Hasselbeck,SEA,QB,16,3459,24,9,124,1,0,0,0,2,14.4,230.76
Rudi Johnson,CIN,RB,16,0,0,0,1458,12,23,90,0,0,14.2,226.8
LaMont Jordan,OAK,RB,14,0,0,0,1025,9,70,563,2,1,16.1,224.8
Eli Manning,NYG,QB,16,3762,24,17,80,1,0,0,0,2,14,224.48
Jake Plummer,DEN,QB,16,3366,18,7,151,2,0,0,0,2,13.6,217.74
Michael Vick,ATL,QB,15,2412,15,13,597,6,1,-14,0,5,14.5,216.78
Trent Green,KC,QB,16,4014,17,10,82,0,0,0,0,4,13.2,210.76
Drew Brees,LAC,QB,16,3576,24,15,49,1,0,0,0,5,13.1,209.94
Kerry Collins,OAK,QB,15,3759,20,12,39,1,0,0,0,4,13.9,208.26
Drew Bledsoe,DAL,QB,16,3639,23,17,50,2,0,0,0,8,12.9,206.56
Larry Fitzgerald,ARI,WR,16,0,0,0,41,0,103,1409,10,0,12.8,205
Chad Johnson,CIN,WR,16,0,0,0,33,0,97,1432,9,0,12.5,200.5
Santana Moss,WAS,WR,16,0,0,0,-3,0,84,1483,9,1,12.5,200
Jake Delhomme,CAR,QB,16,3421,24,16,31,1,0,0,0,6,12.4,197.94
Thomas Jones,CHI,RB,15,0,0,0,1335,9,26,143,0,2,13.2,197.8
M Anderson,DEN,TE,15,0,0,0,1014,12,18,212,1,2,13.1,196.6
Mark Brunell,WAS,QB,16,3050,23,10,111,0,0,0,0,6,12.2,195.1
Steven Jackson,LAR,RB,15,0,0,0,1046,8,43,320,2,3,12.7,190.6
Joey Galloway,TB,WR,16,0,0,0,4,0,83,1287,10,0,11.8,189.1
Anquan Boldin,ARI,WR,14,0,0,0,45,0,102,1402,7,1,13.3,186.7
Marvin Harrison,IND,WR,15,0,0,0,0,0,82,1146,12,0,12.4,186.6
Warrick Dunn,ATL,RB,16,0,0,0,1416,3,29,220,1,1,11.6,185.6
Torry Holt,LAR,WR,14,0,0,0,2,0,102,1331,9,1,13.2,185.3
Chris Chambers,MIA,WR,16,0,0,0,92,0,82,1118,11,2,11.4,183
Steve McNair,TEN,QB,14,3161,16,11,139,1,0,0,0,4,12.9,180.34
Brett Favre,GB,QB,16,3881,20,29,62,0,0,0,0,7,10.8,173.44
