Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Matthew Stafford,DET,QB,6,30,4353,28,12,121,1,0,0,0,280.22,92.8
Robert Woods,LAR,WR,12,26,0,0,0,12,0,64,841,5,113.3,95.3
Allen Hurns,DAL,WR,8,26,0,0,0,0,0,54,701,4,94.1,95.3
Randall Cobb,GB,WR,7,27,0,0,0,46,0,73,763,5,110.9,95.5
Chris Thompson,WAS,RB,4,27,0,0,0,318,2,53,478,3,105.6,98.9
Los Angeles Rams,LAR,DST,12,null,0,0,0,0,0,0,0,0,127,99.5
Matt Ryan,ATL,QB,8,33,4202,27,12,120,0,0,0,0,264.08,99.7
Pierre Garcon,SF,WR,11,31,0,0,0,0,0,74,937,4,117.7,99.8
Devante Parker,MIA,WR,11,25,0,0,0,0,0,64,807,4,104.7,101.4
D'Onta Foreman,HOU,RB,10,22,0,0,0,566,4,14,121,1,96.7,103.2
LeGarrette Blount,DET,RB,6,31,0,0,0,403,4,6,39,0,66.2,103.7
Cooper Kupp,LAR,WR,12,25,0,0,0,0,0,64,823,5,110.3,104.1
Andrew Luck,IND,QB,9,28,3761,25,14,262,2,0,0,0,260.64,105.7
Jared Goff,LAR,QB,12,23,4028,27,10,65,1,0,0,0,261.62,106.7
Minnesota Vikings,MIN,DST,10,null,0,0,0,0,0,0,0,0,122,106.9
Robby Anderson,NYJ,WR,11,25,0,0,0,17,0,60,833,5,115,107.6
Kelvin Benjamin,BUF,WR,11,27,0,0,0,0,0,57,788,4,102.8,107.9
Philip Rivers,LAC,QB,8,36,4424,29,13,29,0,0,0,0,269.86,111.3
Corey Clement,PHI,RB,9,23,0,0,0,413,3,20,180,1,81.3,112.1
Jamison Crowder,WAS,WR,4,25,0,0,0,24,0,67,790,4,101.4,113.2
Patrick Mahomes,KC,QB,12,22,3970,24,14,284,2,0,0,0,267.2,114.3
Ty Montgomery,GB,RB,7,25,0,0,0,346,3,40,313,2,93.9,114.4
Philadelphia Eagles,PHI,DST,9,null,0,0,0,0,0,0,0,0,120,115.2
Calvin Ridley,ATL,WR,8,23,0,0,0,1,0,45,586,4,82.7,115.7
Los Angeles Chargers,LAC,DST,8,null,0,0,0,0,0,0,0,0,117,116.5
Ben Roethlisberger,PIT,QB,7,36,4355,29,15,38,0,0,0,0,264,118.4
Nelson Agholor,PHI,WR,9,25,0,0,0,24,0,59,699,5,102.3,118.6
Doug Martin,OAK,RB,7,29,0,0,0,372,3,11,89,0,62.1,118.6
D.J. Moore,CAR,WR,4,21,0,0,0,2,0,41,534,3,71.6,119.1
Tyler Eifert,CIN,TE,9,27,0,0,0,0,0,43,494,4,73.4,120
Duke Johnson,CLE,RB,11,24,0,0,0,327,2,52,464,2,101.1,122.5
Denver Broncos,DEN,DST,10,null,0,0,0,0,0,0,0,0,96,124.3
Mike Williams,LAC,WR,8,23,0,0,0,0,0,38,471,3,65.1,124.6
Houston Texans,HOU,DST,10,null,0,0,0,0,0,0,0,0,94,125.2
Chris Carson,SEA,RB,7,23,0,0,0,294,2,14,119,1,57.3,126.4
Sterling Shepard,NYG,WR,9,24,0,0,0,14,0,62,737,4,99.1,126.6
Latavius Murray,MIN,RB,10,27,0,0,0,455,4,18,128,0,80.3,128.6
Derek Carr,OAK,QB,7,27,3829,25,12,82,0,0,0,0,237.36,128.9
Devontae Booker,DEN,RB,10,26,0,0,0,485,3,34,278,1,98.3,129.7
Kenny Stills,MIA,WR,11,26,0,0,0,0,0,55,822,5,110.2,130
Martavis Bryant,OAK,WR,7,26,0,0,0,15,0,46,616,4,87.1,130.1
Marcus Mariota,TEN,QB,8,24,3784,23,14,382,2,0,0,0,265.56,132.9
Jack Doyle,IND,TE,9,28,0,0,0,0,0,69,628,6,98.8,133.1
Marqise Lee,JAX,WR,9,26,0,0,0,14,0,61,792,5,110.6,133.7
Cameron Meredith,NO,WR,6,25,0,0,0,0,0,44,562,3,70.2,133.9
Baltimore Ravens,BAL,DST,10,null,0,0,0,0,0,0,0,0,112,136.7
Kenny Golladay,DET,WR,6,24,0,0,0,2,0,45,691,4,93.3,137.5
Alex Smith,WAS,QB,4,34,3986,23,10,283,2,0,0,0,271.74,139.4
George Kittle,SF,TE,11,24,0,0,0,0,0,46,537,4,77.7,139.5
Nyheim Hines,IND,RB,9,21,0,0,0,299,2,29,228,1,68.7,139.6
New Orleans Saints,NO,DST,6,null,0,0,0,0,0,0,0,0,95,142.1
Dak Prescott,DAL,QB,8,24,3504,22,11,320,4,0,0,0,262.16,142.5
Greg Zuerlein,LAR,K,12,30,0,0,0,0,0,0,0,0,127,142.6
Josh Doctson,WAS,WR,4,25,0,0,0,2,0,47,665,5,96.7,142.6
Rishard Matthews,TEN,WR,8,28,0,0,0,1,0,57,821,5,112.2,143.1
Kenneth Dixon,BAL,RB,10,24,0,0,0,367,2,26,185,1,71.2,145.6
OJ Howard,TB,TE,5,23,0,0,0,0,0,33,441,3,62.1,148.9
Stephen Gostkowski,NE,K,11,34,0,0,0,0,0,0,0,0,140,150.1
Case Keenum,DEN,QB,10,30,3918,22,13,143,1,0,0,0,239.02,150.7
Eli Manning,NYG,QB,9,37,3828,24,14,29,0,0,0,0,224.02,151.1
Giovani Bernard,CIN,RB,9,26,0,0,0,373,2,38,324,1,85.7,151.3
Michael Gallup,DAL,WR,8,22,0,0,0,0,0,35,454,3,63.4,152.4
Justin Tucker,BAL,K,10,28,0,0,0,0,0,0,0,0,128,152.5
Spencer Ware,KC,RB,12,26,0,0,0,292,2,12,104,1,55.6,153.2
Bilal Powell,NYJ,RB,11,29,0,0,0,448,3,28,204,1,87.2,154.3
New England Patriots,NE,DST,11,null,0,0,0,0,0,0,0,0,98,155
Jameis Winston,TB,QB,5,24,3506,21,12,138,1,0,0,0,220.04,155.5
Austin Seferian-Jenkins,JAX,TE,9,25,0,0,0,0,0,46,509,4,74.9,155.6
Jordan Matthews,NE,WR,11,25,0,0,0,0,0,47,560,4,78,155.7
David Njoku,CLE,TE,11,22,0,0,0,0,0,44,514,5,81.4,156.1
Ricky Seals-Jones,ARI,TE,9,23,0,0,0,0,0,41,546,3,72.6,158.6
Geronimo Allison,GB,WR,7,24,0,0,0,0,0,33,408,3,56.8,158.7
Tyler Lockett,SEA,WR,7,24,0,0,0,59,0,48,628,4,92.7,158.8
Matt Breida,SF,RB,11,23,0,0,0,454,3,18,147,1,82.1,161.1
Seattle Seahawks,SEA,DST,7,null,0,0,0,0,0,0,0,0,81,161.3
Kansas City Chiefs,KC,DST,12,null,0,0,0,0,0,0,0,0,117,161.7
Brandon Marshall,SEA,WR,7,34,0,0,0,0,0,32,405,3,58.5,162.6
Jake Elliott,PHI,K,9,23,0,0,0,0,0,0,0,0,120,163.3
Frank Gore,MIA,RB,11,35,0,0,0,402,2,20,153,1,71.5,163.3
Kalen Ballage,MIA,RB,11,22,0,0,0,170,1,12,91,0,30.1,163.5
Wil Lutz,NO,K,6,24,0,0,0,0,0,0,0,0,128,163.6
DeSean Jackson,TB,WR,5,31,0,0,0,20,0,52,774,4,103.4,163.7
Chicago Bears,CHI,DST,5,null,0,0,0,0,0,0,0,0,99,163.7
Peyton Barber,TB,RB,5,24,0,0,0,413,3,11,81,0,65.4,163.8
Benjamin Watson,NO,TE,6,37,0,0,0,0,0,46,469,4,70.9,164.5
Matt Bryant,ATL,K,8,43,0,0,0,0,0,0,0,0,129,164.7
Mohamed Sanu,ATL,WR,8,28,0,0,0,13,0,62,691,4,94.4,164.7
Mitch Trubisky,CHI,QB,5,23,3725,22,13,307,2,0,0,0,253.7,164.8
Tyrod Taylor,CLE,QB,11,28,2028,12,5,242,2,0,0,0,155.32,164.8
Carolina Panthers,CAR,DST,4,null,0,0,0,0,0,0,0,0,99,165.3
