Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Aaron Rodgers,GB,QB,16,4381,38,5,269,2,0,0,0,2,22.1,354.14
Andrew Luck,IND,QB,16,4761,40,16,263,3,0,0,0,6,21.9,350.74
Russell Wilson,SEA,QB,16,3475,20,7,849,6,1,17,0,0,20.5,327.6
Peyton Manning,DEN,QB,16,4727,39,15,-24,0,0,0,0,2,19.5,312.68
Ben Roethlisberger,PIT,QB,16,4952,32,9,27,0,0,-6,0,5,19.1,306.18
Drew Brees,NO,QB,16,4952,33,17,68,1,1,1,0,3,18.9,302.98
DeMarco Murray,DAL,RB,16,0,0,0,1845,13,57,416,0,5,18.4,294.1
Le'Veon Bell,PIT,RB,16,0,0,0,1361,8,83,854,3,0,18,287.5
Matt Ryan,ATL,QB,16,4694,28,14,145,0,0,0,0,2,17.8,284.26
Ryan Tannehill,MIA,QB,16,4045,27,12,311,1,1,-4,0,2,17.4,278.5
Tom Brady,NE,QB,16,4109,33,9,57,0,0,0,0,3,17.4,278.06
Eli Manning,NYG,QB,16,4410,30,14,31,1,0,0,0,4,16.8,269.5
Tony Romo,DAL,QB,15,3705,34,9,61,0,0,0,0,3,17.8,266.3
Philip Rivers,LAC,QB,16,4286,31,18,104,0,0,0,0,2,16.6,265.84
Marshawn Lynch,SEA,RB,16,0,0,0,1306,13,37,367,4,2,16.6,265.3
Joe Flacco,BAL,QB,16,3986,27,12,70,2,0,0,0,0,16.4,262.44
Jay Cutler,CHI,QB,15,3812,28,18,191,2,0,0,0,6,17,255.58
Antonio Brown,PIT,WR,16,20,1,0,13,0,129,1698,13,2,15.7,251.9
Matthew Stafford,DET,QB,16,4257,22,12,93,2,0,0,0,3,15.7,251.58
Colin Kaepernick,SF,QB,16,3369,19,10,641,1,0,0,0,5,15.7,250.86
Cam Newton,CAR,QB,14,3127,18,12,539,5,0,0,0,5,17.8,248.98
Matt Forte,CHI,RB,16,0,0,0,1038,6,102,808,4,2,15.3,244.6
Arian Foster,HOU,RB,13,5,1,0,1246,8,38,327,5,2,18.1,235.5
Eddie Lacy,GB,RB,16,0,0,0,1139,9,42,427,4,2,14.4,230.6
Demaryius Thomas,DEN,WR,16,0,0,0,0,0,111,1619,11,0,14.4,229.9
Jordy Nelson,GB,WR,16,0,0,0,0,0,98,1519,13,0,14.4,229.9
Dez Bryant,DAL,WR,16,0,0,0,0,0,88,1320,16,0,14.2,228
Andy Dalton,CIN,QB,16,3398,19,17,169,4,1,18,1,2,14,224.62
Alex Smith,KC,QB,15,3265,18,6,254,1,0,0,0,1,14.7,220
Jamaal Charles,KC,RB,15,0,0,0,1033,9,40,291,5,3,14,210.4
Odell Beckham Jr,NYG,WR,12,0,0,0,35,0,91,1305,12,1,17,204
Justin Forsett,BAL,RB,16,0,0,0,1266,8,44,263,0,0,12.7,202.9
Randall Cobb,GB,WR,16,0,0,0,37,0,91,1287,12,2,12.6,202.4
Emmanuel Sanders,DEN,WR,16,0,0,0,44,0,101,1404,9,0,12.6,200.8
Julio Jones,ATL,WR,15,0,0,0,1,0,104,1593,6,1,12.9,193.4
Jeremy Maclin,PHI,WR,16,0,0,0,0,0,86,1329,10,0,12.1,192.9
Derek Carr,OAK,QB,16,3270,21,12,87,0,0,0,0,4,12,191.5
Lamar Miller,MIA,RB,16,0,0,0,1099,8,38,275,1,3,11.6,185.4
Rob Gronkowski,NE,TE,15,0,0,0,0,0,82,1124,12,0,12.3,184.4
Jeremy Hill,CIN,RB,16,0,0,0,1124,9,27,215,0,2,11.5,183.9
Ryan Fitzpatrick,HOU,QB,12,2483,17,8,184,2,0,0,0,1,15,179.72
Teddy Bridgewater,MIN,QB,13,2919,14,12,209,1,0,0,0,0,13.8,179.66
CJ Anderson,DEN,RB,15,0,0,0,849,8,34,324,2,0,11.8,177.3
Mike Evans,TB,WR,15,0,0,0,0,0,68,1051,12,0,11.8,177.1
Alshon Jeffery,CHI,WR,16,0,0,0,33,0,85,1133,10,0,11,176.6
T.Y. Hilton,IND,WR,15,0,0,0,20,0,82,1345,7,1,11.8,176.5
Kyle Orton,BUF,QB,12,3018,18,10,14,1,0,0,0,3,14.7,176.12
LeSean McCoy,PHI,RB,16,0,0,0,1319,5,29,155,0,3,10.7,171.4
Alfred Morris,WAS,RB,16,0,0,0,1074,8,17,155,0,0,10.7,170.9
Blake Bortles,JAX,QB,14,2907,11,17,419,0,0,0,0,1,12,168.18
Joique Bell,DET,RB,15,0,0,0,860,7,34,322,1,1,10.9,164.2
Mark Ingram,NO,RB,13,0,0,0,964,9,29,145,0,1,12.5,162.9
Golden Tate,DET,WR,16,0,0,0,30,0,99,1331,4,0,10,160.1
Brian Hoyer,CLE,QB,14,3335,12,13,32,0,0,0,0,1,11.2,156.6
Calvin Johnson,DET,WR,13,0,0,0,0,0,71,1077,8,0,12,155.7
DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,76,1210,6,1,9.7,155
Antonio Gates,LAC,TE,16,0,0,0,0,0,69,821,12,0,9.6,154.1
DeSean Jackson,WAS,WR,15,0,0,0,7,0,56,1169,6,0,10.2,153.6
Kelvin Benjamin,CAR,WR,16,0,0,0,0,0,73,1008,9,1,9.6,152.8
Geno Smith,NYJ,QB,14,2525,13,13,238,1,0,0,0,3,10.8,150.8
Matt Asiata,MIN,RB,15,0,0,0,570,9,44,312,1,1,10,150.2
Frank Gore,SF,RB,16,0,0,0,1103,4,11,111,1,2,9.2,147.4
Mike Wallace,MIA,WR,16,0,0,0,16,0,67,862,10,1,9.1,145.8
Giovani Bernard,CIN,RB,13,0,0,0,680,5,43,349,2,0,11.1,144.9
Jimmy Graham,NO,TE,16,0,0,0,0,0,85,889,10,2,9.1,144.9
Torrey Smith,BAL,WR,16,0,0,0,0,0,49,767,11,0,8.9,142.7
Steve Smith,BAL,WR,16,0,0,0,0,0,79,1065,6,1,8.8,140.5
Mark Sanchez,PHI,QB,9,2418,14,11,87,1,0,0,0,3,15.5,139.42
Greg Olsen,CAR,TE,16,0,0,0,0,0,84,1008,6,0,8.6,136.8
Brandon LaFell,NE,WR,16,0,0,0,13,0,74,953,7,1,8.5,136.6
Anquan Boldin,SF,WR,16,0,0,0,4,0,83,1062,5,0,8.5,136.6
AJ Green,CIN,WR,13,0,0,0,2,0,69,1041,6,2,10.5,136.3
Jordan Matthews,PHI,WR,16,0,0,0,0,0,67,872,8,0,8.4,135.2
Chris Ivory,NYJ,RB,16,0,0,0,820,6,18,123,1,1,8.4,134.3
Sammy Watkins,BUF,WR,16,0,0,0,8,0,65,982,6,1,8.3,133
Roddy White,ATL,WR,14,0,0,0,0,0,80,921,7,1,9.4,132.1
Martellus Bennett,CHI,TE,16,0,0,0,0,0,90,916,6,0,8.2,131.6
Andre Ellington,ARI,RB,12,0,0,0,660,3,46,395,2,2,11,131.5
Julian Edelman,NE,WR,14,0,0,0,94,0,92,972,4,0,9.3,130.6
Andre Williams,NYG,RB,16,0,0,0,721,7,18,130,0,0,7.9,127.1
Josh McCown,TB,QB,12,2206,11,14,127,3,0,0,0,4,10.6,126.94
Eric Decker,NYJ,WR,15,0,0,0,0,0,74,962,5,0,8.4,126.2
Coby Fleener,IND,TE,16,0,0,0,0,0,51,774,8,0,7.8,125.4
Mohamed Sanu,CIN,WR,16,79,1,0,51,0,56,790,5,0,7.7,123.26
Fred Jackson,BUF,RB,14,0,0,0,526,2,66,501,1,0,8.8,122.7
Malcom Floyd,LAC,WR,16,0,0,0,0,0,52,856,6,0,7.6,121.6
Steven Jackson,ATL,RB,15,0,0,0,707,6,20,148,0,0,8.1,121.5
Jonathan Stewart,CAR,RB,13,0,0,0,809,3,25,181,1,1,9.3,121
Julius Thomas,DEN,TE,13,0,0,0,0,0,43,489,12,0,9.3,120.9
Nick Foles,PHI,QB,8,2163,13,10,68,0,0,0,0,3,14.9,119.32
Tre Mason,LAR,RB,12,0,0,0,765,4,16,148,1,1,9.9,119.3
Eddie Royal,LAC,WR,16,0,0,0,14,0,62,778,7,1,7.4,119.2
Michael Floyd,ARI,WR,16,0,0,0,2,0,47,841,6,1,7.4,118.3
Marques Colston,NO,WR,16,0,0,0,0,0,59,902,5,1,7.4,118.2
Brandon Marshall,CHI,WR,13,0,0,0,0,0,61,721,8,1,9.1,118.1
Ahmad Bradshaw,IND,RB,10,0,0,0,425,2,38,300,6,2,11.6,116.5
Travis Kelce,KC,TE,16,0,0,0,0,1,67,862,5,3,7.3,116.2
Shane Vereen,NE,RB,16,0,0,0,391,2,53,447,3,0,7.1,113.8
Isaiah Crowell,CLE,RB,16,0,0,0,607,8,9,87,0,2,7.1,113.4
Delanie Walker,TEN,TE,15,0,0,0,0,0,63,890,4,0,7.5,113
Rueben Randle,NYG,WR,16,0,0,0,0,0,71,938,3,0,7,111.8
Kenny Stills,NO,WR,15,0,0,0,-2,0,63,931,3,0,7.4,110.9
Kendall Wright,TEN,WR,14,0,0,0,54,0,57,715,6,1,7.9,110.9
Greg Jennings,MIN,WR,16,0,0,0,0,0,59,742,6,0,6.9,110.2
Vincent Jackson,TB,WR,16,0,0,0,0,0,70,1002,2,1,6.9,110.2
Terrance Williams,DAL,WR,16,0,0,0,0,0,37,621,8,0,6.9,110.1
Branden Oliver,LAC,RB,14,0,0,0,582,3,36,271,1,0,7.8,109.3
Rashad Jennings,NYG,RB,11,0,0,0,639,4,30,226,0,1,9.9,108.5
Austin Davis,LAR,QB,10,2001,12,9,36,0,0,0,0,3,10.8,107.64
Andre Johnson,HOU,WR,15,0,0,0,0,0,85,936,3,3,7,105.6
Darren Sproles,PHI,RB,15,0,0,0,329,6,40,387,0,1,7,105.6
Martavis Bryant,PIT,WR,10,0,0,0,12,0,26,549,8,0,10.4,104.1
Allen Hurns,JAX,WR,16,0,0,0,0,0,51,677,6,0,6.5,103.7
Carson Palmer,ARI,QB,6,1626,11,3,25,0,0,0,0,1,17.3,103.54
Terrance West,CLE,RB,14,0,0,0,673,4,11,64,1,1,7.3,101.7
Doug Baldwin,SEA,WR,16,0,0,0,8,0,66,825,3,0,6.3,101.3
James Jones,OAK,WR,16,0,0,0,0,0,73,666,6,1,6.3,100.6
Jason Witten,DAL,TE,16,0,0,0,0,0,64,703,5,0,6.3,100.3
Robert Woods,BUF,WR,16,0,0,0,0,0,65,699,5,1,6.2,99.9
John Brown,ARI,WR,16,0,0,0,-6,0,48,696,5,0,6.2,99
Knile Davis,KC,RB,16,0,0,0,463,6,16,147,1,2,6.2,99
Keenan Allen,LAC,WR,14,0,0,0,0,0,77,783,4,2,7,98.3
