Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Priest Holmes,KC,RB,14,0,0,0,1615,21,70,672,3,0,26.6,372.7
Ricky Williams,MIA,RB,16,0,0,0,1853,16,47,363,1,2,20,319.6
Rich Gannon,OAK,RB,16,4689,26,10,156,3,0,0,0,0,19.3,309.16
LaDainian Tomlinson,LAC,RB,16,0,0,0,1683,14,79,489,1,0,19.2,307.2
Daunte Culpepper,MIN,QB,16,3853,18,23,609,10,0,0,0,4,18.4,295.02
Michael Vick,ATL,QB,15,2936,16,8,777,8,0,16,0,1,19.4,290.74
Clinton Portis,DEN,RB,16,0,0,0,1508,15,33,364,2,2,17.8,285.2
Shaun Alexander,SEA,RB,16,0,0,0,1175,16,59,460,2,0,17,271.5
Deuce McAllister,NO,RB,15,0,0,0,1388,13,47,352,3,0,18,270
Peyton Manning,IND,QB,16,4200,27,19,148,2,0,0,0,0,16.8,268.8
Tiki Barber,NYG,RB,16,0,0,0,1387,11,69,597,0,0,16.5,264.4
Aaron Brooks,NO,QB,16,3572,27,15,253,2,0,0,0,2,16.4,262.18
Drew Bledsoe,BUF,QB,16,4359,24,15,67,2,0,0,0,0,16.2,259.06
Travis Henry,BUF,RB,16,0,0,0,1438,13,43,309,1,0,16.2,258.7
Steve McNair,TEN,QB,16,3387,22,15,440,3,0,0,0,0,16.1,257.48
Charlie Garner,OAK,RB,16,0,0,0,962,7,91,941,4,0,16,256.3
Trent Green,KC,QB,16,3690,26,13,225,1,0,0,0,0,16,256.1
Jeff Garcia,SF,QB,16,3344,21,10,353,3,0,0,0,0,15.9,255.06
Tom Brady,NE,QB,16,3764,28,14,110,1,0,0,0,1,15.8,253.56
Marvin Harrison,IND,WR,16,0,0,0,10,0,143,1722,11,0,15.1,241.2
Donovan McNabb,PHI,QB,10,2289,17,6,460,6,0,0,0,0,23.4,233.56
Eddie George,TEN,RB,16,0,0,0,1165,12,36,255,2,0,14.2,228
Brett Favre,GB,QB,16,3658,27,16,73,0,0,0,0,2,14.1,225.62
Fred Taylor,JAX,RB,16,0,0,0,1314,8,49,408,0,0,14,224.2
Hines Ward,PIT,WR,16,0,0,0,142,0,112,1329,12,0,13.9,223.1
Terrell Owens,SF,WR,14,0,0,0,79,1,100,1300,13,0,15.8,221.9
Chad Pennington,NYJ,QB,15,3120,22,6,49,2,0,0,0,0,14.6,219.7
Jamal Lewis,BAL,RB,16,0,0,0,1327,6,47,442,1,0,13.7,218.9
Ahman Green,GB,RB,14,0,0,0,1240,7,57,393,2,0,15.5,217.3
Kerry Collins,NYG,QB,16,4073,19,14,-3,0,0,0,0,0,13.3,212.62
Marshall Faulk,LAR,RB,14,0,0,0,953,8,80,537,2,0,14.9,209
Duce Staley,PHI,RB,16,0,0,0,1029,5,51,541,3,0,12.9,207
Brad Johnson,TB,QB,13,3049,22,6,30,0,0,0,0,0,15.8,204.96
Corey Dillon,CIN,RB,16,0,0,0,1311,7,43,298,0,1,12.6,200.9
Michael Bennett,MIN,RB,16,0,0,0,1296,5,37,351,1,0,12.5,200.7
Jake Plummer,ARI,QB,16,2972,18,20,283,2,1,2,0,1,12,191.38
Matt Hasselbeck,SEA,QB,16,3075,15,10,202,1,0,0,0,0,12,191.2
Mark Brunell,JAX,QB,15,2788,17,7,207,0,0,0,0,0,12.7,190.22
Eric Moulds,BUF,WR,16,0,0,0,7,0,100,1292,10,0,11.9,189.9
Curtis Martin,NYJ,RB,16,0,0,0,1094,7,49,362,0,0,11.8,189.6
Drew Brees,LAC,QB,16,3284,17,16,130,1,0,0,0,0,11.8,188.36
Randy Moss,MIN,WR,16,13,1,0,51,0,106,1347,7,0,11.6,186.32
Jon Kitna,CIN,QB,14,3178,16,16,57,4,0,0,0,3,13.1,182.82
Warrick Dunn,ATL,RB,15,0,0,0,927,7,50,377,2,1,12.2,182.4
Garrison Hearst,SF,RB,16,0,0,0,972,8,48,317,1,2,11.3,180.9
M Shipp,ARI,WR,15,0,0,0,834,6,38,413,3,1,11.8,176.7
Plaxico Burress,PIT,WR,16,0,0,0,0,0,78,1325,7,0,11,176.5
P Price,BUF,WR,16,0,0,0,-13,0,94,1252,9,1,11,175.9
Joe Horn,NO,WR,16,0,0,0,2,0,88,1312,7,0,11,175.4
Brian Griese,DEN,QB,13,3214,15,15,107,1,0,0,0,0,13.5,175.26
A Smith,NE,TE,16,0,0,0,982,6,31,243,2,0,10.8,172.5
Jonathan Stewart,DET,RB,14,0,0,0,1021,4,46,333,2,0,12.2,171.4
Tommy Maddox,PIT,QB,15,2836,20,16,43,0,0,0,0,1,11.3,169.74
Donald Driver,GB,WR,16,0,0,0,70,0,70,1064,9,0,10.5,167.4
J Rice,OAK,WR,16,0,0,0,20,0,92,1211,7,0,10.3,165.1
Laveranues Coles,NYJ,WR,16,0,0,0,39,0,89,1264,5,0,10.1,162.3
M Booker,CHI,WR,16,44,1,0,0,0,97,1189,6,0,10,160.66
K Robinson,SEA,WR,16,0,0,0,56,0,78,1240,5,0,10,159.6
Tim Couch,CLE,QB,14,2842,18,18,77,0,0,0,0,0,11.4,159.38
David Carr,HOU,QB,16,2592,9,15,282,3,0,0,0,1,9.9,157.88
Torry Holt,LAR,WR,16,0,0,0,18,0,91,1302,4,0,9.8,156
Edgerrin James,IND,RB,14,0,0,0,989,2,61,354,1,0,11,154.3
Isaac Bruce,LAR,WR,16,0,0,0,18,0,79,1075,7,0,9.5,151.3
R Gardner,WAS,WR,16,0,0,0,1,0,71,1006,8,0,9.3,148.7
Jimmy Smith,JAX,WR,16,0,0,0,2,0,80,1027,7,0,9.2,146.9
Jay Fiedler,MIA,QB,11,2024,14,9,99,3,0,0,0,0,13.4,146.86
Chad Johnson,CIN,WR,16,0,0,0,0,0,69,1166,5,0,9.2,146.6
Stephen Davis,WAS,RB,12,0,0,0,820,7,23,142,1,0,12,144.2
Kevin Johnson,TB,WR,16,0,0,0,0,0,76,1088,5,0,8.9,142.8
Q Morgan,CLE,WR,16,0,0,0,7,0,56,964,7,0,8.8,141.1
Emmitt Smith,DAL,RB,16,0,0,0,975,5,16,89,0,0,8.5,136.4
William Green,CLE,RB,16,0,0,0,887,6,16,113,0,0,8.5,136
Rodney Peete,CAR,QB,14,2630,15,14,14,0,0,0,0,2,9.6,134.6
Amous Zereoue,PIT,RB,16,0,0,0,762,4,42,341,0,0,8.4,134.3
Rod Smith,DEN,WR,16,0,0,0,9,0,89,1027,5,0,8.4,133.6
T Taylor,BAL,WR,16,0,0,0,105,0,61,869,6,0,8.3,133.4
C Conway,LAC,WR,13,0,0,0,53,2,57,852,5,0,10.2,132.5
L Smith,CAR,RB,11,0,0,0,737,7,20,167,0,0,12,132.4
Jeff Blake,BAL,QB,11,2084,13,11,106,1,0,0,0,0,12,131.96
Derrick Mason,TEN,WR,14,0,0,0,0,0,79,1012,5,0,9.4,131.2
Joey Galloway,DAL,WR,16,0,0,0,31,0,61,908,6,0,8.1,129.9
Jerome Bettis,PIT,RB,13,0,0,0,666,9,7,57,0,0,9.7,126.3
Todd Heap,BAL,TE,16,0,0,0,38,0,68,836,6,0,7.8,125.4
Michael Pittman,TB,RB,16,0,0,0,718,1,59,477,0,1,7.7,123.5
W Chrebet,NYJ,WR,15,0,0,0,0,0,51,691,9,0,8.2,123.1
Anthony Thomas,CHI,RB,12,0,0,0,721,6,24,163,0,1,10.2,122.4
J Thrash,PHI,WR,16,0,0,0,126,2,52,635,6,1,7.6,122.1
Mike Alstott,TB,RB,16,0,0,0,548,5,35,242,2,0,7.6,121
T Pinkston,PHI,WR,15,0,0,0,-15,0,60,798,7,0,8,120.3
Marc Bulger,LAR,QB,7,1826,14,6,-13,1,1,3,0,1,17.1,120.04
Brian Finneran,ATL,WR,16,0,0,0,0,0,56,838,6,0,7.5,119.8
Tony Gonzalez,KC,TE,16,0,0,0,0,0,63,773,7,0,7.5,119.3
D Patten,NE,WR,16,0,0,0,6,0,61,824,5,0,7.1,113
D Jackson,SEA,WR,13,0,0,0,3,0,62,877,4,0,8.6,112
Kevan Barlow,SF,RB,14,0,0,0,675,4,14,136,1,0,7.9,111.1
Jim Miller,CHI,QB,10,1944,13,9,11,0,0,0,0,1,11.1,110.86
T Brown,NE,WR,14,0,0,0,14,0,97,890,3,0,7.9,110.4
Jamel White,CLE,RB,14,0,0,0,470,3,63,452,0,0,7.9,110.2
A Bryant,DAL,WR,16,0,0,0,40,0,44,733,6,2,6.8,109.3
Dennis Northcutt,CLE,WR,13,0,0,0,104,1,38,601,5,0,8.3,108.5
Eddie Kennison,KC,WR,16,0,0,0,58,0,53,906,2,0,6.8,108.4
Joey Harrington,DET,QB,14,2294,12,16,4,0,0,0,0,0,7.7,108.16
Donte' Stallworth,NO,WR,13,0,0,0,2,0,42,594,8,0,8.3,107.6
D Thompson,WAS,WR,16,0,0,0,77,0,53,773,4,1,6.7,107
T Brown,OAK,WR,16,0,0,0,19,0,81,930,2,0,6.7,106.9
T Streets,SF,WR,16,0,0,0,0,0,72,756,5,0,6.6,105.6
S Mack,JAX,RB,16,0,0,0,436,9,11,79,0,0,6.6,105.5
Steve Smith,CAR,WR,15,0,0,0,-4,0,54,872,3,0,7,104.8
C Bradford,HOU,WR,16,0,0,0,-11,0,45,697,6,0,6.5,104.6
E McCaffrey,DEN,WR,16,0,0,0,22,0,69,903,2,0,6.5,104.5
Muhsin Muhammad,CAR,WR,14,0,0,0,40,0,63,823,3,0,7.4,104.3
Keenan McCardell,TB,WR,14,0,0,0,3,0,61,670,6,0,7.4,103.3
Jeremy Shockey,NYG,TE,15,0,0,0,0,0,74,894,2,0,6.8,101.4
D O'Neal,DEN,WR,16,0,0,0,0,0,0,0,0,0,6.2,100
K Johnson,CLE,WR,16,33,1,0,0,0,67,703,4,0,6.2,99.62
Chris Chambers,MIA,WR,15,0,0,0,78,0,52,734,3,0,6.6,99.2
P Warrick,CIN,WR,15,0,0,0,22,0,53,606,6,0,6.6,98.8
Reggie Wayne,IND,WR,16,0,0,0,0,0,49,716,4,0,6,95.6
Kevin Faulk,NE,RB,15,0,0,0,271,2,37,379,3,0,6.3,95
T Glenn,GB,WR,15,0,0,0,0,0,56,817,2,0,6.2,93.7
D Bates,MIN,WR,14,0,0,0,0,0,50,689,4,0,6.6,92.9
B Schroeder,DET,WR,14,0,0,0,0,0,36,595,5,0,6.5,91.5
B Franks,GB,TE,16,31,1,0,0,0,54,442,7,0,5.7,91.44
Kordell Stewart,PIT,QB,7,1155,6,6,191,2,0,0,0,0,13,91.3
T Dwight,LAC,WR,16,0,0,0,108,1,50,623,2,0,5.7,91.1
Kenny Watson,WAS,RB,16,0,0,0,534,1,32,253,1,0,5.7,90.7
M Boerigter,KC,WR,15,0,0,0,0,0,20,420,8,0,6,90
J Mungro,IND,RB,9,0,0,0,336,8,13,81,0,0,10,89.7
D White,CHI,WR,16,0,0,0,11,0,51,656,4,1,5.5,88.7
J Allen,HOU,RB,16,5,1,0,519,0,47,302,0,0,5.5,88.3
Patrick Ramsey,WAS,QB,9,1539,9,8,-1,1,0,0,0,1,9.7,87.46
