Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Daunte Culpepper,MIN,QB,16,4717,39,11,406,2,0,0,0,4,23.3,373.28
Peyton Manning,IND,QB,16,4557,49,10,38,0,0,0,0,1,22.5,360.08
Shaun Alexander,SEA,RB,16,0,0,0,1696,16,23,170,4,3,18.8,300.6
Tiki Barber,NYG,RB,16,0,0,0,1518,13,52,578,2,2,18.5,295.6
Donovan McNabb,PHI,QB,15,3875,31,8,220,3,0,0,0,6,19.4,291
LaDainian Tomlinson,LAC,RB,15,38,0,0,1335,17,53,441,1,2,18.9,283.12
Curtis Martin,NYJ,RB,16,0,0,0,1697,12,41,245,2,0,17.4,278.2
Trent Green,KC,QB,16,4591,27,17,85,0,0,0,0,4,16.3,260.14
Jake Plummer,DEN,QB,16,4089,27,20,202,1,0,0,0,1,16,255.76
Brett Favre,GB,QB,16,4088,30,17,36,0,0,0,0,1,15.9,255.12
Edgerrin James,IND,RB,16,0,0,0,1548,9,51,483,0,2,15.9,255.1
Domanick Davis,HOU,RB,15,0,0,0,1188,13,68,588,1,4,16.9,253.6
Jake Delhomme,CAR,QB,16,3886,29,15,71,1,0,0,0,5,15.5,248.54
Corey Dillon,NE,RB,15,0,0,0,1635,12,15,103,1,4,16.4,245.8
Aaron Brooks,NO,QB,16,3810,21,16,173,4,1,1,0,2,15.2,243.8
Drew Brees,LAC,QB,15,3159,27,7,85,2,1,38,0,2,16,240.66
Muhsin Muhammad,CAR,WR,16,0,0,0,15,0,93,1405,16,1,14.8,236
Marc Bulger,LAR,QB,14,3964,21,14,89,3,0,0,0,4,16.8,235.46
Tom Brady,NE,QB,16,3692,28,14,28,0,0,0,0,5,14,224.48
Michael Vick,ATL,QB,15,2313,14,12,902,3,0,0,0,7,14.6,218.72
Rudi Johnson,CIN,RB,16,0,0,0,1454,12,15,84,0,4,13.6,217.8
Matt Hasselbeck,SEA,QB,14,3382,22,15,90,1,0,0,0,1,15,210.28
Joe Horn,NO,WR,16,0,0,0,0,0,94,1399,11,0,13,207.9
Javon Walker,GB,WR,16,0,0,0,0,0,89,1382,12,2,12.9,206.2
Willis McGahee,BUF,RB,16,0,0,0,1128,13,22,169,0,2,12.7,203.7
Brian Westbrook,PHI,RB,13,0,0,0,812,3,73,703,6,1,15.7,203.5
David Carr,HOU,QB,16,3531,16,14,299,0,0,0,0,2,12.7,203.14
