player,value
Josh Lambo (JAC - K),$0
Ryan Succop (TEN - K),$0
Green Bay Packers (GB - DST),$0
Washington Redskins (WAS - DST),$0
Tennessee Titans (TEN - DST),$0
Atlanta Falcons (ATL - DST),$0
Tampa Bay Buccaneers (TB - DST),$0
Dallas Cowboys (DAL - DST),$0
Buffalo Bills (BUF - DST),$0
Cincinnati Bengals (CIN - DST),$0
DeSean Jackson (TB - WR),$0
Miami Dolphins (MIA - DST),$0
Allen Hurns (DAL - WR),$0
Ted Ginn (NO - WR),$0
Josh Doctson (WAS - WR),$0
Tyler Lockett (SEA - WR),$0
Javorius Allen (BAL - RB),$0
D'Onta Foreman (HOU - RB),$0
Austin Ekeler (LAC - RB),$0
Nyheim Hines (IND - RB),$0
Aaron Jones (GB - RB),$0
LeGarrette Blount (DET - RB),$0
Eric Ebron (IND - TE),$0
Austin Hooper (ATL - TE),$0
Ricky Seals-Jones (ARI - TE),$0
Vance McDonald (PIT - TE),$0
Benjamin Watson (NO - TE),$0
Austin Seferian-Jenkins (JAC - TE),$0
Mitch Trubisky (CHI - QB),$0
Caleb Sturgis (LAC - K),$0
Daniel Carlson (MIN - K),$0
Phil Dawson (ARI - K),$0
Sebastian Janikowski (SEA - K),$0
New York Giants (NYG - DST),$0
San Francisco 49ers (SF - DST),$0
New York Jets (NYJ - DST),$0
Oakland Raiders (OAK - DST),$0
Cleveland Browns (CLE - DST),$0
Indianapolis Colts (IND - DST),$0
Mike Gesicki (MIA - TE),$0
Derek Carr (OAK - QB),$0
Ryan Tannehill (MIA - QB),$0
Andy Dalton (CIN - QB),$0
Case Keenum (DEN - QB),$0
Eli Manning (NYG - QB),$0
Cameron Meredith (NO - WR),$0
Calvin Ridley (ATL - WR),$0
John Ross (CIN - WR),$0
Darren Sproles (PHI - RB),$0
T.J. Yeldon (JAC - RB),$0
Spencer Ware (KC - RB),$0
Robert Kelley (WAS - RB),$0
Hayden Hurst (BAL - TE),$0
Vernon Davis (WAS - TE),$0
Paul Richardson (WAS - WR),$0
Martavis Bryant (OAK - WR),$0
Danny Amendola (MIA - WR),$0
Quincy Enunwa (NYJ - WR),$0
Dez Bryant ( - WR),$0
D.J. Moore (CAR - WR),$0
Chris Godwin (TB - WR),$0
Mike Wallace (PHI - WR),$0
John Brown (BAL - WR),$0
Jordan Wilkins (IND - RB),$0
Kenneth Dixon (BAL - RB),$0
Tyrod Taylor (CLE - QB),$0
Jameis Winston (TB - QB),$0
Jermaine Kearse (NYJ - WR),$0
Terrance Williams (DAL - WR),$0
Courtland Sutton (DEN - WR),$0
"Tony Lippett (MIA - CB,DB,WR)",$0
Ryan Grant (IND - WR),$0
Mike Williams (LAC - WR),$0
Keelan Cole (JAC - WR),$0
Wayne Gallman (NYG - RB),$0
Corey Grant (JAC - RB),$0
Chase Edmonds (ARI - RB),$0
Rod Smith (DAL - RB),$0
Travis Benjamin (LAC - WR),$0
Donte Moncrief (JAC - WR),$0
Michael Gallup (DAL - WR),$0
Dede Westbrook (JAC - WR),$0
Anthony Miller (CHI - WR),$0
Corey Coleman (BUF - WR),$0
Jalen Richard (OAK - RB),$0
Jonathan Stewart (NYG - RB),$0
Elijah McGuire (NYJ - RB),$0
C.J. Prosise (SEA - RB),$0
James Conner (PIT - RB),$0
Joe Flacco (BAL - QB),$0
Willie Snead (BAL - WR),$0
Brandon Marshall (SEA - WR),$0
Cole Beasley (DAL - WR),$0
Albert Wilson (MIA - WR),$0
Geronimo Allison (GB - WR),$0
Charles Sims (TB - RB),$0
De'Angelo Henderson (DEN - RB),$0
Jeremy Hill (NE - RB),$0
Travaris Cadet (BUF - RB),$0
Kyle Juszczyk (SF - RB),$0
John Kelly (LAR - RB),$0
Joe Williams (SF - RB),$0
Terrelle Pryor (NYJ - WR),$0
J.J. Nelson (ARI - WR),$0
Chester Rogers (IND - WR),$0
Eric Decker (NE - WR),$0
Kalen Ballage (MIA - RB),$0
Malcolm Brown (LAR - RB),$0
Alfred Blue (HOU - RB),$0
Terrance West (NO - RB),$0
Robert Turbin (IND - RB),$0
Ameer Abdullah (DET - RB),$0
DeAndre Washington (OAK - RB),$0
Cameron Artis-Payne (CAR - RB),$0
James Washington (PIT - WR),$0
Christian Kirk (ARI - WR),$0
Trent Taylor (SF - WR),$0
Sam Bradford (ARI - QB),$0
Josh McCown (NYJ - QB),$0
